date,ip 属地,评分,comments
2017-01-13,未知,5,平安梯田，是龙脊梯田里很有名的景点。平安梯田景区不是很大，山也不是很高，半个小时左右就能到达山顶，俯瞰整个平安梯田，层层叠叠的梯田，非常壮观。壮寨里有特色美食，小吃，米饭，特色炒菜应有尽有。
2015-12-22,未知,5,平安梯田海拔1180米左右。下车后沿台阶向上再爬四十多分钟，到达上面的最佳观景平台，观看整个平安梯田的核心内容——“七星伴月”景观。 所谓七星伴月：中间一个山头上是个水塘，挺圆的，由于有水，显得很亮，像月亮一样。它的四周围绕着七个小山头 ，像七颗星星，故称为七星伴月。
2018-05-01,未知,5,平安梯田还是很值得去的，主要景点九龙五虎，七星伴月，小车可以直接开到九龙五虎观景，这个非常赞，然后可从九龙五虎走到七星伴月景点大约一个小时左右。平安梯田开发的较早，较为完善，吃住行都很方便，当地的竹筒鸡很好吃，大家可以尝尝哦。
2020-07-20,未知,5,平安壮族梯田。从柳州走国道下午2点左右到达龙脊梯田景区。6月初的龙脊梯田正在灌水，是一年中最佳观赏时期之一，除了灌水期外十月初的收获季节也是最佳的观赏期。游客服务中心的工作人员很热情，根据时间建议我们先去平安壮寨景区，再去大寨金坑景区，住在金坑景区，回来时再去龙脊壮寨景区。龙胜县一处名龙脊山，山体如恐龙背脊，梯田沿脊顶向两侧倾斜延伸，场景壮观，引来游人如织，因交相传诵而名闻遐迩。这一带的梯田，从广义说叫做龙胜梯田，从狭义上称为龙脊梯田。龙脊梯田分为金坑（大寨）瑶族梯田观景区和平安壮族梯田观景区。通常意义上的龙脊梯田是指龙脊平安壮族梯田，也是开发较早的梯田。梯田分布在海拔300米至1100米之间，最大坡度达50度，前往梯田几乎都是盘山公路。进入平安壮寨景区观景台只是景区一角，更壮观景色在九龙五虎观景台，需要座景区电瓶车到海拔近900米山顶的观景平台。景区电瓶车往返时间大约需要15分钟左右。到达观景平台，一览无余的梯田呈现在眼前，刚灌水的梯田景色迷人。梯田一层层从山脚盘绕到山顶，小山如螺，大山似塔，层层叠叠，高低错落。在梯田的海洋里，最大的田不过一亩，大多数田都是只能种一二行禾的“带子丘”和“青蛙一跳三块田”的碎田块。从龙脊梯田看到了劳动人民的勤劳和智慧。
2019-12-24,未知,5,龙脊梯田位于桂林北侧80公里的龙脊山上，呈南北长条形分布。我们是春季去的，夜宿平安壮族梯田观景区。由山上往下观平安壮族梯田 看梯田如链似带，从山脚一直盘绕到山顶，小山如螺，大山似塔。十分壮观。夜晚壮家山寨灯火阑珊，美景如画，尽情品尝壮家特色美味。令人意想不到的收获是第二天早上的景色，云雾缭绕龙脊山头，梯田若隐若现，状如仙境。
2017-08-13,未知,5,以前在画报中惊叹，今日终于看见实景了。早晨梯田在浓雾中隐隐约约，随着云开雾散，美丽的梯田呈现在眼前，山谷前漂着的白云，告诉你已经置身云上了。
2016-07-29,未知,4,龙胜梯田由东向西分为金坑大寨红瑶梯田、平安壮族梯田 、龙脊古壮寨 梯田 三个景区组成。游客要先到梯田游客中心，买门票、车票。这车票就是从游客中心到各个景区门口的景区23公里，大约50分钟车程，上下往返旅游中巴的车票。现在国内很多依山而建的景区，都有自己开设的从游客中心的景区门口的中巴车队，一是景区初于安全考虑，二是这是一块稳定的收入。但是，我还是说是不是应该给游客以最大的优惠和选择。我觉得衡山景区做的就不错，景区中巴不是一站到底而是在主要景点设立上下车点使之成为景区巴士。
2016-02-17,未知,4,平安寨卖各种饰品的小店比大寨要多，但景色没大寨好。不过在梯田没有开始耕种的二三四月，平安寨的村民在梯田里放水，以便游客能在这不太适合的季节依旧观赏到梯田的景色，而大寨这个时候却没有放水，所以这几个月梯田光秃秃的。
2019-04-10,未知,5,平安梯田开发较早，景点设施完善，餐饮住宿集中在七星伴月，更能体验小寨生活。主要景点有九龙五虎和七星伴月，景点之间距离也不是很远，九龙五虎看日落，七星伴月看日出。
2017-07-23,未知,5,这个初建于宋代，明清完善的梯田很壮观，一到达山顶往下一看，震撼了，其独特的山景和梯田一看就有了想了解其历史形成的冲动，夕阳下，真的很美很美，有种让人留连忘返的感觉。以前多次听人说过龙脊梯田怎么好，我还不留意，二年前从湖南芷江到阳朔路经也没有进去看看，今次看完后要推荐一下了。
2016-10-04,未知,5,金秋十月，金黄梯田，龙胜龙脊平安梯田确实壮观！虽然从桂林市区驱车四个半小时才到达大地停车场，但当梯田景色扑面而来的时候，你就知道一切都是值得的！
2018-06-05,未知,5,虽然一年四季都有不同的景观，但是，我最喜欢的就是夏季去，气势磅礴，山清水秀！正是插秧的好时机，满山遍野都是一片绿意，满满的希望！是最好看的地方
2017-10-11,未知,5,既可以从山下寨子上山，也可以直接开车到山顶观景台俯瞰全貌。平安寨的梯田感觉更集中，更有层次感，更有规模，今天还特别金黄。
2016-05-28,未知,4,平安梯田横跨平安和龙脊两个行政村，宛如一条行进中的巨龙，腾越在一个四五里长的坡面上，腾越出一种叱咤风云的野性力量。平安梯田内有“九龙五虎”和“七星伴月”两个独特的景观。 因为“九龙五虎”和“七星伴月”的存在，使得平安梯田像扫帚田园一样景中有景，平田许多情趣和意味。 览的最佳时间：每年农历四月十五以后，梯田开始放水的半个月和每年中秋以后的半个月。龙脊的雪景也很棒，但是下雪的时间不定，看运气了。
2021-12-09,未知,5,离桂林市区还是有一段车程距离的，就是坐一好一段车，又爬了好一座山才山到小山顶。路上会经过当地富有民族特色的房子，那种高高的吊脚样式，一楼是养牲畜的，二楼以上才是住人的。 上山是为了看梯田，也是为了看著名的七星连珠。 还有好客的少数民族表演敬酒抢婚之类的节目，当然照例是会热情邀请游客参与到节目中一起欢乐。
2024-08-08,湖南,4,景色美，出片，好拍照，车只能停在平安寨下面停车场，要么步行（太远了基本不可能），要么付费50元/人往返的观光车上去下来。
2019-04-27,未知,5,当时的晚稻还没成熟，看不到金黄谷穗的丰收场景，一片片一层层的绿油油的叶子，曲折蜿蜒的田块从山顶到山脚层次分明地铺开，越往下田埂范围就越广，形成气势恢宏、富有韵律的优美曲线。次日一早起来想看日出，却遇到浓浓的大雾，几乎把梯田全部吞没了，天色黑如夜晚。
2018-05-28,未知,5,平安壮族梯田在整个龙脊梯田景区中，景色是最好的，也是最壮观的，相比其他村寨的梯田，其实看一个相对较好的就足够了，当然有时间也可多看。
2019-10-11,未知,5,平安梯田还是值得一去的，自由行的话虽然路程比较崎岖，但是当你真正身处大山遥望着眼前的连绵起伏的梯田，你当时的身心疲惫和烦恼顿时消失！
2018-08-21,未知,5,在这个桂林过度商业化的旅游城市中，居然有这么一个较为纯净的地方。食、住、景都是在国内性价比超高的一个地方，给人一种超舒服的心情！
2016-11-01,未知,4,适合时间：一年四季都行，每个季节都有不同的风味，我去的时候是八月。游玩时间：感觉半天就可以了，假如你是想在上面看日出那种，那应该需要前一天下午就要开始上去。个人建议：学生证可以打半折，夏天去最好带防晒物品，因为上面真的很热。缆车可以试试坐下，从车上看梯田也别有一番风味的缺点：服务设施还是不够完善，上面吃的都不太好味道，而且很贵～
2018-11-08,未知,5,四个寨子里最大的一个。景区观光车没必要买往返，单程上去到观景台看看，然后走去寨子里转转，再从寨子里的路走下山，路边很多商铺，十来分钟就到景区门口了，不累。
2021-01-06,未知,3,趁着国庆长假期出来走走，来到了广西的龙脊梯田景区，住在了平安寨的山上。早上一早，来到了七星伴月观景台看日出，在这个观景台沿路都有很多小商铺，从日出以后开始，商铺就会陆续开门营业，都是村民开的，卖的东西基本上都是差不多，有卖民族商品、有卖果汁、小吃的，有租民族服装帮拍照的。
2019-09-24,未知,4,不得不说秋收的景色真的好美好美，一片金黄，一层层的梯田，看得让人心醉。找一家梯田上的寨子住下，清晨推开窗户看到如此美景，真的不愿离开了～
2016-10-27,未知,5,"山顶的观景台,就可以看到平安梯田的全貌了,这里有2个景点,一个是七星伴月,一个是九龙五虎.可惜没有导游介绍,我们研究半天也没看出来哪是七星哪是月.但这并不影响我们激动的心情,因为在这里看梯田真的是太壮观了!"
2016-12-19,未知,4,为了看金灿灿的梯田，特意秋天来，远远望去还是比较壮观的，山风一过，有一种风吹麦浪的感觉，交通比较不便，比较适合自驾车来玩。
2016-03-21,未知,3,梯田很好看，当然有季节更好的，比如有水刚插秧时或稻田刚成熟金黄时，我们看一片绿色也还好，很壮观。 当然当地人这样就比较辛苦，还好现在改成旅游业，这些种田的当成副业就行了，不用靠天吃饭了。
2021-03-29,未知,4,平安壮族梯田现在正在放水 ，还可以。游览路线铺设的挺好，方便游玩。
2016-02-14,未知,5,很漂亮，可以换季节再来。不错。
2017-09-17,未知,5,简直就是人间仙境，汉族在哪里属于少数民族
2021-03-23,未知,4,去游玩的时间不对，早了一个星期，仍旧是绿油油的一大片，和山的颜色混淆，影响视觉效果。如果梯田变黄了，应该会很漂亮的。
2016-02-11,未知,4,这里就是梯田景区的中心位置，七星伴月景点就在这里，住在木楼旅馆就能在房间眺望了。
2018-10-27,未知,5,非常震撼的体验，人定胜天。非常的美丽。
2020-12-16,未知,5,这个梯田实际很美，可以慢慢去品味。
2021-07-19,未知,5,这个梯田也很好的，值得朋友们来
2017-04-21,未知,4,梯田展现农耕文明，壮族未必是落后的民族
2016-11-09,未知,4,梯田群的风景很美，连片的很震撼
2018-04-04,未知,1,龙脊梯田平安寨 会威胁游客安全的土著地方 被扣留在乡景酒店 我普通话不好，查询房价中途是由友人沟通下答应入住，但不到15分钟，我发现店家的房价变动及跟本一开始时就想欺骗我们，要不是我朋友再问价，我已经给钱了！发现后基于原则及安全，我不想住进这间店，我即时落楼跟负责人说，负责人说不可以，然后就变成土人帮围着我吵吵闹闹，刚好我朋友进来，他跟那这些土人理论，土人们说要收清洁费，就20元..（但由我进房到落楼理论都不够15分钟啊！行李都摆在门外，不检查过就说要收清洁费）我不给，其中一个土人就抢我行李！我也不想麻烦到我朋友了，也不想再跟这些土人说道理，我同意给20元清洁费然后离开，当我在银包内拿20元时，其中一个土人又抢我手中的名片，大大声声凶着说不留名片不给走！就把清洁费加到80元.. 我终于都感受到自身安全受到威胁，幸好我朋友又回来了，他把电话递给一个土人（电话内是寨内的负责人吧？）他们在另一边说着。其间最凶的老土人对我说（现在不是搅不搅卫生的问题，是你说我们欺骗你） 我只能回他..（不是搅卫生你为什么要收我清洁费，还要由20加到80？ 你这不是欺骗我那是什么呢？） 然后他在吵吵吵。电话那边说完了，其中一个土人态度都软化了。清洁费由20加到80再降到60。好！只要不用再待在这里我都给，60元算得上什么？就当给了一班垃圾吧。 但不知为什么当我们走出这间垃圾酒店时，其中一个土人好客气的冲出来塞回60元给我们，说什么出外旅游不要搅得不高兴‍♀️妈的..这班垃圾又想怎样，很不想再跟他们扯下去，一就一二就二，垃圾们碰过的钱我都不想要。我们没理他就走了。在路上还听到女土人在吵闹。 最后为了安全，住进了友人隔壁的房，但心情整晚都怕那帮土人还会冲着我来。即使买了九十多元的全票，第二天，我都不想待在这里，其他寨都没去就离开了，到上到高铁时，那个心终于安定下来。 本想到12301投诉，但不到两天又要离景，就放弃了。过往去过很多的地方，发生这样的事也是第一次，住上很多民宿及酒店，贵的多于一千元一晚平的都需三百多，对我而言出外旅游要用多少少钱不是问题，但要我待在一个不诚实只会黑游客的酒店就不行！ 风景再漂亮又如何？这里的本地人实在太野蛮，只会想着怎样欺骗游客。大家可以再参考其他游客对龙脊梯田的评论。
