date,ip 属地,评分,comments
2020-11-30,未知,4,广西师范大学位于桂林市中心的城墙内，创办于1932年，原是广西省立师范专科学校，是中国最早的高等师范大学之一，有很漂亮的校园。
2020-04-02,未知,5,市区的老校区可是赫赫有名的王府 能把学校当做一个 全天付费景点的还真是不多 而且这里的参观居然还会搭配导游 比如钻到洞里面看各种所谓的佛教以及一些钱民间说法的介绍 倒是本身王府的建筑以及山上眺望的桂林城区风景更为吸引人一些
2019-09-15,未知,5,广西师范大学有育才校区、王城校区、雁山校区三个校区。其中，育才校区是主校区，雁山校区是新校区，王城校区是历史最悠久的校区。本人来的就是位于是中心的王府校区，也是全国唯一一所建在5A记风景区的大学校区。校园建筑优美，环境很好。王府校区出名的景点就是靖江王府和独秀峰王府景区了。
2016-03-23,未知,4,去的师范大学老校区，占地800亩，很有文化的学校，在广西算是排名第二的高校了，院内东南亚地区的留学生不少，在桂林还有两个新校区。
2023-09-24,广东,4,去桂林出差，来到了广西师范大学走走，大学有三个校区，包括王城校区、育才校区和雁山校区，来到的是育才校区，这里很大，进校门需要提前报备，不然车子不给进去。了解了一下学校的情况，在几年前，这里是有很多的国际生，短期、长期的都有，也有不少的外籍教师，但是因为那个情况（大家都懂），外籍老师、学生回去了，就再也没有回来，所以现在的师生都是中国籍的，学校也是重开大门，欢迎国际师生到校，并且开展一系列的交流活动。
2016-09-15,未知,5,风景不错，目前保存最为完整的明朝王府，就是门票有点高，冒充学生，虽然进不了核心，但也可以看的七七八八，图是从步行街方向向王府看
2017-06-19,未知,5,这个地方还是挺不错的，是周边设施比较稳重。自然也不错，趣味的话没什么趣味，说老实话，就是那个学校的下去，小孩很难进去上学，梦寐以求桂林最好的公立学校吧。
2016-02-18,未知,5,有个文化街，挺好玩的，我在那看到好多好多浮雕
2017-06-19,未知,5,广西师范大学的话，环境设施比较好，教师的师风也挺不错的，有时候进去里面打打羽毛球，感觉师生之间也挺和睦的，但也蛮友好的。
2019-05-18,未知,4,以前很喜欢进去散步，去田径场跑步，环境很好。 很喜欢里面的枫树，秋天看红枫，春天叶子发芽看绿叶，也是美美哒，还种了蛮多木兰花，现在景色越来越好了。
2017-05-14,未知,5,我们学校真的不错，大家可以看看，保证不失望。
2017-03-23,未知,5,空气新鲜，环境好，，在这边上大学真是享受，愿做桂林人不愿做神仙
2018-04-11,未知,5,好山水好学习天地，值得点赞！点赞
2021-01-04,未知,5,热烈欢迎来自四面八方的朋友到广西师范大学游玩。😊
2023-09-02,福建,5,最近在开今年的心理学大会，好想去哦！还要研究生期间的老师也跳槽去了那里，桂林真的好美啊
2021-04-17,未知,5,广西师范大学是我研究生母校，大家可以来参观，学生学习生活氛围浓厚
2019-05-08,未知,5,大学校园，真的有空可以逛逛，可以让你体会一把学生时代的感觉，回忆青春的那些人那些事
2018-02-24,未知,5,地方很不错！环境也还可以！很适合约会！
2017-03-23,未知,4,欢迎来玩哦，如果来的话一定要试试西苑二楼的茄子哦，很好吃喔
2019-03-22,未知,4,广西师范大学算是广西省比较好的大学了
2017-03-07,未知,5,各方面都没得说，鸟语花香，底蕴深厚，古色古香，值得一游。
2018-07-29,未知,5,老校区在靖江王府景区里，新校区还没老校区好看。各位有时间的可以去看一下。
2017-12-30,未知,5,校园学习氛围好浓，环境优美，运动场地超全超多，大赞
2017-04-26,未知,5,不错，没有进里面，但是附近东西还挺便宜的
2016-03-06,未知,5,"我住在学校的隔壁,学校环境很不错,周边吃住行也方便."
2016-08-19,未知,5,广西师范大学毕业生 2006年
2019-11-28,未知,5,不是旅游景点，就是一个校园。来学习还行。
2017-06-21,未知,5,环境非常不错，有山有水，值得一游！
2016-12-29,未知,5,学校比较不错，师范类的美女比较多
2020-12-26,未知,5,西南明珠、育书立人、桃李满天下
2018-04-28,未知,5,很好，环境优雅，学习的好地方！
2017-12-22,未知,5,景色OK，趣味很好，性价比……
2017-09-02,未知,5,哦了morning自我room
2017-07-06,未知,5,有个好的导游到是个好去处！！！
2016-03-08,未知,5,好大的校园，景色不错，值得一去
2019-12-28,未知,4,优质有历史文化的大学，值得好好去体会一下
2017-09-13,未知,4,交通便利，环境优美，就是饮食价格稍贵
2021-03-24,未知,4,广西师范类重点大学，学术氛围浓厚。
2019-08-02,未知,4,很不错的地方，校园值得逛逛，棒棒
2018-04-26,未知,4,学习的好地方，人文气息，校园优美
2017-10-13,未知,3,没什么特别让我想去评价的地方。
2020-08-11,未知,4,景色很好 怀念大学校园的生活。
2017-10-24,未知,3,师大的本部，感觉不是很大，环境不错。。。
2016-03-25,未知,2,只是个普通的学校而已，没啥特色
