date,ip 属地,评分,comments
2023-07-31,四川,5,坐游艇走水路，游览了桂林山水，江边景色不错，到了人民币20的背景地方，拍照留念，船上有专门给游客拍照的，很快就能拿到照片。
2023-08-16,广西,5,广西桂林国家森林公园，位于广西壮族自治区桂林市象山区西南部。公园总面积581.4公顷，森林面积318.1公顷，森林覆盖率53%，是桂林市近郊的一片国有林区。公园属亚热带季风气候，森林植被以马尾松纯林为主，天然植被以铁芒箕群落、 东方蕨 、桃金娘、白茅为主。森林公园内基础设施完善，沿山修有登山便道，环山公路，休息凉亭，公园内设有篮球场、溜冰场、射击场，供上千人游乐的大草坪等活动场所。全园以林海松涛为基调，融石山、土山、林貌景观为一体，亭、台、楼、阁恰到好处的点缀其间，加上园林艺术家们独具匠心的培植，是集生态、休闲、娱乐为一体的综合性森林公园。
2023-09-02,四川,5,我们是坐船游览的，船上有专人拍照，可立马取照片的，还不错，看了人民币20的景点，7月的天气很热，在夹板上待一会就很热，赶紧下去了。
2022-10-20,上海,5,桂林山水甲天下，桂林国家森林公园空气清新，环境优美值得游玩
2023-02-14,湖北,5,【景色】优质资源 【趣味】共享的地方 【性价比】免费
2023-08-23,上海,5,太美了，山水迷人，祖国的美景太多了，玩不过来
2023-09-03,吉林,5,桂林山水甲天下，真是名不虚传。一定要去游玩
2023-08-25,江苏,5,这世上最闪光的无非是他笑起来的样子
2023-05-07,福建,5,空气清新，景色非常优美，值得常去！
2023-06-04,广东,5,典型的介于热带和亚热带气候的环境
2022-12-27,新加坡,5,这个公园是国家级的公园，值得去。
2022-12-04,广东,5,因为地处亚热带吧植被丰富太多了
2023-08-23,北京,4,非常不错的地方，这里的环境优雅舒适，周围配套设施齐全，值得推荐。
2023-01-24,江苏,4,去北海时路过桂林，好地方，山青水绿，安排
2023-06-25,陕西,4,桂林山水甲天下名不虚传，阳朔同游
2023-08-16,四川,3,【景色】 【景色】 【景色】 【景色】 【景色】非常不错
