date,ip 属地,评分,comments
2020-01-17,未知,4,这里是基础的教练教学教训，怎么学会打高尔夫球？有一个外国的教练，早上过去的话人不会太多。也挺有意思的，而且也是免费的，费用都包含在住宿里了。
2017-04-01,未知,5,"桂林山水是对桂林旅游资源的总称。[1]国家AAAAA级旅游景区，中国十大风景名胜之一，桂林山水是中国山水的代表，典型的喀斯特地形构成了别具一格的桂林山水，桂林山水所指的范围很广，项目繁多。桂林山水“山青、水秀、洞奇、石美""，包括山、水、喀斯特岩洞、石刻等等，其境内的山水风光举世闻名，千百年来享有“桂林山水甲天下”的美誉。 2014年6月23日，第三十八届世界遗产大会上以桂林为首的中国南方喀斯特第二期项目申遗成功，正式成为世界自然遗产，桂林山水荣登世界自然遗产名录。 2016年9月，中国社会科学院考古研究所、广西文物保护与考古研究所等考古专业机构一致认为：桂林甑皮岩先民是具有高智商的智慧人，双料混炼技术是万年前人类的发明，桂林是万年人类智慧圣地。"
2017-03-14,未知,5,"桂林山水是对桂林旅游资源的总称。[1]国家AAAAA级旅游景区，中国十大风景名胜之一，桂林山水是中国山水的代表，典型的喀斯特地形构成了别具一格的桂林山水，桂林山水所指的范围很广，项目繁多。桂林山水“山青、水秀、洞奇、石美""，包括山、水、喀斯特岩洞、石刻等等，其境内的山水风光举世闻名，千百年来享有“桂林山水甲天下”的美誉。 2014年6月23日，第三十八届世界遗产大会上以桂林为首的中国南方喀斯特第二期项目申遗成功，正式成为世界自然遗产，桂林山水荣登世界自然遗产名录。 2016年9月，中国社会科学院考古研究所、广西文物保护与考古研究所等考古专业机构一致认为：桂林甑皮岩先民是具有高智商的智慧人，双料混炼技术是万年前人类的发明，桂林是万年人类智慧圣地。"
2016-10-08,未知,5,学校附近超级无敌好玩，而且很大
2016-09-21,未知,5,这里景色不错，去玩过几次，很好
2016-12-16,未知,5,值得一去 适合休闲 朋友聚会！
2023-05-01,中国香港,5,在喀斯特地貌中的高尔夫球场不少，但是桂林这个是最有中国特色的
2016-12-12,未知,5,山清秀美，空气清新，活动略微不足，但是环境非常好！！
2015-12-12,未知,5,不错哦、环境优美空气清新是爱运动一族的好去处
2016-01-20,未知,5,环境超好的，舒适，开心，希望以后可以常去
2016-09-15,未知,4,风景不错，空气质量良好，也挺有乐趣的，
2016-03-14,未知,5,值得去，很好玩，环境好，桂林山水甲天下
2023-09-04,老挝,5,桂林高尔夫俱乐部不多，这算是优美的。
2018-04-16,未知,4,球场里价格唯一变动不大的地方，感觉还好啦。虽然地方不大，麻雀虽小，五脏俱全。
2016-03-11,未知,5,就在我附近，经常去还行吧呵呵我觉得
2023-05-03,天津,5,"Good,good,good."
2016-11-09,未知,4,还行，值得大家来玩，虽然你不是最好的！
2016-03-28,未知,4,很不错，环境不错，就在尧山山脚
2019-11-27,未知,4,休闲的时候 运动一下也是好的呢
2019-04-25,未知,3,一般般，还行吧，感觉这边也没有什么特别给力的高尔夫俱乐部
2016-05-27,未知,4,还行，感觉挺大的，不过夏天太热了
