date,ip 属地,评分,comments
2016-05-13,未知,4,在阳朔县政府前，距离西街仅200余米，免费开放。然而与熙熙攘攘的大街相比，这里竟然清静得常常连一个游客也没有，是我们一拨人进来参观之后，才陆续有人跟着进来。大师的故居果然有点风范，门庭小院环境优雅，老树茂盛。故居内设有一些图文展览，而最让人惊叹的是，在燥热的中午进屋，却发现有一股天然的清凉，古时房屋的设计果然有水平。
2017-06-03,未知,5,徐悲鸿故居是外围白粉墙、小青瓦，还有略带黄颜色的檐口，其门楼下面悬有吴作人先生手书的“徐悲鸿故居陈列馆”之牌匾，一边还镶嵌着“徐悲鸿故居”之大理石碑刻。房屋为砖木结构，三进堂小屋，院内有一高大玉兰树，花香四溢。陈列馆里主要展示了徐悲鸿先生在此生活的实情实景，同时又有反映徐悲鸿先生一生经历的图片等等。徐悲鸿的《漓江烟雨》、《青厄渡》等名画都是在此创作而成。
2018-05-07,未知,5,来阳朔的第二天，下着小雨，去不了远的地方，带着女儿来到了徐悲鸿故居，相比西街的热闹嘈杂，这里只有三三俩俩的游客，太过安静，一处白墙青瓦的院落，院中一个古老的白玉兰没有了枝叶，几间简陋的屋子，这就是徐老先生在阳朔居住过的院落，在这里徐老自称阳朔子民，创作了漓江春雨等绝世佳作
2020-05-26,未知,5,在桂林阳朔，住在西街的客栈里，百度地图，不远处竟然就是徐悲鸿故居，便去参观。免费景点。是一处不大的四合院，有图片资料和实物展示。后面的小院里有先生的半身雕像。出门不远处就是阳朔政府大院，再往前就是中山纪念堂，有孙中山雕像。
2020-10-19,未知,4,阳朔徐悲鸿故居 这次到阳朔旅游，在阳朔西街看到徐悲鸿故居指路牌，颇感意外，就转过去看了看。徐悲鸿故居就在县政府对面，一个颇为冷清和小小的院子，里面介绍了徐悲鸿的生平和这个故居的来历，展示的徐悲鸿画作都是仿品，这里是免费参观的。
2017-03-31,未知,4,这算是阳朔县城内一处人迹罕至的景点了。故居位于县政府的旁边，是徐悲鸿1936年居住在阳朔时当地县政府按照李宗仁的吩咐，买下来赠给他的，在这里大概住了六年左右。面积不大，屋内的墙上挂着徐悲鸿的历史照片，偏屋挂有大师的画作，不过都是复印版。虽然免费，但来的人挺少的。在阳朔逗留的时间长的话，可以过来转转，十几分钟就够了。
2020-01-14,未知,4,徐悲鸿故居陈列馆位于广西壮族自治区桂林市阳朔县的县前街17号。徐悲鸿故居是一座三开间的砖木结构平房，是中国绘画大师徐悲鸿的故居。出生于1895年的徐悲鸿先生是我国杰出的画家和美术教育家。是从1936年在阳朔的故居住下后，一年左右的时间，画下了多篇画作：如漓江春雨，走岂图，鸡鸣不已等著名的画卷。
2019-09-18,未知,4,徐悲鸿故居位于阳朔县前街55号，在西街快到头左边转弯通往县政府的一个巷子这边。 免费对外开放，开放时间：9:00-17:00，我去时下午5点还开着能进去。 该故居坐东向西，为传统院式布局，有三开间砖木结构平房。 故居里面陈列展览了徐悲鸿绘画大师的生平介绍和一些绘画作品复制品。 故居左旁边有间阳朔画院，也是阳朔县文化交流基地。 这边环境清幽，有棵大榕树和玉兰树，里墙处有徐悲鸿的雕塑铜像。 故居整体面积较小，逛个5-10分钟就可以了。
2018-05-19,未知,4,徐悲鸿故居位于阳朔县前街，是1935年至1938年期间先生避居阳朔时李宗仁先生所赠。故居的外围是白粉墙、小青瓦，还有略带土黄颜色的檐口，占地面积约400平方米。门楼下面悬有吴作人先生手书的“徐悲鸿故居陈列馆”之牌匾，牌匾的一边还镶嵌着“徐悲鸿故居”之大理石碑刻。步入故居之内庭，有一株玉兰树，10多米高，两抱围粗、花香醉人。陈列馆为单层三开间砖木结构建筑，其风檐为褐红色。陈列馆里主要展示了徐悲鸿先生在此生活的实情实景，同时又有反映徐悲鸿先生一生经历的图片等等。徐悲鸿在此绘制了《漓江春雨》、《风寸鸡鸣》等大批传世之作，还创办了“广西省艺术师资训练班”，为广西培养艺术人才作出了重要贡献。
2018-10-07,未知,3,徐悲鸿是中国近代最知名画家之一，于1936年-1942年居于阳朔绘画写生，当时的县政府依照李宗仁先生的嘱托买下这个小院子供先生居住。院子很小，就在阳朔西街步行街的尽头不远处，离漓江江畔咫尺之遥，风景很好，漓江山水与中国水墨画的意境互融，相信对于先生的创作灵感，有很大的帮助。故居里主要展览是一些照片和书画，有先生雕像。
