date,ip 属地,评分,comments
2020-11-11,未知,5,"广西绝对小众而又值得转转的人文历史景点之一，这里的文庙和北京的故宫年纪相仿。其中的湖南会馆它是恭城“四大会馆”(广东会馆、湖南会馆、福建会馆、江西会馆)至今惟独保存完整的一座。其门楼和戏台的结构很有特点,整个平面呈凸字形。门楼第二层既是戏台的后厢房，临街的一面为门楼，戏台在门楼之后。戏台和门楼互为前后，在梁架结构上采用“移柱造”法，以适应戏台和门楼双层使用的功能。陡峻的层顶显得玲珑秀气又富于变化;丰富的彩饰古戏台显得古朴又富丽堂皇，具有明显的岭南古建特色，有较高的艺术价值和研究价值，是广西较为罕见的古建筑珍品。"
2024-11-25,广西,5,这里是很多学生都喜欢去求学祭拜的地方。据说很灵。咱们桂北区域的最大的一座孔庙了。不少人慕名而来。
2020-12-07,未知,4,景色：没有太多后期修葺，保留古色古香。 趣味：拜孔子，里面还有书法班。两者都不是天天遇到。 性价比：景区很小，门票20人民币，而且微信扫码是私人账号。个人认为性价比不高。 如果能认真看，里面的建筑还是很有意味的。
2023-11-01,广东,4,去广西旅游，这一站来到了桂林的恭城，早有听闻恭城的文庙，对于一些求学的孩子来说，是一个祈求高中的地方，这里也是供奉孔子的寺庙。我也是为了这样专门来了一趟，希望小孩子学业进步。来到这里的可以烧大香，全程有工作人员指导进行，或者也可以点灯。
2016-10-24,未知,4,恭城孔庙是广西四个孔庙之中的一个，历年来保佑着恭城的学子取得了优异的成绩，送出了一批又一批优秀的学生。所以我也带着孩子慕名而来。
2021-09-12,未知,5,来恭城瑶族自治县必须打卡的一个景点。地方不是很大，但是内容还是蛮多的。历史文化知识点很多。景色也还可以。还有很多漂亮的锦鲤。
2021-09-28,未知,4,今天刚好是孔子诞辰，举办恭城第五届孔子诞辰祭拜，恭城的所有领导人都莅临，整个仪式搞得很大规模。文庙确实是真的古迹，不像其他很多地方都是后来新建的，占地面积不大。
2018-12-02,未知,5,恭城文庙在恭城瑶族自治县内，和它对应还有一个武庙，但很多人也叫它孔庙，古老的建筑，棂星门，大成门，大成殿还是很有特点的。
2018-04-17,未知,4,文庙也即是孔庙，是为祭祀孔子而建造的，恭城文庙是广西保存最完整的孔庙，也是全国四大孔庙之一，各种完好的特色雕刻栩栩如生。
2016-08-04,未知,4,恭城两小时速览，文庙与武庙40元，因在整修没人售票，俺无耻地堂而皇之地悄悄走进去参观，结果还是被无聊工作人员发现了被“请出”，但也看到了个大概，后山上就是盘王庙（免费）。
2021-08-20,未知,5,恭城瑶族自治县的标志景点，历史底蕴浓厚，建筑保存也比较完好。交通便利，位置很好找，就在县城中心。有停车场，凭游览票免费，票价20元。
2017-01-07,未知,5,桂林恭城县文武庙规模很大.是广西保存完好规模最大的一座文武庙.历史悠久很有历史价值.古建筑风格很壮观.值得去旅游参观一下!
2017-05-19,未知,5,作为本地人....最终评价是一个老年人值得散步的地方作为本地人....最终评价是一个老年人值得散作为本地人....最终评价是一个老年人值得散步的地方步的地方
2016-04-02,未知,5,全国仅有保存较完整的文庙。在这有深奥的文化底蕴！
2017-08-08,未知,5,恭城孔庙，华南一绝！整个华南地区保存得最为完整的有四五百年历史的古建筑，到恭城不可不景仰！
2023-03-05,广西,5,桂林的恭城县既有文庙也有武庙，历史上也是人才辈出，状元也有出自恭城的
2017-01-13,未知,5,很好规模很大.历史古建风格很有历史价值.是一个不错的旅游景点.值得爱旅游亲们去玩一下
2019-01-29,未知,4,桂林恭城县文武庙规模很大.是广西保存完好规模最大的一座文武庙.历史悠久很有历史价值.古建筑风格很壮观.值得去旅游参观一下!
2016-02-11,未知,5,非常古朴的一座文庙，就在县城的盘王山下广场上，武庙也在旁边，可以同时参观。
2018-04-15,未知,5,很多大人都会带孩子还这里祈福，都希望自己孩子能考上名校。
2016-12-12,未知,4,每到高考前就有很多人到文庙祭拜，平时人比较少。距离桂林市区坐大巴一个半小时，不方便。
2017-11-19,未知,5,中华文明最好的传承，值得推荐游览……………
2017-08-05,未知,5,管理很到位，也不需要花费什么钱，很清净。
2022-10-05,广西,5,要核酸报告，进不去。在大门口拜了！
2016-10-23,未知,5,明朝古庙，灵气充沛，很多人慕名而来
2016-03-15,未知,4,非常值得一去，孔夫子庙一进去就可以感受到浓浓的文化气息
2017-03-11,未知,5,历史悠久的地方，香火很旺盛的哦
2017-01-01,未知,5,恭城瑶族自治县人民政府旁边儿，
2020-10-05,未知,3,三庙两馆，文庙、武庙、孔庙，湖南会馆和瑶族博物馆，这个还是值得去看看的。
2019-10-08,未知,5,购票非常方便，现场用手机在网上买了，出示短信就可以立即取票。
2016-06-24,未知,5,值得，恭城孔庙是保存最完整的孔庙，大家来看看哦！
2019-11-06,未知,4,号称中国四大孔庙之一，很值得一看，还有人免费讲解、教你如何拜孔子，真的受益匪浅。
2019-12-02,未知,5,不错，建筑歇山顶。
2020-07-05,未知,3,古建部分保留得相当完好，就是管理差劲。
2018-09-16,未知,1,传承华夏文明，尊师重道，靠收费我认为没有意义和价值，传统文化被风化
2023-05-30,广西,1,孔子庙现在变得非常商业化，一进去就有人跟在身边老是在推两三百块钱的香，不买的话还给脸色，去年的时候还不是这样的
2023-07-30,贵州,2,穷疯了？一束香300，不买还说一些难听的话
2021-02-23,未知,1,来了你就会不爽，来了你就会不爽，来了你就会不爽，重要的事情说三遍
