date,ip 属地,评分,comments
2023-10-22,广东,4,去广西旅游，这一站来到了恭城，参观一下市区里面的文武庙。这里武庙，始建于明朝万历31年，并于清朝康熙和同治年间重修过，这里是为了纪念三国名将关羽的寺庙。这里设有前殿、正殿、后殿、戏台、雨亭和两侧的厢房。武庙这里的工作人员比较少，如果需要讲解的话，可能要到文庙那边才能找上人。
2018-04-24,未知,4,恭城武庙，也称关帝庙，是祭祀三国名将关羽的一座庙宇，始建于1603年，在恭城的印山，与恭城文庙分列于印山左右，可以一次游玩文武庙，
2016-08-04,未知,4,恭城的文庙与武庙40元，因在整修没人售票，俺无耻地堂而皇之地悄悄走进去参观，结果还是被无聊工作人员发现了被“请出”，但也看到了个大概，后山上就是盘王庙（免费）。恭城是小站车次少，当天回广州车票脱销了。
2021-09-30,未知,4,13元的门票，一般般。确实是有历史，国家级文物保护单位。仔细看门上的雕花都不同，表达各个不同的故事和动物形象。本身没售票窗口，要去文庙那边买。
2017-01-05,未知,5,很有历史价值.古建筑房保护很好.很值得大家去参观和旅游!
2016-12-12,未知,4,就个关公塑像，每年的农历五月十二都会举办盛大的活动，与此同时，还有瑶族特色油茶文化节，可以喝油茶，品味当地小吃。
2017-08-08,未知,5,纪念三国名将关夫子的庙，有几百年历史了！还是保存得蛮好的古迹！
2018-04-15,未知,4,恭城武庙里有个戏台是目前广西保存最完整的两座古戏台之一。恭城武庙也叫关帝庙，研究历史人要来看看
2016-03-15,未知,5,古典 古代文化，虽然不懂，但是尊重
2019-02-08,未知,4,恭城武庙，又称关帝庙，是祭祀三国名将关羽的庙宇。游客不多，比较清净。
2016-07-03,未知,5,古代文人之最，儒家文化始祖。为人师表，万世之师。
2015-12-29,未知,5,武庙是恭城一大特点，来到恭城就一点要进去看看！
2017-03-09,未知,5,很有历史价值，本地人免门票的。
2016-10-23,未知,5,明朝古庙，文化底蕴深厚的建筑群
2016-11-13,未知,3,门票小贵了，而且庙门口的井水不再允许游客取水
2016-02-11,未知,4,文武庙就在一块地方，盘王山下，各自收费，武庙小点门票也便宜点。
2022-12-17,北京,4,供奉的是关公。三庙一馆建议来此看看。
2019-11-06,未知,3,有空的话可以参观一下，毕竟有400多年的历史了，当然，面积不大，保护的不错，还有人免费讲解。
