date,ip 属地,评分,comments
2018-11-30,未知,4,提前打电话订了 恭城 最好的四星级酒店—— 恭城 千钧国际大酒店，性价比高，早餐也丰盛。出门就是恭城河，早上起来走过马路就是河堤。
2021-09-07,未知,5,恭城瑶族自治县是桂林市一个美丽的少数民族县城。风景也很不错。虽然比不上桂林阳朔的山水，但是自有独特风格，河流不是很大气山水相依。确有小家碧玉的感觉。
2019-02-27,未知,4,工程和是当地最为有名的一条河流，流水面积不大，水量不大，但是非常有特色，这里还有一座平安桥，非常值得游客到这里来走一走，保佑平安。
2018-04-21,未知,4,听出租司机说恭城河原名茶江河，其实就是沿着恭城流过的河流。河流不长，它的名气不算大，恭城本身不大，但算是这个小县城的一个地标。
2020-11-28,未知,5,恭城河的早晨河水流淌，景色宜人，空气，自然，舒适，令人心旷神怡，舒服惬意，感觉非常不错，不错的选择，性价比超高的，棒棒的。
2017-04-04,未知,5,一定要去，如果能在夕阳西下时去就最好，一定让你难以忘怀，山尖上是开始西下的夕阳，河面上是波澜不惊的河水
2016-10-22,未知,5,恭城县的水源，恭城油茶的水源。
2016-12-12,未知,4,恭城河是恭城县的重要河流，被称为“恭城人民的母亲河”。不好玩。
2016-11-04,未知,4,不错，水很清，不愧是恭城油茶的水源！
2017-11-05,未知,3,这里就是一条普普通通的河，穿过了恭城，景点不多。
