date,ip 属地,评分,comments
2024-12-02,广东,4,红岩村，位于广西恭城市莲花镇，整个村以种植柿子为主，柿子每年10月开始丰收，如今的红岩村不仅是采摘批发，更是发展成一处观光旅游景区，风雨桥、滚水坝等景点，民宿数不胜数，待在村里吃喝住行玩一条龙搞定，旅客拍得开心，村民收入也更多，皆大欢喜。 两边全是柿子树，路边各种小摊位都在兜售脆柿、柿饼、柿子片... 有些观柿园以收取门票为主，为了满足观光旅客的打卡拍照，将柿子提前摘掉叶子，让整颗树挂满柿子，配上各种拍照道具，成为一处必打卡的网红景点。
2017-03-07,未知,5,去玩的那几天，天气很好，草长莺飞般，天空美得就像假的一样，虽说是冬天，阳光照得暖洋洋，大伙是及其不愿呆在室内的，通往红岩村的是一条曲长蜿蜒的路，路旁种满了月柿树，被太阳照得树影斑驳，现在虽然是光秃秃的枝丫，但仔细去找还是能看到有几个红彤彤的柿子挂在树上或掉落树旁，饭店里看到一盒叫恭诚贡的柿饼，包装很可人就买了一盒尝尝，本想买来送人，可发现原来淘宝也有卖就懒得提来提去就在淘宝买了（也是懒的），
2017-11-19,未知,5,现在柿子当红时。非常漂亮、非常入镜，枝头挂满橙色的柿子，尤其置身于万亩柿园，让人产生莫名的冲动。村内有不少农家乐，可吃饭、住宿，可购买柿子干作为手信，还可以坐竹筏沿河赏柿子游，值得一游。
2024-12-01,广东,5,红岩村位于广西桂林恭城瑶族自治县莲花镇，距桂林市108公里，是一个集山水风光游览、田园农耕体验、观光等为一体的生态特色旅游村落。主要景点有：瑶寨风雨桥、滚水坝、梅花桩、环形村道、灯光篮球场、游泳池、旅游登山小道。在高处眺望是一片橘红色的海洋，拍照很出片！柿子可吃可买，非常新鲜可口！
2017-02-10,未知,4,今年过年去的，算是第二次重游了，都是这个季节，去的时候是年初四自驾，比两年前热闹多了，当地村子是政府打造的旅游地，有一条自然生态河，周围全是柿子树和桃树和小量的山楂树，这个季节当然看不到什么太美的景观了，两口子只是想寻一处原生态又安静的地方。 红岩的住宿相对便宜，80元至120元一个标间，但是吃饭就不便宜了，鸡按50一斤算，一只差不多130左右。这次是冲着上次看好的那家店去住的100元/晚，有些失望，店主不善言谈，点了一个酸豆角炒河鱼（当地河里鱼腥味重），一个青菜，一个腊肉炒豆角（豆角没炒熟），共80元，天冷菜一会就凉了，问店家有没有微波炉，算没有，还说你们吃快点就不会凉了，这心里啊巴凉巴凉的，果断换房。 这次换到河对面的店挺满意，90元/晚，全新床垫，店家很热情好客，只是贪嘴吃了一餐黄焖鸡，回来上火牙痛了一星期。 回来顺带买了十斤柿饼，10元/斤，柿饼大约8至10元/斤，还有当地的辣酱12元/瓶。听说柿子节10月11月12月是当地旺季，人多车多俺就不凑这热闹啦！
2024-12-04,江西,5,走在古村里，沿途红红火火的柿子像灯笼一样挂满枝头，点缀漫山遍野，宛如橙红色的海洋，点亮了整个秋天。
2018-10-28,未知,5,十月27号来到红岩村，到处是杮子树，果实累累，喜气洋洋，这天的天气好得很，阳光明媚，舒适宜人，自然风光很美，还加游了恭城的龙虎寨和社山景区，不枉此行。
2024-11-16,青海,5,村子人不多，没有太多商业化，保留了原始淳朴的自然风气，随便走走逛逛拍照就非常出片，很多柿子园都是免费拍照打卡，有山有水，非常舒服🍃
2021-11-22,未知,5,秋去冬来万物休，唯有柿树挂灯笼。在广西桂林的一个小县城里，藏着一个红色的村落来到这里你能感受到到处都是红红火火的场景，家家户户都在忙着晒柿饼，还有各种腊肠腊肉
2021-11-17,未知,5,著名的月柿之乡，漫山遍野都是红澄澄的柿子，真的是说不出的美！到处都是出大片的地方！如果12月份来的话，树叶子掉光了，树上只剩下红红的柿子，那又是另一翻韵味了！
2018-12-01,未知,5,红岩村位于恭城瑶族自治县内，以月柿节而出名，有山有水，空气清新，村里建筑风格独特，风雨桥在村子里面，也可以坐船游览，还不错。
2023-11-02,广东,4,去广西旅游，这一站来到了桂林的恭城，在红岩村住了一个晚上，恭城主要有市中心的文武两庙，还有就是每年大概11月看柿子的这个红岩村了，我是10月来的，来早了一点，当时柿子还是刚刚转黄，是脆柿的时候，来到才涨了知识，知道原来脆柿子是要经过处理，才可以吃，并不是树上即摘即吃。当地有很多民宿，因为过了假期，没有多少游客，所以放假也不贵，200多元很好的房间了。
2023-01-27,广东,4,一个可以放慢节奏的地方，景区不大，就是以柿子为主题。12月份去最佳，我们年初三去，除了一个专门留给游客拍照的柿子林还有挂果，其余的大片柿子林都被摘完了。可玩之处不多，又比较耐玩。莲花河两边倒是可以闲逛一下，这里游客不算多，反而显得恬静。这里民宿大多都是一个老板娘全部打理，不能要求太多服务。早餐只有米粉。每个民宿都有土鸡吃，午晚饭比较农家。主要是看季节来玩的一个地方。比较尴尬是入住当晚整片民宿断断续续停电多次。算是偶发状况。
2018-11-30,未知,4,红岩村位于 广西 桂林 恭城 瑶族自治县莲花镇，只有103户人家407人，是一个集山水风光游览、田园农耕体验、住宿、餐饮、休闲和会议商务观光等为一体的生态特色旅游新村。当天是星期天，里面非常热闹，这条滚水坝是最吸引人的地方。
2024-11-02,广西,5,每年都来，每年都有新的惊喜，继续加油
2019-02-27,未知,4,这里是位于广西桂林市下面的瑶族自治县的一个著名的旅游景点。这里山清水秀，自然风光非常秀丽。这里还有一些现代建筑和当地的山水融合在一起非常的和谐。现在越来越成为一个比较有发展前途的旅游景区。
2020-12-01,未知,5,恭城红岩村到了赏月柿的最佳时期，月柿挂满枝头，很美很漂亮，有硬柿子，软柿子，味道很不错，甜甜的，趣味性强，性价比超高的，也有干柿饼买，味道好极了。
2019-12-02,未知,5,红彤彤的柿子，食指大动……这里是桂林的恭城，红岩村。三青水秀，环境很不错呢……出游的时节正好是晒柿子的时候，可以欣赏一下。
2020-12-11,未知,4,景色：主要就是柿子林和风雨桥，感觉不错，柿柿如意好彩头。 趣味：没有任何特别的娱乐活动，可以游船。 交通：自驾最方便。公交车只能到莲花镇，3块。也有其他私营一样的小面包车，5块。无论公交还是小面包，都在莲花镇下车，走2.4公里进村(一路景色很好)。
2017-04-04,未知,5,虽然10月才是来的时候，现在没有柿子看，但景区还是没有让人失望，当地人都十分实诚，很热心的为你指导怎么游玩，吃的买的，吃饭根本不用担心当地人会骗你，游瓜可坐可不坐，但为了照顾下当地的经济也可以去坐坐的
2021-06-18,未知,5,小小的一个村落里，满满的收获！金灿灿的叶子飘落了，同时金灿灿的柿子成熟了。家家户户都忙着采摘，晾晒，家挨着家，放眼望去成了一幅美丽的风景画。太漂亮了。
2020-11-28,未知,5,恭城红岩村月柿红了，颜色非常的漂亮，很美很好看，满山红柿子，有没有树叶的，也有树叶的，趣味性强，适合拍照的好地方，美极了。
2017-02-20,未知,5,很好，风景美丽，有山有水，柿林红遍，建议有规划，腊味，柿饼，油茶鸡值得品赏，水漫路那段标志性景点记得拍照啊大家，值得推荐
2016-12-11,未知,5,到处都系柿子树周围很安静漂亮啊
2024-12-16,广西,5,景色很美，配套设施齐全，很有特色！
2017-10-01,未知,5,红岩村村民，民风淳朴，有万亩柿子园，可以去果园里摘柿子，是一个很适合休闲娱乐的小村庄，这一趟很开心。
2019-02-03,未知,5,这几天来的，天气也不算冷~很喜欢这里的柿子还有休闲自在的感觉~住的柿园楼这门前就是很多柿子，还可以吃熟的，总之我喜欢。
2021-06-17,未知,5,广西恭城：金秋时节果农晒柿忙 又是一年金秋时节，在广西恭城瑶族自治县，果农将采摘后的柿子晾晒在房前屋后，犹如一幅幅丰收的画卷。
2019-03-30,未知,5,是恭城县最有名的一个新农村示范点，以种植月柿为主要产业。村里有条河经过，风景还算不错，还有一个小的风雨桥。其他没什么可看的。
2017-05-02,未知,5,环境优美，风景怡人，性价比感觉还是不错滴，可以去看看
2017-03-12,未知,5,红岩的山水如画一般的美，撑着竹筏看风景更是美
2016-12-12,未知,4,恭城月柿节，十月份非常热闹，主要以柿子出名，恭城的油茶也很出名，可以尝尝。
2016-09-18,未知,5,值得去okjnjvlgkgvgl
2016-10-15,未知,5,为了传说中的红岩村，我们正赶着去上睹美景
2016-03-04,未知,5,挺好的，能自己撑船，还有当地的特产。
2016-10-22,未知,5,人气旺盛的古村，景美，慕名而来
2017-11-19,未知,4,柿子成熟时去，淡淡果味飘逸在鼻尖，心情甜蜜蜜的
2023-08-19,北京,5,属于桂北，与湖南接壤。特色小吃是油茶。
2023-06-07,四川,4,地理位置显著，交通便利，不一样特色文
2023-01-15,广东,4,还不错，吃住玩都还可以，而且不贵。
2016-06-14,未知,4,不错的，建议大家一起去玩还有船
2017-01-17,未知,3,充满瑶族风情的一个村落。喜欢这里的民风。
2020-09-28,未知,3,每年的柿子节很热闹 希望越来越好
2016-10-26,未知,1,现在正在举行柿子节，但是村子很小，旅游设施不完善，停车场小，大部分车只能自己找位置，当地居民赶来赶去，很不热情，不会再去第二次。
2024-10-22,广东,1,就是一个大农贸产品推销会。民风不古，前两天过去买柿子被坑了。大家当心。特别小心邮寄，太恶心了。
