date,ip 属地,评分,comments
2017-04-25,未知,5,日月双塔位于桂林市中心区，与象山相邻，象山是桂林的名片，双塔就是桂林的标识。日塔、月塔与象山上的普贤塔、塔山上的寿佛塔，相互呼应，相互映衬，有“四塔同美”之说。日月双塔号称世界第一铜塔，去桂林旅游必去的一个夜景观赏地。
2017-03-19,未知,5,半开放式的景点，如果不登塔不用买门票，绕湖一周就能全方位的打量这两座塔。整个公园湖泊，双塔，湖边的漫步道，湖周边的建筑，很和谐的融合在一起。本地市民也很钟情这座公园，休闲，漫步，垂钓.......
2024-08-19,广西,5,晚上吃完饭，散步至日月双塔，景区内游人如织。免费开放欢迎各方游客。桂林市区管理有序，城市建设及市容市貌不错。山水秀丽，处处是风景，推荐来桂林！
2024-08-09,广西,5,围着日月塔转了一圈。拍摄的不同角度的塔。这塔呀还是得晚上来。也没有必要登上去，因为它最大的亮点就是它的颜色，白天塔没有开灯都是一样的了。最棒的是正阳步行街，和它是连接的。景色很集中。象山也不远，可以下午游玩象山，晚饭后游玩双塔。
2017-10-17,未知,4,"日月双塔是桂林旅游的一个著名的夜景观赏地，位于杉湖，日塔为铜塔，号称世界第一铜塔，月塔为琉璃塔。早上和傍晚日月双塔在晨光、落日照射下，是白天中最漂亮的时候；而晚上日塔闪着金光，月塔闪着银光，以及湖水中金黄、银白的倒影在夜色中美轮美奂！ 交通信息：桂林市秀峰区文明路榕杉湖景区内, 可乘23、2路公交车到象山公园站下车步行到杉湖知音台码头可以~ 门票信息:市场价42元（提前一个小时在网上买票更优惠~） 开放时间8:00-22:00（推荐傍晚进去，可看日落，然后晚上可以看夜景）"
2017-06-18,未知,5,真的很美很美很美！！！景色太美，但是完全没有必要买公园门票，我们是在美团上买的团购票13.3一张票，压根儿就没有买票的必要！！不用买票就可以进去！！不得不说的是景色太美，真心没得不要不要的……一个一去，夜幕降临好看！！
2015-12-02,未知,5,日月双塔位于桂林市中心的杉湖中，夜游两江四湖，日月双塔是不可缺少的景色，夜色笼罩下，日月双塔通体灯火通明，金银交映，景色非常美。不坐船游，也可到湖边观景，绕湖转了一圈，感觉各个角度拍照都不错，去桂林的朋友，千万不要错过。
2020-09-27,未知,5,桂林山水甲天下，确实名不虚传。整个城市就是一副画卷。日月双塔也是其中的一大美景，其他地方的塔一般都是一座，但这里有两座塔，晚上灯光亮起来的话，正式交相辉映，非常漂亮。
2016-08-29,未知,5,日月双塔坐落在两江四湖之一的杉湖里。也是桂林现在的新地标。白天看不出她有多特别，夜幕降临后灯火通明。日塔金光闪闪，高41米；月塔银光闪闪，高35米。两塔水中相通，交相辉映。两江四湖游船都会停留让游客拍照，双塔岸边不时引来路人驻足～
2016-12-14,未知,5,两个塔还是不错的，可惜商业气息太浓，塔外看着很赞，塔内简直太随意，好歹把专修完后的架子抬走啊，怎么看都不对劲，还有在塔里晾衣服的。。。
2024-11-09,上海,4,来桂林就是住在附近，过来很方便。本来买了门票但要等 30 分钟才能兑换，晚上不想等，无意中发现这公园外围的步道其实能看到很好的角度，可以拍到双塔亮灯美景。
2024-08-03,广西,5,看了攻略，就拍照不要花钱。晚上还是好看的。
2023-08-22,江苏,5,20230311晚上： 1、“日月双塔”位于5A景区“两江四湖•象山”内。两江四湖•象山是桂林市闻名于世的地标式山水风光名胜，是来桂林必打卡的网红景点，其水系像血液般贯穿市区，城市与山水融为一体，属于开放式景区，游走于桂林街头便不知不觉徜徉在碧水翠山之间。景区分为“两江四湖”和“象鼻山”两大区块，入园均免费，前者适合夜景，后者适合白天游览。 ①地址：桂林市象山区。 ②交通：公交直达，开车很好停。 ③旺季：无。 ④用时：2小时。 2、日月双塔原为木制，始建于唐天宝九年（750年），由后来东渡日本弘扬佛法和大唐文化的鉴真大和尚主持兴建，地宫发现于1999年，出土了多个佛教密宗相关文物，眼前的双塔是2001年复建的，靠近湖岸、矮胖的塔是月塔，7层，银白色灯光；靠近湖中心、高瘦的塔是日塔，9层，金黄色灯光，耗铜352吨，号称“世界第一铜塔”，是世界最高的铜制建筑物和最高的水中塔。双塔塔顶都有存放舍利子的法器，并能形成磁场吸收天地灵气。登日月双塔需要买28元门票，有免费讲解，唯一出入通道“心之小路”周围有各种佛教小物件、“十二生肖寿字碑”（十二生肖石柱）、系着红色祈福带的竹林。月塔下有“药师井”（仿制石井）、药师佛金像、“摩尼车”（自唐玄宗时期风靡长达88年的唐密法器，直到唐武宗灭佛运动后消失）、假山山洞（白开放山洞，洞内到处是水）。月塔只能徒步上塔，塔身有双塔的科普介绍，包括结构、历史、出土文物等信息，一楼是一圈仿制佛家文物。双塔的负一层是商铺，之间通过10多米长的地下通道连接。日塔有电梯，但电梯只到七层，九层供奉着地宫出土的十一面千手观音，一层有口大钟可敲三下祈福。双塔19:00亮灯，22:00关门，塔顶视野开阔，我等了2小时到日落和晚上开灯拍夜景，日塔无厕所得强憋着。
2018-03-28,未知,5,桂林地标之一，旁边是李宗仁先生的宫邸，建议不要坐船，到塔里去看看，日月双塔分两坐塔，日塔没有电梯，可上二楼去坐坐，聊聊天，负一楼有唐代文物，也是通往月塔的通道，可以坐电梯直接上七楼，再走楼梯上八楼，九楼不要上去，如果你钱用的话也没问题。
2017-12-17,未知,5,桂林旅游标志之一（另一个是象鼻山），日月双塔挨着象鼻山，欣赏双塔是免费的，如果要登塔需要购买门票（好像9元），双塔的美在于夜景，在霓虹灯光点缀下，白色的琉璃塔发出耀眼的光芒，旁边的铜塔则将光线映衬出金黄，倒映在湖中，异常美丽。是去桂林必赏的景点之一。
2017-08-31,未知,5,参观桂林日月双塔书《日塔月塔永不分》日月双塔座桂林，湖底遂道心连心。日塔铜塔九层阳，月塔琉璃七层阴。日塔金碧十三丈，世界之最祈福音，月塔银辉十二丈，太极鼓声传妙韵。双塔五彩桂花香，壁画花卉瑶王印。滚滚红尘映金银，日塔月塔永不分。
2017-09-10,未知,5,日月双塔，现在是19:25左右开灯，夜景很美！可以坐游船，也可以步行绕湖走一圈。步行可以看日月双塔，玻璃桥等。灯光打开后，非常漂亮，真的很美，非常值得一看。
2024-08-20,广东,5,第4次去桂林旅游，这次主要是带小妹妹玩开心，白天和夜景各有风情，非常值得！
2017-05-25,未知,5,桂林双塔公园为免费游览，晚上去更加有魅力，霓虹灯映衬出双塔的轮廓，远观耀眼迤逦，而且晚上有众多的市民在公园内散步，周边也有桂林的特色美食节和商业街市！
2024-08-14,上海,5,说三遍：晚上去！晚上去！晚上去！ 因为灯打开才好看。登塔没必要。 建议坐船夜游一江四湖时候拍照，或者在日月塔码头时拍角度最美
2019-05-08,未知,5,我和春天有个约会——“日月双塔”（四十七）， “日月双塔”，桂林市历史建筑，国家AAAAA级旅游景区，地处桂林市中心区，坐落在桂林城的中轴线上，与“象山水月”相邻，日塔、月塔与象山上的普贤塔，塔山上的寿佛塔相互呼应，相互映衬，有“四塔同美”之说。日塔高41米，共九层，通体为纯铜装饰，是世界上最高的铜塔，最高的铜质建筑物，最高的水中塔。月塔高35米，共七层，为琉璃塔，双塔之间通过湖底18米的水下通道相连，也可以乘坐电梯登上日塔，桂林城秀美的湖光山色尽收眼底，更是桂林绝美夜景的观赏地，
2018-05-07,未知,5,你要问值得去吗？不知道，反正我前后半个月去了两次，每次都转了好几趟。 静静的湖水，湖边翠绿的树枝，你不要走太快，不要只顾拍照，你得找个石墩子，坐下来，静静的欣赏。 第二次更美了，碰上下小雨，很小，不用打伞，雨滴就像是飞到了脸上和脖子上，还飞到了湖面上，没有涟漪，只是静静的融进湖水。天水一色，而岸边依然翠绿，那种意境，你得等下次下小雨才能感觉到了。 差点不走了，那天。
2018-04-16,未知,5,日月双塔，位于桂林市中心，是在唐代佛塔的基础上于2001年重建的，是桂林市的新地标。日塔为铜塔，高41米，共9层；月塔为琉璃塔，高35米，共7层。两塔之间以18米长的水下水族馆联通。铜塔创造了三项世界纪录，即最高的铜塔，最高的铜质建筑物，最高的水中塔。绕湖游览能看到不同角度的双塔，日月双塔已成为观赏桂林城市精华美景的胜地。晚上的日月双塔格外漂亮，塔身的灯全部亮起，一白一黄映照在湖面上别有一番景色。
2018-04-11,未知,5,日月双塔公园是桂林的标志，公园白天游人很少，晚上游人很多，7点半左右双塔亮灯，一白一黄挺别漂亮。公园门口右侧有一条水上走廊是拍摄双塔的极佳角度。绕湖游览能看到不同角度的双塔。双塔离象鼻山和正阳街很近。从象鼻山3号门出来，就是榕杉湖景区，步行10分钟就到双塔。从正阳街向南走，就可以到双塔公园。
2017-10-10,未知,5,2017年9月21-26日在携程网购买了《桂林+阳朔6日自由行·悠闲自得·细细品味 赠接机》套餐，游玩了桂林阳朔两地；21日12:05浦东机场登机，14:45到达两江机场，机场出口有携程网接机人员等候，直送桂林蓝宝石酒店。办完酒店住宿，就游览了日月双塔；门票也是携程网购买的，只有9元一张，可登两座塔，一座需自己攀登到顶，另一座有电梯送达顶层。日月双塔很漂亮，夜景更美丽，值得为桂林人民赞美！为日月双塔点赞！
2017-08-04,未知,5,日月双塔是桂林市中心秀峰区的具有标志牲的地标性建筑，这里也是游览市内四个美丽湖泊的船妈头，熙熙攘攘人来人往好不热闹。日月双塔配上湖光景色，尤其是在水中留下的水中倒影美极了。这是湖边塔下是桂林市委市政府的招待所宾馆，可以想象这里的地位。
