date,ip 属地,评分,comments
2017-02-09,未知,5,很静逸的村子，农房基本都在修民宿，规模看着也不小，造价应该挺贵。秘密花园酒店也藏在其中，有咖啡店，四面群山环绕，喜欢安静的客人可以选择。
2018-10-06,未知,5,旧县村，是位于阳朔白沙镇遇龙河畔的一个小村落，有清末官邸遗址，既可以欣赏古居，又可以欣赏河光山色，是个世外桃源一般的地方，到了这里整个节奏都慢了几分。古居是清末县令居处，旁边黎家出了一个举人，一个秀才，一个抗日将领，现在古居有三处已经被改为民宿，环境还不错，唯一剩下的一处老房子为黎氏后人居住，值得凭吊。遇龙河畔风光独好，不再多形容了。
2017-12-21,未知,4,乡舍深处，悠闲宁静，田园瓦舍，从农家乐老板的亲和友善，体会了一把村民的淳朴热情。在暖阳下，享受一顿朴素的啤酒鱼和炒菜，也别有情趣。 村镇的幢幢民房，看的出村落的发展足迹。 打听了一下民居，淡季大约300左右，旺季600左右。
2018-09-19,未知,5,一个地方有武魁相对应的也会有文魁，旧县就是文魁的村子。旧县有2个祠堂，新的是毛姓祠堂，旧的是黎姓祠堂。这里是附近一带保存得最大最完整的明清建筑群了，所以游客也比夏棠寨多一些。这里最老的宅子也被改成了民宿，但是也是可以参观的。偶遇一个非常可爱的小朋友，心都要化了。
2017-01-22,未知,4,朔旧县村 坐落在遇龙河 畔的凤冠山下田畴间，这座始建于1400多年前的老村里，现存有很多晚清封闭式庄园风格的老宅子和修旧如旧的庭院，走在村里的青石路上，随处可见健朗的长寿老人，或围坐烤火唠家常，或打扫庭院整理伴手礼，或生火做饭备年货……都在用各自的方式乐享田园晚年。抽着用鱼骨自制烟斗的爷爷告诉我，这个村子百岁以上的老人就有五个，一副自豪骄傲的语气也着实让人羡慕村里的好生态。
2016-11-02,未知,4,阳朔的旧县是遇龙河旁的一个古村，田园风光迷人，清静秀丽，房舍古朴，周围山峰奇特，原生态的生活环境保存良好，是典型的世外桃源。
2017-07-26,未知,4,还行吧，满有味道的.一些人家门口装得很好，商业也很少，乡村气息很足，挺美的，环境很好。蜻蜓，蝴蝶很多，自己觉得不错，只是村子有点小，不过很值得，可以去看
2020-05-18,未知,5,阳朔县遇龙河边的一个小村庄。历史也比较悠久，据说以前是阳朔县最早的县址所在。在小漓江之称的遇龙河边风景也比较优美。村里面已经坚持了很多风格各异的民宿。很值得来体验一下。
2017-03-08,未知,4,阳朔白沙镇旧县村是遇龙河旁的一个古村，村子不大，原生态的生活环境保存良好，富有乡村的淳朴气息。希望能一直保持原有的味道。
2016-07-23,未知,4,离开遇龙桥，车行至旧县村。 古村落不大，真正古老的房子也没见到几间，其中还有“私家庭院，谢绝参观”的，游玩20分钟足矣。 有“腔调”！
2018-10-04,未知,5,人少，风好景，租个电瓶车或者自行车转转不错～～米粉也好吃～～
2017-07-27,未知,4,个民国时期的阳朔老县城旧县衙，犹如落地的凤凰，早褪化成乡村土鸡了。走进村落，路边的农家小院，果实累累的黄皮挂满枝头，记得还是去年的英德，才第一次认识和吃到了黄皮，从此便对这酸中带甜的小果子喜爱有加。我们一群小伙伴边走边顺手摘几粒吃，仿佛这是儿时外婆家，自有大人罩着，不必担心被主人家发现。
2022-03-11,未知,5,旧县是阳朔白沙镇的一个村，位于阳朔县城西部，村外是漓江支流的遇龙河。 公元621年至627年为阳朔县（当时的义县）县衙所在地，故名“旧县”，有一千四百多年了。
2019-06-08,未知,3,村里的古建都集中在山脚下，因为古建较多，仅抽取了村旁方便停车的四合院做成民宿的模式，可惜不能进去参观，但是这样的样式还是不错的，至少有人气，古建才不会荒废
2017-01-19,未知,4,旧县村 ，遇龙河 流域的一座古村落，在公元621年至627年为当时的阳朔县衙所在地，故名“旧县”。山峰倒映在稻田中，一派田园风光，赏心悦目。
2017-08-20,未知,4,时间充裕的情况下可以来看看，其实我觉得是一个挺不错的县城，可是有很多老房子都成了民宿，太可惜了！
2016-12-29,未知,4,杨朔是一个很美且人尽皆知的小镇 但很大少的人去去到旧县这个城市 这里乡村气息很强 淳朴 在这里休闲的呆上两三天 吸吸氧 真舒服
2016-12-23,未知,5,这是一家非常出名的餐厅，位置非常好找，老板，热情号好客，环境也非常好，饭菜非常美味，很适合我们的胃口。欢迎各位吃货朋友们光临。
2018-09-10,未知,5,抗日将领黎行恕将军的出生地，参加了台儿庄战役，后来位居军长，建国初期就去世了，扼腕叹息，抗日英雄永垂不朽！
2018-07-31,未知,3,据说是以前的阳朔县城 真还看不出来曾经做过县城
2017-08-19,未知,5,遇龙河旁边一个小村庄，有些历史，古建筑保存也不错，游遇龙河的时候顺便去看了看。遇龙河边景色都很美!
2015-11-06,未知,4,旧县村在唐朝时曾置县、为县城所在地、为了历史的纪念而取名为旧县村、村落还有不少残桓、召示古村的沧田桑海。
2018-02-25,未知,5,在遇龙河的上游，很古朴的村落。
2020-07-15,未知,5,周围的风景很不错，山山水水很漂亮，人也还比较淳朴
2017-05-02,未知,5,遇龙河漂流，推荐从金龙桥漂流到旧县，竹筏风景无敌
2021-12-07,未知,4,一些人家门口装得很好，商业也很少，乡村气息很足，挺美的，环境很好。还行吧，满有味道的
2021-01-20,未知,5,小村庄，景色不错，古色古香，可以去看看。
2022-05-22,未知,5,有空就到这里溜达溜达，是个不错的选择！
2017-03-20,未知,5,想在这里安家落户，小桥流水人家
2018-03-12,未知,4,挺不错的地方，方便可以去玩玩，嘿嘿
2018-03-14,未知,4,这地方不错哦，玩得挺开心的，嘿嘿
2016-01-03,未知,1,说一个景点适合发呆，是一种委婉的差评，言下之意是“来都来了⋯⋯”在此见识了当地人的刻薄无理，今后不会再来。
