date,ip 属地,评分,comments
2016-11-03,未知,5,普贤塔，位于象鼻山山顶，跟团游是不会有时间上来的。象鼻山，去过两次，第一次跟团，走马观花了一下，照了几张照片就走了。第二次带着家人自驾游，进来到处转转，发现居然可以上山，这样才能看到普贤塔。普贤塔其实只是个瓶子状的建筑，但是一看就很有历史，矗立在山顶肯定有着寓意。普贤塔由红砖搭建，没有门可以进，所以不能进去参观，只能远观了。
2017-01-13,未知,5,普贤塔，象鼻山山顶上一个小景点。普贤塔不是寺庙，没有大门可以进去参观，而是由红砖堆砌而成的塔状建筑，看上去普贤塔颇有历史，经历多年风吹雨打，依然矗立在山顶，岿然不动。
2023-09-02,山东,5,20230317上午： 1、“普贤塔”位于5A景区“两江四湖•象山”。该景物是桂林市闻名于世的地标式山水风光名胜，是来桂林必打卡的网红景点，其水系像血液般贯穿市区，城市与山水融为一体，属于开放式景区，游走于桂林街头便不知不觉徜徉在碧水翠山之间。景区分为“两江四湖”和“象山”（也称“象鼻山”）两大区块，入园均免费，前者适合夜景，后者适合白天游览。入园免费。 ①地址：桂林市象山区民主路1号。 ②交通：公交直达，开车很好停。 ③旺季：无。 ④用时：3小时。 2、普贤塔始建于明初的实心塔，塔身第二层嵌有“南无普贤菩萨”，故得名，又因像剑柄和宝瓶，也称“剑柄塔”和“宝瓶塔”，高13.6米，是桂林市区内4座古塔之一，另外3座为“佛寿塔”、“木龙古塔”、“舍利塔”。塔内小孔中有烧香的残留）、“抗战遗址”（抗日战争时期依山而建的防御体系，象鼻山位于桂林市区群山的中央，这里的高射炮在1939年击落过日军战机，1944年“桂林保卫战”时作为170师的防御阵地，目前留有“象鼻山防空洞炮兵阵地”和几个碉堡）、“象山顶遗址”（500平方米的象山顶发现了新石器时代晚期和商周时期，即2500-4500年前古人生活的遗址，出土了众多人物，古时象山已成为人类离开洞穴生活的理想栖息地）。
2021-06-25,未知,5,普贤塔坐落在象山的山顶。从山脚下拾级而上，兜兜转转到达山顶就看到了。 夏天的时候，塔周围树木茂盛，塔身被树木遮挡，在远处很难看到，只有到山顶近前才能发现。塔身有三层，砖砌而成，底部两层基座有棱有角，基座上部有个椭圆形的塔身。因为像剑柄，所以也被称作剑柄塔。 因为地势高，站在塔旁边可以俯瞰四周桂林的市区和远处的山水，登高望远，视野很好。
2019-05-07,未知,5,我和春天有个约会——“普贤塔”（四十四）， “普贤塔”——耸立于桂林象鼻山顶，用以供奉菩贤菩萨。在中国供奉菩贤的佛塔只有两座，一个在四川峨眉山，一个就在桂林的象鼻山，菩贤塔沿袭了藏传文化的喇嘛式实心砖塔，塔高13.6米，为双层八角形虚弥座，在第二层基座正北面，嵌有青石浅刻的南天菩贤菩萨像。普贤塔位于象山之巅，远看像插在象背上的剑柄，又像一只古雅的宝瓶，恰与桂林山水的美丽传说相吻合，而大象在亚洲许多国家都是吉祥的象征，大象驮宝瓶，也象征着和平、美好和幸福，
2016-05-19,未知,4,这座砖塔建于明代，也算是比较有价值的历史建筑了。首先喇嘛式的风格在南方地区就已很罕见，而塔建在著名的象鼻山之上，更有如加了一道神来之笔，远观就像大象驮着一樽宝瓶，寓意和平。好不容易爬上山，才发现其风化严重，外墙斑驳，还是远观会比较有趣。
2017-11-12,未知,5,在象山背上最高点，远远望去翠绿环抱，若隐若现，拾级而上，历尽艰辛，方见真容。原以为是现代建筑，看到标牌才知，始建于明代的佛塔，五六百岁了，历史的沧桑尽显。
2017-10-31,未知,5,普贤塔，在桂林市市区象鼻山顶，是一座喇嘛或实心砖塔，建于明代初期。塔身第二层正北面嵌有青石线刻“南无普贤菩萨”。远看此塔， 像插在象背一支剑柄或置于象背一只宝瓶， 故亦有剑柄塔、宝瓶塔之称。
2021-04-13,未知,5,古老天然的宝塔，绝对不是后面修建的，我个人很喜欢这种天然古色。周围山林密布，空气优质，宝塔深入其中，让人心旷神怡，宁静优思。值的观赏！
2018-05-25,未知,4,普贤塔就在象鼻山上，很陈旧了，都长草了，存在大概是历史价值吧！登象鼻山是可以去看看，普贤塔附近有几个观景点，上面吹吹风不错。
2018-01-21,未知,5,"象山山腰有一岩洞名曰“象眼岩”,是一个南北两侧互相贯通的山洞，高约2米，宽5米～ 10米，长52.8米，原是一段古地下河道，因位置恰巧在象眼处而得名。象眼岩南北两洞，是眺望风景的绝妙窗口。巨象也正因为有了这一对象眼而显得更加神采奕奕。 出象眼岩曲折而上，至象山之巅。山势孤拔陡峭，山岩鳞峋，崖间藤蔓缠绕，山榕依依，山顶树木成荫，小道迂回；绿树丛中，一座喇嘛式实心传塔耸立平岩石之上，即为普贤塔，远看像插在象背上的剑柄，又像一只古雅的宝瓶，因此称“剑柄塔”，或“宝瓶塔”。该塔建于明代，塔高13．6米，塔基为双层八角须弥座，在第二层基座正北面，嵌有青石浅刻的南天普贤菩萨像。普贤塔位于象山之颠，不仅与桂林山水的传说相吻合，又印证了普贤菩萨乘大象之说，而大象驮宝瓶，在亚洲各国的许多传说中，也象征着和平、美好和幸福。"
2016-02-19,未知,4,可以看看，了解历史，不过没有什么特色。
2016-11-22,未知,5,"桂林""山青,水秀,洞奇,石美""，具有世界上典型的亚热带岩溶峰林景观，典型的喀斯特地貌构成了世上最美的山水奇迹，其境内的山水风光举世闻名，千百年来享有“桂林山水甲天下”的美誉。"
2020-10-18,未知,4,普贤塔在象山景区象鼻山顶，是一座喇嘛式的实心砖塔，建于明代初期。塔身第二层正北面嵌有青石线刻“南无普贤菩萨”，因此被称为普贤塔
2016-10-11,未知,3,没呢，虽然是市徽，但是不怎么好玩，景点很小
2020-12-01,未知,5,🐘 象鼻山原名漓山，又叫仪山、沉水山，简称象山，1986年依象鼻山辟建箱涵公园，园内以象鼻山为主体，“象山水月”、仿古建筑云峰寺、爱情岛、明代建筑普贤塔等景观。普贤塔在象鼻山上，实心塔！象鼻山是桂林重点的旅游景点
2018-10-18,未知,5,象山顶，建于明代，有古韵味，象山不高，很容易到山顶，可以看到桂林城区风景
2016-10-19,未知,3,个人感觉一般，这塔也没什么看头，不过象鼻山还是值得一爬的，差不多可以的看到桂林的全景吧。
2016-10-24,未知,5,挺好玩的，希望各地朋友都能来玩玩看看。
2016-09-20,未知,3,象鼻山上的一座古塔，传闻宝象是普贤菩萨的坐骑，要爬山到顶才能看到。
2016-04-23,未知,3,在象山景区内爬一大段不级才到，附近有一块白碑介绍。但塔则无什可观，外墙已经剝落不少，失去原有的外物。
2016-04-07,未知,3,赶上桂林下雨。这叫一个大。象山公园全部淹没在滔滔江水里。颜色超赶黄河水。只有一个象鼻山孤零零的立在江里。上到顶上没有指示牌。转错好几次下不来。路过普贤塔好几次。没有兴趣看一眼。
2018-02-23,未知,5,爬山锻炼身体，山顶有你意想不到的另外一片风景！
2016-11-30,未知,4,在象山顶上，站在上面远眺，风景尽收眼底。桂林的景点很多，但几乎都收费，而且费用不低。
2017-04-08,未知,5,好评，没刷亮点，不知道啥时候建的，作用是啥，应该是现代仿制。
2017-08-15,未知,5,唯一一次在桂林这么多天，接受了一次佛教洗礼，转了下佛塔。
2017-12-21,未知,5,在象山的山顶，象山是桂林的城徽，但是门票略坑，建议在滨江路看看就行了。
2017-03-30,未知,5,一到周末放假，有时间都会去走走看看，呼吸新鲜空气，感受大自然的气息！
2018-08-14,未知,5,山不高有塔成名，不像️❤️即可象。漓江水清游人畅，入水象⛰️旺。
2017-09-04,未知,5,景色宜人……趣味十足，性价比高的一次旅行……一如既往的五星好评！
2017-03-30,未知,5,上次去象山公园玩了一趟。感觉挺不错的。唯一的遗憾就是没找到普贤塔
2021-09-17,未知,5,路过的时候看一眼就行，就在象鼻山那片，可以网上搜下渊源。
