date,ip 属地,评分,comments
2023-08-21,江苏,5,20230312上午： 1、“月牙山”位于4A景区“七星景区”内。七星景区是漓江东岸的山水溶洞风光，是桂林市最大的综合性公园，历史悠久始于隋唐，留有徐霞客、邓小平、邓颖超、粟裕、李岚清、吴邦国、李铁映、十世班禅、西哈努克、克林顿等名人足迹，森林覆盖率84%堪称桂林绿肺，并占据桂林古续八景中的两处，即“栖霞真境”和“壶山赤霞”。七星景区所在的“七星山”由“普陀山”的4峰（天枢、天璇、天玑、天权）和“月牙山”的3峰（玉衡、开阳、瑶光）组成，7座山峰以北斗七星分别命名，分布形状犹如北斗七星，七星山由此得名。 ①地址：桂林市七星区七星路1号。 ②交通：公交直达，开车很好停。 ③旺季：无。 ④用时：6小时。 2、最南边的小道通向月牙山南麓的“桂海碑林”区域，一段曲折的盘山路文化氛围浓厚，一边是逼人而来的山岩，岩壁上屡见石刻；一边是漓江支流小东江缓缓淌过，轻柔舒缓。途经“伴月亭”（位于半山腰，始建于清代、重建于1958年和1978年，可俯瞰江景）、“小广寒”（建于1964年的二层仿古阁楼，位于“月牙岩”，原址曾为月牙山寺。附近山道上有休息亭阁“襟江阁”）、“丹桂岩遗址”（距今4000-1万年的新石器时代人类遗址，文物已迁走只留一座坑洞）、“龙隐洞”（天然半露天的大山洞，洞壁上石刻很多，步行在壁立千仞的洞内让人豪情万丈）后到达“桂海碑林博物馆”。馆内由“龙隐岩”洞窟和室内博物馆组成，龙隐岩上的石刻密布，与龙隐洞内唐代至清代的石刻合计210多帧，以宋代最多，视觉效果震撼，室内的题刻展览馆可细细欣赏拓印下的书法，历朝历代各种风格应有尽有。过景区“龙隐大门”继续绕山到达桂海碑林，这里收集了桂林市内散落石制物件、塑像、牌坊、石井、墓地石俑等，都是文物。登山小道上只有一座“揽月亭”。 3、逆时针绕到月牙山东麓和“辅星山”之间的小道上，这里是野生猕猴的地盘，红屁股野猴大摇大摆地在人前人后走过，吸引了众多家长孩子来喂食，食物充沛使得猴子的胃口也挑剔起来，对散落一地的玉米爱搭不理。景区里不少小洞被封闭禁止通行了，至此游览结束，都走遍用时6小时。
2020-10-20,未知,5,有人传说月牙山是人为造出来的，也有人说是天然的，不管怎么说，从远处来看，就像一个月牙，把它作为一个背景来照相，也是挺好看的。
2017-04-20,未知,5,环境很好，很舒服，一百多元就是游玩地方小了点！
2015-12-03,未知,4,"七星公园环境优美、空旷开阔。据介绍，从天空上俯瞰，七星公园的七座山头就像天上的北斗七星，前面有三座山峰，像斗柄，叫“月牙山”；北面有四座山峰，像斗勺，叫“普陀山”。两山七峰，好像天山的“北斗七星”，合称“七星山”。月牙山前，有巨大的广场，还有著名的月牙楼，这里的尼姑素面十分有名，只不过此时月牙楼正在整修，没有机会吃到。“月牙楼”是1963年郭沫若就餐时题写。郭沫若还题诗赞美曰： “月牙楼是画廊楼， 八面奇峰豁远眸。毋怪楼中无一画， 画图难及自然优。”这首小诗琅琅上口，尤其是豁字，在其他的诗作中很少见到，很冷僻，又是俗语，给人留下深刻印象。 月牙山下月牙楼，晚晴云彩在初秋。月牙楼如同被月牙山怀抱，显得非常温馨。 月牙山下有很多小猴子，它们在树枝上跳来跳去，弄得树叶沙沙作响。一个和尚在逗猴子，他和我说，猴子很机灵，你摸兜它盯着看你有什么好吃的，你抓石头它知道是假的根本不在乎。此时传来一阵声音，却是另外两个和尚走来，他看了一眼，笑道“不是monkey,而是monk”，人说和尚都是高级知识分子，都是佛学院毕业，看来不虚此言。"
2017-12-19,未知,5,在七星公园里面，小学时春秋游经常去，风景优美。
2017-12-25,未知,5,这山这水没话说，有点流连忘返的感觉
2017-11-30,未知,4,"月牙山位于七星公园内, 是七星山的斗柄峰之一, 因山腰有岩如新月,故名。"
2017-10-30,未知,4,风景比较独特，值得去玩一玩看一看。
2019-01-05,未知,4,在七星公园里面，有餐饮和住宿。
2017-07-07,未知,3,这个今天也是在公园里面，还可以吧。
