date,ip 属地,评分,comments
2017-08-05,未知,5,木龙塔与日月双塔齐名，位于桂林市的叠彩区，高高的塔身配上翠绿的群山，景色极其秀美，真的体会了天下景色数桂林的感觉。桂林必游景点。
2019-01-29,未知,5,桂林的塔很多，其中最有名的是日月双塔，也叫金银双塔，其次就是木龙塔了。木龙塔无论白天或晚上拍照都美翻了，日月双塔则是夜晚拍更好，因为白天照会照上背景中的景区外民房，而木龙塔从任何方向照都不会照到景区外的民房。
2019-05-16,未知,5,木龙湖是二江四湖里最小的一个湖，并有船闸与漓江相通。木龙塔是镇湖之塔，由于该塔存在，给木龙湖增色不少，人们纷纷以木龙塔为背景，记录下自己在木龙湖的身影。
2019-03-04,未知,5,桂林是一个美丽的城市，桂林市由二江四湖环绕分割，形成了发达的水系。木龙湖是四湖里最小的一个湖，但木龙湖旁的木龙塔确是桂林最古老的塔，始建于宋朝，并经多次修缮。
2018-10-26,未知,5,木龙湖湖畔的东镇门为南宋遗迹，故此，让木龙景区与桂林宋朝历史文化对接，形成历史文化主题公园。史料记载桂林还与南宋的高宗有着一段不解之缘；北宋时，桂林为桂州，而南宋的高宗在做皇帝之前，曾在桂林为官数载，高宗深感桂林是一块风水宝地，于是将桂林升为静江府。时过800年，桂林这座曾被南宋余辉光耀的历史文化名城，理所应当不忘旧缘。
2018-03-28,未知,4,木龙湖景区，有新修的木塔，但其实漓江边的木龙洞石塔才是真正的文物。石塔本身趣味性不大，虽然文物价值很高。不过沿江散步路经此处看看风景还是不错的。
2020-06-15,未知,5,木龙塔与日月双塔齐名，位于桂林市的叠彩区，高高的塔身配上翠绿的群山，景色极其秀美，真的体会了天下景色数桂林的感觉。是桂林必游景点。
2016-07-13,未知,4,是木龙湖的地标，七层高塔矗立于湖边的仿古建筑群中央，蔚为壮观，夜景更璀璨。而要区分开的是，这座塔乃新建的旅游景点，在叠彩山景区内，还有一座木龙洞石塔，那个才算是古迹。
2020-07-10,未知,5,在桂林的两江四湖里，有两个湖有塔，杉湖有日月双塔，木龙湖有木龙塔。木龙塔最初修建于宋代，后多次重建，是木龙湖的标志性建筑，必须留影打卡处👍
2016-08-08,未知,4,一路欢歌笑语，我们来到了位于木龙湖上的木龙塔附近。夜色下的木龙塔美不可言，而与之前所见的日塔相比可是瘦小了不少，据导游美眉介绍，它是以上海宋代的龙华塔为蓝本建造的，塔高37米，是一座七层八面的楼阁式宝塔。 轻舟经过木龙塔后，便渐渐向岸边靠拢。一开始我们还误以为要在这里下船了，但当船再次靠近时，岸上的灯光逐渐亮起，盛装打扮的演员们一涌而出，一字排开，伴着欢庆的乐声，大家都载歌载舞起来。在这样美丽的风光映衬之下，歌舞演员更为我们呈现了一场完美的视听盛宴。
2020-11-07,未知,5,木龙湖比邻叠彩山和东镇门，景区内有宋代长城，在城墙上就可俯瞰漓江，整个景区如清明上河图精华，景区漫步闲逛看看书，汉服爱好者也可以拍拍照。
2017-10-25,未知,4,这里的景色非常不错，木龙塔坐落于叠彩景区内，高耸塔影在这里非常突出，从叠彩山上看去，雄傲周边，漓江左右的风光都是它的陪衬。
2017-11-30,未知,4,木龙塔很好看。木龙塔附近的景色宜人，风景优美。山清水秀，鸟语花香，风和日丽，郁郁葱葱。旁边的木龙湖景区也不错，在外面走走就能看到里面的景色。我们也没有进去，在外面就看到了美丽的风景，江山如画，觉得很值。
2019-09-07,未知,4,还行吧，公园不大，半小时足够了
2016-06-20,未知,4,木龙塔 是以上海宋代的龙华塔为蓝本建造的，高45米。在木龙湖南侧与叠彩山 之间建筑以观赏林地、草地、溪流、瀑布为主的生态景观带。
2016-10-23,未知,5,两江四湖的木龙湖值得去一看，晚上有灯光照射更加漂亮
2017-03-30,未知,5,一到周末放假，有时间都会去走走看看，呼吸新鲜空气，感受大自然的气息！
2017-10-09,未知,5,太美了！朋友们都非常喜欢来玩赞赞赞赞
2017-04-20,未知,5,风景很漂亮，值得一去，打算五一再次光临
2017-07-25,未知,5,桂林山水甲天下，真是一点不假，这里的风景太美，太漂亮了。
2019-04-10,未知,5,风景不错啊。。。。。。。。。。。
2016-12-05,未知,5,很喜欢这里的环境，风景不错，大爱
2021-02-09,未知,5,天空瓦蓝，湖水碧绿，这里的清纯是我们东北无法比拟的
2022-01-19,未知,5,还行i：：：：：：：：：：：：：：：：：
2016-08-07,未知,4,很漂亮的建筑，一般在游两江四湖时在船上远观
2021-03-09,未知,4,木龙塔在四湖之一的木龙湖景区，风景还不错
2021-06-11,未知,4,整个园区有清河上名图的感觉，夜景很美
2022-01-23,未知,3,小众景点，有兴趣可以前往了解看看，环境一般般，性价比不高。
2017-07-07,未知,3,你这个塔不高，而且感觉有一点破损了。
2017-08-12,未知,2,木龙塔白天没什么好看，又不能进去，只能在晚上的时候好看点
