date,ip 属地,评分,comments
2017-05-16,未知,5,大家都知道桂林山水甲天下、阳朔风景美如画。 却不知道一个很小众很偏僻的资源县。 桂林市资源县，真的非常小，每一个景点都在县下面的乡镇里。还算比较落后，硬件设施不太完善。 公路也算比较曲折。但是风景美爆了。 从桂林出发也能遇到很多歪果仁骑自行车前行。 桂林到资源坐大巴，差不多两个-两个半小时左右。 建议在县城入住。一天只玩一个景点。 进入景区有人一直纠缠买香…不用理会就好（她可能会跟你走一段路）… 据说赵又廷也来过… 建议早起出行。要吃饱喝足。带些干粮。
2017-05-07,未知,5,八角寨景区位于崀山风景名胜区南部，因主峰斜伸八个翘角而得名。八角寨主峰鹤立鸡群，属典型的丹霞方山，海拔818米，景区面积7.17平方公里，为崀山风景名胜区最高点和最佳观景台。西、南、北三面绝壁，仅东南面有曲径可登。登临山顶面西俯瞰，群峰耸立，沟谷纵横，形态丰富，气象万千。晴时，蓝天、白云、绿树、丹崖融为一体，构成一幅气势恢宏的天然画卷；雾时，峰峦涌动，云海飘渺，恰似千条鲸鱼闹海。山顶有始建于北宋的云台寺，供奉有当地抗金名将杨再兴等人的塑像，香火千年不断。 八角寨景区以高大圆顶密集式丹霞峰丛峰林地貌景观为特点，被国内外学者誉为“壮年期丹霞峰丛峰林地貌的杰出代表”和“中国丹霞地貌主要类型和基本特征的模式地”。景区内有“鲸鱼闹海”、“群螺观天”、“神斧降龙”、“龙头神香”、“仙人下棋”、“天门中开”等胜景，丹霞地貌研究专家和命名人陈国达院士赞誉为“丹霞之魂，国之瑰宝”。 八角寨景区太美了，要身临其间住在山上看日出，运气好还可以云雾缭绕，简直身处神仙的地方！
2017-03-28,未知,5,登上不足两平方米的观景台，放目远眺：一边是湖南新宁丹霞群，一边是广西资源的丹霞山峰群；伸向八方的八个山峰有六个山峰在湖南，两个在广西。长达十余公里幽深莫测的峡谷中，构成一座天然的艺术长廊。大自然的变幻无穷，也带给八角寨不同形态的美。雾海蒙蒙时，浮运缥缈之中。
2016-04-24,未知,5,这次来桂林去八角寨 ，不虚此行 。早上在桂林北客运站乘8:45到梅溪镇的车 ，三个半小时到梅溪 。下车摩的到八角寨 下午爬山，山上景色优美 壮观 不愧是最美丹霞地貌。大概四个小时 ，晚上住宿山下世外桃源农家乐 ，老板娘看我自己一个人 邀请我和她们一起吃饭 让我倍感亲切。饭菜好吃 ，住宿干净。在农家乐周围拍了些照片 真不愧叫室外桃源。大家记住是世外桃源农家乐，不是什么摄影之家！
2020-06-18,未知,5,八角寨又名云台山，位于广西资源县梅溪镇大坨村和湖南新宁县崀山镇的崀山景区交接处（八角寨一边属广西资源县，另一边属湖南新宁县，因此名称上有新宁八角寨和资源八角寨），地处五岭山脉里最长者越城岭山脉腹地区域的西北侧余脉（以崀山为代表的广义崀山即大崀山）。资源八角寨—新宁崀山已经形成了一个优势互补的复合型整体景区。主峰海拔818米，因主峰有八个翘角而得名。其发育丰富程度及品位世界罕见，被有关专家誉为“丹霞之魂、国家瑰宝 ”，“中国最美的七大丹霞”之一：资源县丹霞地貌分布面积125平方公里，新宁县崀山分布面积108平方公里。桂林丹霞八角寨门票100元，在携程网上购买95元，据说湖南新宁八角寨门票170元。因为时间关系我没有登上主峰，这也是个遗憾吧。从山底仰望八角寨，昂首挺立的山峰分八扇伸向八方，俗称八个龙头。山顶上面存有建于明代的云台寺遗址。八角寨的主要风景主要在广西资源一侧，所以从广西资源县梅溪镇八角寨上山，沿途就能欣赏到壮观罕见的美景，主要是降龙庵风景区（这部分风景若从湖南崀山上去是看不到的）。
2016-02-19,未知,4,自驾游广西桂林资源八角寨，从桂林到资源这段路不好走，资源到八角寨的路还不错。风景很好，很独特的丹霞地貌，一座山就是一个大石头，八角寨因为一座山顶部凸出八个角而得名。景区内农家乐不是太多，长假期间最好提前预定哦(我们住的铁锅乡味餐馆农家乐老板娘不错，做菜好吃，住宿虽然条件不是很好，但贵在干净整洁)
2016-02-18,未知,4,第二天早上从街上直接打车到梅溪镇的八角寨去，260元包括2个人的门票。中国丹霞地貌是世界自然遗产，丹霞一词来源于广东的丹霞山，但是2010年这次却是湖南崀山牵头，联合广东丹霞山、福建泰宁、贵州赤水、浙江江郎山和江西龙虎山捆绑一起申遗成功的。崀山丹霞地貌有5个景点门票180元，八角寨是它典型的代表，而八角寨是在广西和湖南交界，不过地貌当属广西段的最精美。从湖南这里过去交通比较方便，门票比较贵，而广西资源的八角寨交通就比较麻烦，从资源到了梅溪镇30多公里还要换摩托走完最后9公里，门票80元是便宜点，中国丹霞地貌特点是红色砂岩和砾岩、群峰崖壁和峡谷。在资源的八宝寨我们看到的数十个螺丝山包排成一片，叫做螺丝观天巍然壮观。而降龙栈道里那个巨大的洞穴让人想起泰宁金湖的甘露寺也是在这么一个洞穴中，只是这里只有洞穴没有寺院，降龙庵在洞穴背后的山麓。
2016-01-09,未知,4,崀山风景区的精华所在，辣椒峰可以不爬，骆驼峰可以不爬，天一巷可以不去，但八角寨一定要上！建议缆车上，步行下山，可以节省时间和体力。除非从广西上，湖南这边下，或者从湖南上，广西那边下。否则步行上下山都得走回头路。
2021-01-07,未知,5,广西桂林资源县，与湖南交界，属于丹霞地貌，山上盘旋着螺壳一样红褐色的山包，景区空气清新，沿山而建的栈道连接整个景区，除一小段略陡峭外，绝大部分都是平缓的，山区雾气腾腾，人在山中游仿如进入仙境。
2016-03-23,未知,4,从桂林到资源的八角寨。这里是著名的丹霞地貌。山上都有红色的山崖。山峰明显比桂林的山要高。我们登上了崀山的山顶，山顶有庙，也有不少游客。这里是湖南和广西的交接。崀山的北面就是湖南了。
