date,ip 属地,评分,comments
2017-11-13,未知,5,携程做活动买的票 才9.9 超划算。就算在游乐园里玩收费项目 买喂动物的食物 也不会很贵。能玩半天！熊 老虎 小浣熊 袋鼠都有。宝宝最喜欢喂小动物。还有游乐园的票。之前票价58的时候觉得挺贵的 现在超值噢！还会再去
2020-03-04,未知,5,进园就感觉像是到了荒废的游乐场。天气有些冷，人比较少。游乐设施老旧，只有3-4个项目可以玩。动物们精神状态都不是很好。老虎和熊熊倒是挺干净的，看起来救它俩最健康了。小熊猫和大骆驼应该都挺老了，还在营业也是比较惊喜的。最让我反感的就是动物表演，应该是表演时不听话了。退场后在场外都能听见动物的惨叫。空荡荡的园里这样的声音让人非常反感。希望关停动物表演，好好改造重建一下这个满是童年回忆的地方。
2018-02-28,未知,4,值得去，孩子能学到不少东西，看到了许多小动物，还免费玩了碰碰车，很高兴，就是冬天去的，有动物冬眠没有看到，熊猫馆也在维护没有看上有点遗憾，以后再来！
2018-02-27,未知,5,这一次是我们家庭一起出行，动物园里面的游乐场很是喜欢，而且可以免费玩耍，有过山车，有刺激的海盗船，还有各种各样可爱小动物，小孩子可喜欢了，玩的很开心！非常推荐大家去看看！
2018-02-18,未知,5,很多的游乐项目都是免费的，带孩子来玩特别有趣，价钱很公道，性价比高
2018-05-03,未知,4,很适合带小朋友去，动物不是很多，这次去没有看到想看的动物如 蛇 鳄鱼 不过有动物表演，游乐场地，小朋友玩得会很开心，就是节假日人比较多，需要排队玩项目
2018-03-25,未知,3,整体感觉一般！大熊猫16年就回四川了。恐龙破烂不堪，动物们都不在自己的院子里（啥动物都没有！），都在表演场忙着挣钱养家糊口，特别卖力的表演！ 儿童乐园还行吧！设施老化，杠杠的响！最主要是小朋友高兴，这就好！啥都比不上小朋友高兴重要！
2017-06-17,未知,3,一进门就有个风车地，我家两个宝宝很是喜欢，看见恐龙有点害怕，然后就是游乐场所，我家有个两岁和三岁的小宝宝，一米二以下有很多东西都不能玩，碰碰车可以玩哟。坐飞机的时候，工作人员会贴心的帮你飞低，现在还有动物表演，有老虎、狗熊。三年前怀孕的时候来过一次，那时候还可以看大熊猫。可惜现在看不了大熊猫。可以从侧门去七星公园玩，不要另交费。要去的快快来玩吧。去的时候最好带些吃的喝的。
2018-02-18,未知,5,买一张票可以玩13次游戏，里面机动游戏很多，孩子玩了一天，可惜的是想看的大熊猫没看到。动物种类也算多，有动物表演，还可以喂养兔子，羊驼，火鸡，山羊，白鸽等等……
2016-04-04,未知,3,很难想象这样的价格会是这样的动物园，能告诉我官方公布的那么多动物，是连着那些看起来像动物的石头一起算起来的吗，我看到会动的，除了鸽子没超过30只，倒像是强制购买了机动游戏的门票，但是也没开几样啊，升降飞机居然一路伴随着机器摩擦声，其他也都年久失修的样子，就是管理员挺厚道，小孩和两个家长一起也只打一个孔，点个赞
2017-12-08,未知,5,孩子很开心，虫虫乐园每张票可玩13个项目，大人的也可给小孩玩，动物园规模不大，动物不多。携程9.9元门票，很划算。
2022-04-19,未知,3,这只牦牛状态很差希望你们看看它
2017-06-19,未知,5,经常带小朋友到七星公园里面去玩，动物园还真没去过，不过门票要30块钱，好像这两年动物也很少了，之前出过动物伤人的事情，后很少带小孩去动物园观看了 。
2018-02-22,未知,3,动物园门票58一张，里面看起来像一个荒岛，几只猴子玻璃脏到看不到里面。熊猫小小的在一个小房间里面。老虎一只也没有。兔子，梅花鹿两只，羊驼两只，孔雀几只，跟一只骆驼是在一个地方味道好大。七星公园里面都是树叶没人打扫门票还有70块一张，晕哦
2019-07-19,未知,3,7月14日去了动物园，但是很多动物都没有，里面是空的。游乐场许多项目也是关闭状态。
2018-02-18,未知,5,动物很多，看到了袋鼠，猕猴，还有虫虫游乐园，很多都可以玩，意犹未尽，还能再来就好了
2017-03-07,未知,2,昨天我带宝宝去了，挺不愉快的，玩小朋友碰碰车的工作人员服务态度不怎么好，而且我们去的时候两点钟左右，检票员跟我们说两点有一场动物表演，下午四点钟有一场，进去了里面的工作人员也是这样说的，好吧我们两点钟进去没看到有表演，一直在里面玩转等到四点多也没看到有，结果跑去问工作人员，人家都收拾东西了准备要下班的样子，一问说没有表演，心都凉了！
2018-11-25,未知,5,门票比景区没有便宜多少，要是再便宜点就好了，知道动物园没什么动物，不是冲着动物去的，是想带孩子们去玩一玩那些游乐项目，
2018-02-26,未知,4,第一次带宝贝去桂林动物园玩的挺开心的，有充气堡，碰碰车，过山车等，设备就是陈旧了点。
2017-11-16,未知,5,第一次去，带着小孩看表演，很开心。感谢携程！
2017-11-17,未知,5,早上的动物好精神！！！！宝贝玩的好开心！
2015-12-25,未知,5,好，就是好改天还想再去逛逛！有谁一起赶紧的冲啊
2018-03-24,未知,5,星期二去的，阳光明媚，很多小朋友在游乐场玩，宝宝最喜欢看动物园的老虎，总体感觉还不错
2018-04-17,未知,5,便宜，实惠，很好，家人都喜欢，如果动物再多点就好了，我的天，40个字真难写。便宜，实惠，很好，家人都喜欢，如果动物再多点就好了，我的天，40个字真难写。便宜，实惠，很好，家人都喜欢，如果动物再多点就好了，我的天，40个字真难写。便宜，实惠，很好，家人都喜欢，如果动物再多点就好了，我的天，40个字真难写。
2018-04-07,未知,5,小朋友玩得开心··小朋友玩得开心··········小朋友玩得开心·······小朋友玩得开心··········小朋友玩得开心·······小朋友玩得开心·······小朋友玩得开心·
2018-02-20,未知,5,换票非常容易。桂林唯一一个外地人比本地人便宜的景点，动物园动物很少，就黑熊老虎袋鼠等几个动物，游乐园设施特别破，但是真心便宜，返现后37元包括13个项目，里面项目很少，再玩点其它不包括项目基本就够了。我带着孩子玩了一整天。就是空气差，又是雾霾天。
2017-11-27,未知,3,动物园真没什么动物了，有点破败的感觉！大熊猫馆在整修，大象斑马长颈鹿都没有！海洋馆来去那两条鱼！吊顶都破完了！一点也找不到我小时候的记忆o>_<o 只能看看梅花鹿、老虎、黑熊、猴子什么的！比较值的就是玩那几个游乐设施*^_^*
2018-02-27,未知,5,桂林的动物园非常的棒，带上你的家人一起来玩，孩子会近距离接触动物，有意义的。
2015-10-19,未知,4,每到一个城市旅游，都会去当地的动物园看看，这里的动物种类不是特别多，跟很多一线城市的动物园比还是有点差距的，但它胜在票价还算合适，有兴趣的朋友可以去看看。
2019-04-10,未知,4,还行吧，可以逛一下，不会很贵可以
2018-01-24,未知,3,周一去的，人好少，动物也不多，机动乐园里设施比较陈旧，开放游玩项目只有几样，可能是因为见游客少。小孩子玩碰碰车还是玩得挺开心的……
