date,ip 属地,评分,comments
2019-02-02,未知,5,看山看水去桂林 桂林的山水自带清新的感觉，绿山绿水。彷佛周围的空气都比其他地方新鲜。 山水云雾，技易构成一幅水墨画。 甲天下的称呼不是浪得虚名。
2016-04-10,未知,5,青山绿水，蓝天白云，游客排队登船，环境优美，象鼻山不愧是桂林城徽
2022-03-30,未知,5,这是初到桂林旅游的团队客人必须参加的游览项目，泛舟漓江，体验山水甲天下的桂林风光，一路山环水抱，如在画中游，价格相对比较贵。
2017-01-11,未知,5,特别好，十大山水一路游来，印象深刻。那个山像海螺，那个山像……太多太多，太美的山水啦。我们坐船游览一圈回来都觉得不虚此行
2016-12-16,未知,5,桂林山水甲天下，到了桂林观赏那美丽山水如画的景色最好的方式就是游漓江，从水上看风景。桂林十大名山水上游就能观赏桂林市的几座名山，其中知名度最高的应该是象鼻山吧。
2017-07-07,未知,5,看到了象鼻山，也登上了山顶，领略了桂林的风景
2016-09-10,未知,5,我曾经去过桂林。刘三姐的故乡。原生态景区。喜欢山上的朋友可以去走走。能够留下美好的回忆。民族风很强烈。在这吃住都很实惠。
2016-02-15,未知,4,船票明明是65，儿童票33，还是限高1米5高！携程抬高票面价、再打折销售，非常！景色美，有导游免费讲解，感觉挺热闹的
2016-08-05,未知,5,青山绿水，蓝天白云，游客排队登船，环境优美，象鼻山不愧是桂林城徽
2017-08-22,未知,3,网上订的70多元十大名山水上游桂林酒店接车服务，有点不值得，接车的师傅蛮好的，主要是到了游船上，就感觉出来了，一来就一个挂着扩音器的男的给我们讲会到象鼻山拍照的事，30元一个相框，而且感觉人挺凶歪歪的，船有点旧，所谓的十大名山，就3～4个左右的景点山吧，时间挺短的，没什么看头，唯一印象深的就是象鼻山，主要他会让每一位游客上甲板拍照，所以印象深。
2015-10-23,未知,5,第一次。七星公园一会这边换票一会那边换票。最后还来句没和携程合作。而且负责处理投诉的携程客服一再推脱不是它的责任。为什么用它，因为太不尊重人。你想想，你来一次这个门到那一个门。还带着行李东西。还有别人的时间不是时间？
2015-10-24,未知,3,听名字感觉会非常惊艳，但去了会有些失望，与漓江游景色有不小差距，唯一印象较深的是象鼻山，拍个照做留念还是值得的。
2017-02-10,未知,5,非常不错的，值得推荐的哈，赞一个
2016-08-23,未知,5,很久以前在小学课本上面的图画就很吸引着我，现在终于见到，真的很不错，很美，如烟如画，如痴如醉
2018-02-23,未知,5,非常不错，来桂林一定要坐船。景色非常好！
2016-09-30,未知,5,这里景色秀丽怡人，客气清新，值得一看。
2016-07-08,未知,4,Rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrjjjjjjjkkkkkkkkkkkkk我在家里面临近日本队和协和协和协和协和协和协和协和协和协和协和协和协和协和协和协和协和协
2017-12-04,未知,5,价格实惠，风景优美，度假闲游的最佳选择
2017-11-28,未知,5,十大名山水上游，桂林嘅是饮食消费比较低，无奈门票比较高。
2016-12-23,未知,5,我想去桂林游山玩水，风景甲天下。
2018-04-09,未知,4,时间紧，就挑了这个时间短的游一游漓江，还可以，就是要2小时预约。
2017-09-25,未知,5,值得一次，水清见底，环境翠绿，令人心境舒爽，
2017-05-19,未知,5,这里山美 水美，桂林山水甲天下果然名不虚传！
2016-05-06,未知,4,象鼻山拍照还不错，其他一般吧， 路途不长， 总体还不错， 特别的体验~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
2017-03-30,未知,5,桂林好美呀，桂林好美呀，好美呀，好美呀，
2016-02-28,未知,5,行程1小时左右，有一个讲解员讲解，在象鼻山有摄像师拍照，小照片不要钱，如果要大照片是要20元的，总体满意，还是可以的
2020-01-31,未知,5,桂林山水甲桂林，阳朔山水甲桂林！
2017-03-17,未知,5,桂林真的非常美，风景如画，值得去
2015-11-01,未知,5,从船上把市区的主要景点都看了个够了，真不错呀，尤其是象鼻山，在船上看还很清楚的全貌，并且导游还特地开慢让我们拍照
2015-10-16,未知,5,很开心很好玩很兴奋很开心很好玩很兴奋很开心很好玩很兴奋很开心很好玩很兴奋很开心很好玩很兴奋很开心很好玩很兴奋
2016-03-22,未知,5,游览桂林山水精华，景色会非常优美。置身于山水，回味无穷，这是一次满意的旅程。因为下过雨，江水浑浊，有点遗憾
2015-12-31,未知,4,在水上的感觉真的很不错，风景相当的美，不亏是桂林山上甲天下.......................................！
2019-03-01,未知,4,其实就一个象鼻山有些看点。说是十大，实际也就八大，叠彩山和南溪山都没去。。。不过对于时间不多，腿脚不利索，带老人孩子的，还是得用这个。
2019-09-12,未知,5,好玩耶！下次要再去玩，一定要！
2016-02-20,未知,5,一览桂林市区主要景点，重要是真的很方便，电子票有专门的验票窗口，少排队，早登船，节约时间
2016-12-15,未知,4,竹筏漂流，欣赏美景，人多还可以打水仗，很刺激！
2019-01-25,未知,4,看到了象鼻山，也登上了山顶，领略了桂林的风景
2016-05-12,未知,5,挺好，我们上船晚了，人家还找我们，不落下。就是游玩时间有点短。看了象鼻山。挺好看的。
2016-04-08,未知,5,不错，总体感觉不错，值得一看去！孩子们看的都还是比较开心的！父母也认为很不错！！！
2016-02-29,未知,5,有儿童票，可以在景区买！船上有推销，但是不买也没关系，导游介绍的也不错！值得一转。
2016-03-08,未知,4,还可以，喜欢爬山的可以去，并没有多少古迹
2019-09-04,未知,4,美丽的山水，迷人的风景！不虚此行！
2019-09-12,未知,5,好玩要再去！下次還要去玩！好棒哦
2019-08-06,未知,4,推荐遇龙河漂流，骥马到农工桥路段
2016-08-16,未知,4,来到桂林怎么能不坐船呢，一定要。
2017-07-24,未知,4,很漂亮，很美，桂林山水甲天下。
