date,ip 属地,评分,comments
2021-07-30,未知,5,在这里可以感受到旖旎的自然风光，绚丽的民族风情，还可以探秘神奇的地下溶洞。千家洞让我丢下所有疲惫，抛开尘世的纷扰，远离城市的喧嚣，寻找一份宁静。
2021-07-30,未知,5,在这炎热的夏天里，在那恒温20℃的溶洞里，泛舟游玩地下河，欣赏这千奇百怪的钟乳石，让人流连忘返，美丽神奇的千家洞值得我们再来！特别是能享受到大自然的空调😁
2021-07-30,未知,5,非常特别，旱路+水路游览相结合，夏天避暑胜地，2.4公里左右的水上探秘坐船很nice(〜￣▽￣)〜
2015-12-06,未知,5,奇山异水，万好人家，好去处， 世外桃源，苍天古树，值得游！
2021-07-30,未知,5,今日游览千家洞，惊叹大自然的神奇和美丽！有机会我还会再来的🤗
2023-08-12,广西,5,景区非常漂亮，洞穴里面的灯光设计顶级水平。当天游玩人比较少，体验感非常的棒。
2015-11-17,未知,3,好可惜了，现在千家洞关门维修暂时没有对外开放
2023-08-08,安徽,5,岩洞非常的漂亮，里面的灯光秀非常惊人，缺点是整个景区的文化氛围稍微差一点。
2022-01-06,未知,4,第二次过来玩，我和老婆估计是当天最后一波游客了，直接享受了一个VIP小团待遇。首先取票处的保安大叔、美女很热情，其次开电瓶车的小哥也很热情。在景区入口检票的美女、全程介绍的导游美女，划船的大哥，大家都是客客气气的，感受真是太好了。 就是停车场的充电桩和摆设一样，居然不联网，也找不到人刷卡。
2021-07-30,未知,5,溶洞内景色优美，让人流连忘返，值得一去！
2021-03-15,未知,5,盘王故里千家洞，三圣文化大学堂！千家洞是一个值得游玩的景点
2015-10-19,未知,4,这里风景优美，空气特别清新，还没有过多的商业化，能让我们长期生活在城市的人，有种亲近自然的感觉，非常好。
2021-01-27,未知,5,溶洞美，溶洞好玩，特别是地下河泛舟…
2021-03-09,未知,5,千年瑶寨，别有洞天，千家洞是瑶族的发祥地，值得游玩！
2016-01-19,未知,5,风景美，水干净，空气清新。买票而且还不贵
2021-07-30,未知,5,景色美，山清水秀，养生之地，瑶族发祥地
2019-07-20,未知,5,风景优美还可以钓鱼，千家洞是个休闲游玩的好地方
2017-10-31,未知,5,好去处！不去不知道，去了你才会吓一跳，山水迷人，人更迷！
2021-03-04,未知,5,风景很美，周边的景点也很多，值得游玩！！！！！！
2016-02-03,未知,4,不错！蛮好！景色也美，很适合游玩。
2016-06-05,未知,5,值得去的好地，风景很美，自然氧吧
2021-12-19,未知,1,风景可以，但是千万不要在景区里面住，六百多含门票也就是四百块一晚，晚上吃快餐木耳鸡，难吃还吃不饱，晚上没热水洗澡，水压小的可怜，还没暖气。估计这里是给政府员工开会接待的地方，外人来这里住就是受罪。
2015-12-23,未知,4,风景不错，只是好可惜现在维修暂停对外开放
2016-07-05,未知,4,景色很美，值得去游，不过基础设施一般般
2023-03-12,广西,4,景色不错好玩
2016-06-15,未知,5,自然风景，留连忘返，美不胜收，瑶族发源地，自然美景、瑶楼、天然游泳池
2024-02-08,湖南,5,还是很不错的，这么多溶洞就是这个的很有新意，要坐一段船，很有体验感
2016-02-11,未知,3,值得去玩转一下的瑶族发祥地寻梦游！
2023-08-06,广西,4,出了溶洞12点钟了没有观光车等侯，在太阳🌞下暴晒等车20分钟左右，感受太差了，服务不到位。
2017-09-08,未知,3,里面景色很美，票价不贵，就是可惜基础设施不太完善
2021-10-04,未知,2,大太阳的站着排队2小时，景区入口登记人数分批次进入没凳子又站着等50分钟，走到坐船的地方又等了25分钟，游玩整个溶洞1个小时，我们这撑船的是老师傅没有碰的墙上，前面那个撑船的师傅感觉是临时上场的顾前不顾尾，老是碰墙壁，经过一个窄道时候船前头过去了后头游客眼看就要撞上岩壁了幸好我们船上的老师傅叫前面的船师傅慢一点，还叫游客用手推开了，不然就是另一个故事了，
2021-10-09,未知,5,带着父母去的，很不错，就是等船等太久。
2016-11-19,未知,3,自然风光很不错，就是基础设施不太好
2024-08-08,广西,4,景区很小，一会儿就游完了，不值得大老远的专程去一趟。
2016-08-29,未知,3,基础设施比较差，不过景色可以。
2022-09-11,广西,2,就是游船服务跟不上、久等特不舒服不满意
