date,ip 属地,评分,comments
2018-02-24,未知,5,桂林的山水是美的，但是需要过滤掉昂贵的门票、熙熙攘攘的人群、江边没有规划好的房子，所以，桂林山水更多的是一种想象。 很多人蜂拥各种景点，往往会忽略这个安静的所在，博物馆位于临桂新区，自然大气宽敞。展品比较丰富，最有特色的就是靖江王府出图的梅瓶。另外有关桂林山水的绘画也不乏名家大作，可饱眼福。
2024-12-20,湖南,5,在欣赏桂林优美景色的同时。桂林博物馆值得一去。位于临桂新区。🏠建筑面积34000平方米。建筑风格是风雨楼式。分别有桂林历史文化陈列，民俗文化陈列，出土梅瓶陈列等。
2017-05-13,未知,4,桂林博物馆和图书馆还有歌剧院在一起统称为两馆一院，和全国别的博物馆一样也是免费的，周一闭馆，我们去的时候内部还没有完全建好，好几个藏馆还在装修。是了解桂林的好地方。
2019-05-10,未知,5,我和春天有个约会——“桂林博物馆《馆藏文物珍品展》”（五十三）， 庄子云“天地有大美而不言”，桂林的美，蕴藏于优美的自然风光里，渗透在灿烂在历史文化中，在这块仙境般的土地上，人类文明可以追溯到旧石器时代，先秦百越群族聚居，秦始皇设桂林郡，汉武帝置始安县，隋唐为岭南边防重镇，宋元发展为西南繁华都会，明代成为王朝的藩国重镇，清代以后的文化教育空前发展，抗战时期还成为了世界闻名的“抗战文化城”，三万多年的历史沉淀，赋予了桂林深沉而厚重的文化底蕴。游览在桂林博物馆《馆藏文物珍品展》中，感受桂林历史文化的独特魅力，聆听者一段段关于桂林的历史文化故事……，
2020-10-25,未知,5,来桂林自游的第一站，我总觉着来一个地方总要来趟博物馆，这个博物馆真的很偏，可能是近些年修的，所以很气派，哈哈哈，周围号称一院双馆，没错，第二馆图书馆也在这里，一院指的大剧院，我是很建议大家过来看看的，有个博物祝愿抗疫的展览我觉得不错，全国的祝福图片都有，也算是桂林博物馆的一个特色
2019-05-11,未知,5,我和春天有个约会——“桂林博物馆《友谊桂林》”（五十七）， 桂林——一座美丽的城市，是国务院公布的首批24个历史文化名城之一，以其独特的自然山水风光和深邃的历史文化底蕴享誉世界，接待了来自世界160多位国家元首、政府首脑、政要及各界友好代表团和人士，并与多个国家的城市结为友好城市，桂林博物馆收藏的礼品近3千件（套），包括金银器、玉石器、陶瓷器、漆器、牙骨器、木器以及书画摄影等，走进《友谊桂林——馆藏外宾赠送礼品陈列》”，琳琅满目，精美珍贵的礼品，反映了桂林受到世界人民的热爱……，
2019-05-09,未知,5,我和春天有个约会——“桂林博物馆”（四十九）， “桂林博物馆”，全国百家重点博物馆之一，是中国历史艺术类博物馆，坐落于风景秀丽的广西桂林市西山公园旁，建筑十分精美壮观，《靖江遗韵》馆，藏有国家宝藏——明王朝梅瓶三百余件，被誉为“梅瓶之乡，桂林一绝”，博物馆展出梅瓶的烧制时代贯穿明代早、中、晚各时期，造型富于变化，彩色绚丽多彩，其中有些更是精美绝伦，世存仅有，堪称中国陶瓷百花苑中的一枝奇葩，是桂林这座历史文化名城宝贵的文化遗产，作为全球唯一的明代梅瓶专题陈列，展现了华夏古代陶瓷文化迷人的风采，是中国文化遗产的重要组成部分，到桂林，一定不要错过，博物馆有公交车直达，凭身份证自助领票，免费参观，
2023-08-10,江苏,5,值得一去的桂林博物馆，分上下五层楼，空间非常大，之前要预约，也可以在门口扫二维码，携带好身份证。博物馆介绍了桂林的远古时期，古代的桂林人文，近代以来的历史文化，现代桂林的传统文化等各个领域。
2023-09-06,广西,5,桂林博物馆外观兼具桂北民居特色和汉唐古韵，建筑面积3.4万平方米，展厅面积1.2万平方米，内设1400平方米的青少年科普社教活动中心。馆内有从旧石器时代至近现代各个历史时期的藏品3.9万余件（套），形成以陶瓷（唐代桂州窑出土佛教陶器和明代出土梅瓶为代表）、书画（明清名家书画、桂林籍状元书画和桂林山水画为代表）、抗战文物及史料（西南剧展文物为代表）、民族民俗文物（南方少数民族服饰为代表）、访桂外宾礼品等12类文物为支撑的藏品体系。
2021-08-14,未知,5,"想要了解一座城,最好的办法就是参观当地的博物馆。因此,抵达桂林后的第一站,我们毫不犹豫的选择了博物馆。 之前在公众号上预约了时间,实际到达时发现并不需要需要,只需身份证,戴好口罩即可。 馆内分不同的场馆,讲述靖江王府的历史变迁,桂林这座城的前世今生;也有城市的未来规划,科技感十足;馆内比较有名的藏品是桂林出土的明代梅瓶;很意外的还有昆虫展,这是小朋友们的最爱。一下午,吹着空调,悠悠闲闲的逛着博物馆,相当的惬意。"
