date,ip 属地,评分,comments
2019-05-09,未知,5,我和春天有个约会——“桂林园博园”（四十八）， “山水园林，秀甲天下”——桂林园博园，位于桂林市南部雁山区，是桂林市区到阳朔风景区的必经之地，是一处融城市文化，山水文化，园林艺术和民俗风情于一体的园林艺术博览园，园博园汇集了广西十四个城市各具特色的园区和建筑，到桂林，如时间充裕，还是值得游览的，
2017-06-25,未知,5,在桂林本地念书，学生党，都是挑节假日过去看看风景，平时人不多。亭台楼阁很美，每个季节都有不同的花，很适合散步，就是里面没有吃的卖
2016-01-03,未知,4,位于桂林市南部的雁山区雁山镇和大埠乡区域内，地处市区到阳朔风景旅游区的必经之地。 园博园通过不同的园林造景手法，呈现融城市文化、山水文化、园林艺术和民俗风情于一体的园艺博览盛会。整个园区景观轴线明确，景观层次丰富。园区分为入口景观区、中心水景区、主场馆区、国际展区、农业科技展区、广西城市展区、园林艺术展示区、湿地景观区等八个区域。
2016-03-16,未知,2,园子挺大，可以逛大半天。但是园子建了以后里面的建筑物就没有得到很好的维护。学生证25的价格还是可以接受，但是原价就很对不起那个价格了。建议春季参观，适合周末出游。
2015-10-19,未知,4,这个景点远离桂林市区，如果不是自驾，不推荐特意前往。我们一家人去的感觉是风景还不错，空气比较好，花花草草蛮多的。
2015-12-30,未知,5,整个园林很典雅，很漂亮，我们走遍了所有路，感觉很干净，整洁。
2015-11-15,未知,4,园博园在我学校附近，去的次数也不少。里面汇集了广西区内各个地级市的特色，南宁园柳州园等，虽说是各有各的风味，个人觉得一圈走下来还是略微有些无聊的。景色是做得不错，毕竟是靠旅游吃饭的嘛。跟朋友来散散步什么的，还是不错啦
2015-11-17,未知,5,园址处于桂林山水绝佳处，其主题定位为“山水园林，秀甲天下”，很不错，假期带着家人走走挺好。
2022-05-01,未知,5,花得超值，随便一拍就很宏伟，而且还有露营场地
2016-02-29,未知,2,各地特色风景名胜区齐聚一起，有喷泉白沙滩、向日葵园、各种珍稀植物、印象刘三姐、中塔挺高的，有八层左右，理工大旁，值得一去。
2015-10-30,未知,4,距市区不远、占地12OO多亩、以打造桂林山水文化为主题、园内又分了很多园、是一个了解桂林、让桂林更进一步走向世界的大型文化园林。
2019-02-09,未知,4,园博园和周围的环境相溶，特别的和谐，来这里舒展一下，放松身心，特别好。 树的世界，花的海洋，整个格局分布的非常合理，吸引人。
2017-04-16,未知,3,票太贵了，不值得一看。。。。。
2016-02-12,未知,5,桂林市到园博园坐六塘车可以到门口，里面的景观不错也挺安静的！
2018-05-09,未知,5,远离城市喧嚣 适合家长带孩子一起
2016-02-07,未知,4,挺好玩的一个地方，值得一去！！
2017-03-18,未知,5,风景很漂亮，跟朋友去玩很开心，游客也挺多
2017-12-09,未知,3,一个字大，呃呃呃，还有向日葵
2016-04-10,未知,4,景色很不错。但是没什么有趣的设施。
2016-03-31,未知,4,很好，景色很美，环境不错，值的一去
2019-10-08,未知,3,国庆去的，很多地方水都是干的，而且有的地方没建好
2020-10-26,未知,1,一个杂草丛生，荒凉的地方，没有任何服务配置设施，真敢收钱。别的城市，市民都是免费的
2018-08-06,未知,1,不值一提，是導游騙人過去買東西的
2019-08-22,未知,1,就是去购物的 人造园 跟桂林真正的景点没法比
