date,ip 属地,评分,comments
2019-02-21,未知,5,一听说桂林有了第一个滑雪场，我的脑海里就出现了这样一幅画面：一个滑雪高手站在悬崖上，纵身一跳，翻了两个跟斗，“嗖”的一声，稳稳地落在了雪地上，并在雪地里画出一道长长的雪痕，好像一望无际的白雪世界里的一条银河……哇！滑雪一定很爽吧！我的心仿佛已经来到了这个冰天雪地的世界…… 　　今天负责人带着我去海拔1600米的天湖室外滑雪场滑雪，经过2小时的奔波，终于来到了我盼望已久的滑雪场，开幕式结束后我迫不及待地穿上滑雪鞋，兴冲冲地想开始滑了，OH，MYGOD！鞋子好重哦！我发现脚根本不听我的使唤，费了九牛二虎之力也寸步难行。正当我无从下手的时候，从远方潇洒地走来一位男教练，后来，我就向他请教滑雪技术。 　　我们乘着自动扶梯来到了山坡的最高处，从上往下看，好高呀！这时候，有一个人直冲下去，速度非常快。我想，他一定是个教练。 我开始害怕了，滑雪真是不容易呀！旁边的小伙伴似乎看出了我的心思，对我说：“不要怕，我抓着你的滑雪板，你慢慢往下走。”教练又告诉我了一些动作要领：半蹲、膝盖往里扣…… 找到了滑雪的一点感觉，正高兴的时候我鼓起勇气“刷”地一下越过了这个坡，开心地笑了。紧接着又滑过了一个小坡，我的速度越来越快，有一种飘起来的感觉，滑雪的感觉真爽啊！ 正高兴着呢，突然看见前面有一个摔倒的人挡住了我的路。我慌了，怎么办？对，需要紧急制动！但一时又想不起朋友教的刹车方法，眼看就要撞到了，突然想起了刹车要领：脚慢慢变成内八字形，斜着往外刹！就差一点点了，刹住喽！一个跟我一样半懂半不懂的人冲了下来，重重地把我撞翻了！ 　　滑雪不知不觉就结束了，期待下回的滑雪！
2019-02-02,未知,5,"咱们广西终于有户外滑雪场了，幸福的桂林人民，从此在冬季又多了一项新玩法，怀揣着激动的心情向全州天湖滑雪场出发，体验一把在雪地上撒野的感觉！这是今年冬天的第一场雪，一路上皑皑白雪,把一座座山峰覆盖着，白茫茫的世界，如同神奇的童话世界一般美丽！对于第一次见到雪景的我来说，内心无比的喜悦! 毕竟是第一次滑雪，尽管摔了很多跟头！但还是乐此不疲， 桂林天湖滑雪场，其乐无穷！"
2019-02-21,未知,5,想了很久的滑雪，终于玩到啦！不用花上几天坐飞机去东北就能玩，很满意~第一次滑，估计一共摔了7、8下，不过摔雪上一点都不疼呀~2个小时小时下来，基本就能掌握一些基本要领了~滑出了童年时的无忧无虑感觉哈哈。自带炫酷滑雪服，做雪道上最亮眼的supergirl!
2023-01-09,广西,5,第一次来玩，对于从没滑雪的我来说好玩，不会滑，一屁股从高处滑到低处，屁股都是湿的，不会滑的建议带防水衣裤或多带衣服换，自己带手套就不用租了，玩耍时注意不要搞丟自己的雪杖，赔偿很贵。
2021-01-03,未知,5,总体来说还不错，就是上坡的电梯差评，无人管理，很多小孩摔倒卡电梯。然后就是吃的东西差评，没有水卖没有零食卖，吃的就几种饭，排队排到人发狂，去的建议自带食物！上山建议自己开车从全州才湾镇上去
2018-02-19,未知,4,天湖还没有滑雪场的时候去过几次，国庆自驾上去的车非常多，下小雨起雾的时候特别梦幻，滑雪场还在不断建设当中，不过已经试营业了，天湖以前只能看风景，露营，滑雪场建好之后肯定多一份乐趣，很想去
2022-07-04,未知,4,2022年元旦的时候去的，管理有点混乱，不买票只是不能领雪具，但是可以任意出入雪场，导致雪场里有很多不买票也不滑雪的人，不仅影响滑雪的人，也有安全隐患。领雪具和还雪具都同一个窗口同一个队伍很不合理啊。本来还雪具时间就有限制，最后还得和领的人一起排队。还的很快，取的很慢，一不小心就超时了。
2019-02-21,未知,5,寒假带孩子去的，新开的景区，服务大厅新崭崭的，工作人员态度也很好。我们去的时候是周五，人不算特别多，孩子穿上滑雪鞋，坐上魔毯就去滑雪了。直接冲下来的，不懂滑摔了好几次，终于不用去北方，在大桂林也可以体验一把滑雪。小一点的孩子可以在下面玩雪。也可以让爸爸带着去彩虹滑道滑轮胎。下次还想去
2022-02-12,未知,4,能在南方滑次雪已经不错了，从桂林出发到全州住了一碗，再去滑雪场。全程国道，山路，路上车不多，上山后落石比较多，大家开车注意安全，进入滑雪场大门后山路比较好走，柏油路，没落石，但是回程桂林的时候，请大家切记切记切记 不要开苹果手机导航走呼北高速，有一段山路甚至连乡道都算不上，一个车的宽度，一边就是悬崖峭壁，一边是排水渠，再加上有雪，很危险，不管是不是老司机都劝你不要挑战，没必要，太危险。但是景色确实很美。 滑雪场不大，坐魔毯上去滑下来也就十几秒，人多的时候很多不懂的人喜欢站在雪道中间照相，有点无语，可能大家没有意识到危险，希望看到的朋友能够注意一下。
2021-02-26,未知,4,临时起意要去，可今天下雨了，路上就想放弃的，后来还是坚持去了。大概有40公里山路，一直在上坡，又遇上下雨，走了30公里的大雾路段，能见度大概也就十几米，开得很慢。路上也完全看不了风景了。 到那已经中午两点半了，还好没啥人，取票领装备就进去了。 要说一下，当地的服务人员实在是服务意识很差，不愿多一句交流，说话生硬，完全没有礼貌可言。 第一次去，请了个教练，一带二320确实有点贵。总的来讲性价比不高，场地面积有限，今天人少，也还算尽兴。没见过雪的，第一次滑雪的，感受一下还是不错的。
