date,ip 属地,评分,comments
2020-05-02,未知,5,桂林棲霞寺在七星景區裏面，不單獨售票，位置靠近景區北門出入口。是唐朝時的建築，設計典雅，在後面翠綠的山峰映襯下充滿寧靜。 桂林棲霞寺是桂林最大的寺廟，目前因為疫情因素沒有開放，但是光看外觀就非常美麗。七星景區的門票是50元，可以網絡預購，或是購買聯票比較便宜。
2023-08-21,江苏,5,20230312上午： 1、“栖霞寺”位于4A景区“七星景区”内。七星景区是漓江东岸的山水溶洞风光，是桂林市最大的综合性公园，历史悠久始于隋唐，留有徐霞客、邓小平、邓颖超、粟裕、李岚清、吴邦国、李铁映、十世班禅、西哈努克、克林顿等名人足迹，森林覆盖率84%堪称桂林绿肺，并占据桂林古续八景中的两处，即“栖霞真境”和“壶山赤霞”。七星景区所在的“七星山”由“普陀山”的4峰（天枢、天璇、天玑、天权）和“月牙山”的3峰（玉衡、开阳、瑶光）组成，7座山峰以北斗七星分别命名，分布形状犹如北斗七星，七星山由此得名。 ①地址：桂林市七星区七星路1号。 ②交通：公交直达，开车很好停。 ③旺季：无。 ④用时：6小时。 2、广场北侧是“栖霞寺”区域，栖霞寺始建于唐代，因隋代高僧昙迁云游桂林所题“栖霞洞”而得名，毁于唐武宗的灭佛运动，元代至元十七年（1280年）重建为道观，明万历年间改为寿佛庵，清顺治八年（1651年）浑融和尚耗时33年恢复成栖霞寺，成为广西省佛教中心，2002年扩建成眼下的规模。太平天国围攻桂林时，曾将寺院作为东线指挥部，唐代鉴真大师东渡日本前曾在此传法。寺庙规模较大，是全国最完整的唐代风格寺院，还存有全国最大的黄杨木雕壁画，寺庙匾额由原佛教协会会长赵朴初所题。进寺可获赠三炷香，当天还正碰上主殿“大雄宝殿”做法事。北侧小院是观音殿，殿内主祀国内最高的汉白玉观音像，殿外池塘、花卉、小雕像等景致诠释了佛门的淡雅清幽。寺庙门外有“浑融和尚雕像”（生于明万历年间，90岁时圆寂于栖霞寺，雕像所在地是他灵骨塔旧址。他曾率领僧侣反清复明，并修建了“听月亭”和“半日亭”，可拼成“明”字）和“陈光烈士纪念塔”（建于1951年，为纪念中共桂林工委会书记陈光，他被叛徒出卖被捕宁死不屈，最终于新中国成立10天后、桂林解放11天前牺牲）。
2019-09-30,未知,4,桂林栖霞禅寺位于桂林市七星景区靠近北门入口处。该寺庙始建于唐朝，主体建采用盛唐风格，是仿唐式兼职。寺庙古朴，香火旺盛。唐朝时期有鉴真来栖霞寺传递佛教，因次栖霞寺在全国也是出名了。这是桂林市的最大寺庙。
2018-02-22,未知,5,南无阿弥陀佛，作为一个虔诚的佛教徒，每到一个地方的寺庙是必拜的。这个寺庙里面很清净，而且进去后就会有一种禅意满满的感觉，非常非常的舒适和愉快！
2016-02-27,未知,4,栖霞寺在七星公园里面，可以去七星公园，顺便去看看，寺庙还是可以的，只是现在商业化太严重了。没办法现在都差不多
2017-11-30,未知,3,栖霞古寺在桂林七星景区内。古朴的栖霞禅寺，再现了唐代佛教的兴盛与繁荣。高僧鉴真曾在此参传佛法，给禅寺抹上了浓郁的传奇色彩。
2020-02-06,未知,5,桂林山水甲天下，桂林是一个美丽的城市
2019-06-01,未知,5,桂林山水甲天下，桂林栖霞寺也独具特色
2016-10-11,未知,5,寺庙建筑宏伟，有求必应，值得一游
2021-10-21,未知,4,桂林市市内公园里的一家寺院，据说很灵
2019-01-05,未知,4,在七星公园里面，桂林最大的寺庙。
2017-10-30,未知,4,景点还是很不错的，值得去看一看。
2017-10-07,未知,3,一般的寺庙，不过有免费的上香还算不错，不趁机宰客，
2017-09-14,未知,3,一般般，没什么特色，可以去拜拜观音。
2017-07-07,未知,3,很漂亮的一个寺庙，人也很多。还可以。
