date,ip 属地,评分,comments
2024-10-31,广西,5,华南之巅是值得一去的，山上的景色确实是不一样，而且当你抵达山顶的那一刻，确实很不一样，在猫儿山，你可以探索漓江的源头，三江的源头。这里有很多珍稀的植物和珍惜动物，跟其他地方感很不一样，就感觉猫儿山是仙人住的地方一样。
2021-03-13,未知,5,桂林猫儿山 猫儿山是漓江、资江、浔江的发源地，漓江发源于八角田的高山森林湿地之中。为比较典型的江源地貌，并形成罕见的南方山地沼泽景观，地形起伏极小的山地苔藓矮林之间溪流纵横，水塘密布，泥炭土松软深厚，涵蓄数万方的水源。春夏水位常高出地面，秋冬最枯期，脚踏土面，也有泉水溢出，是一座绿色的天然水库。
2018-11-30,未知,5,是因为看流星雨而去了猫儿山。英仙座流星雨每年在7月20日至8月20日前后出现，于8月11-12日达到高潮。英仙座流星雨是最有名的流星雨之一，因为它不但数量多，而且几乎从来没有在夏季星空中缺席，每年固定稳定出现，是最活跃、最常被观测到的流星雨。 而今年的8月11日刚好是初一，月光的影响最少，最适合观看和拍摄流星雨。于是搜了一遍地图，看看 广东 附近哪座山光污染最少，想起了前两年去 桂林 市 兴安 县看银杏秋色的时候，当地人极力推荐的华南第一峰——猫儿山。 猫儿山位于 资源县 中峰乡和 兴安 县华江瑶族乡，从 佛山 开车过去可以走二广高速向 连州 方向再转夏蓉高速、泉南高速，590公里，回程再走 桂林 回来，这样就不用走重复路，两条路只相差19公里，但夏蓉高速和泉南高速基本没什么车，路况非常好。
2018-04-20,未知,5,在猫儿山景区门口乘坐大巴到老山界，然后下车徒步到野人湖观赏美景。之后一路边玩边走到猫儿山顶停车场。 顺着小路爬山会累点，但可以节省时间。在山顶可以一览众山小，看云海日出。其实日落西山也是醉人的，晚上星空棒棒的。可惜没有好的相机。晚上还是比较冷的。也可以站在悬崖峭壁上玩点刺激的。
2017-01-12,未知,5,广西最高峰，还是十多年前爬的了，那时还没开发。从山门左侧的峡谷进山，顺着梯子岭小路爬了一整天，很累，晚上9点半才到的山顶招待所。路经老山界红军亭、三江源、铁杉林等景点。早上起来观日出，可领略云海奇观，体验“浩浩乎如冯虚御风，而不知其所止；飘飘乎如遗世独立，羽化而登仙”的感觉。如果想观云海，一定要选好季节再去。
2016-08-29,未知,5,猫儿山，桂林兴安西北部，最高海拔2142米，不仅是广西第一峰，还是华南第一峰。漓江和资江的发源地。山顶峰形似蹲伏的猫而得名。小学课本上的老山界，指的就是这里了。 1996年当地人在山间采药时发现一处飞机残骸，经专家鉴定，确认为第二次世界大战时期援华美军第375轰炸机中队所属一架轰炸机遗骸，引起世人关注。山顶与山下温差大，9月份去要带秋衣。去的小伙伴注意了。
2016-03-17,未知,5,猫儿山，华南第一高峰，因峰顶为一花岗岩巨石，形似卧猫，故称猫儿山。 猫儿山，位于广西桂林市兴安县西北部，距兴安县55公里路程，离桂林市区81公里路程。跨兴安、资源2县，面积5.3万公顷。系五岭之一的越城岭主峰，最高海拔2142米，它不仅是广西第一峰，也是华南第一峰。因山顶峰形似蹲伏的猫儿而得名。1990年陆定一在老山界题碑赞誉猫儿山有“泰山之雄、华山之险、庐山之幽、峨嵋之秀”。
2022-12-11,广西,4,打卡广西最高峰，华南之巅-猫儿山: 从门岗（不是山脚的游客中心哦）那里到山顶18公里，几乎全是环山柏油路，我是全部步行，上山六个小时，下山五个半小时; 首先从登山的体验来说，由于基本全是柏油路，几乎没有步行登山步道（也可能是我没找到？），所以登山体验极差，走柏油路比一般的登山步道还要累，还要磨脚，本来我主要是奔着登山去的，但几乎全程是走路，唉，也怪我，攻略没有做好。 然后从风景来说，主要景点基本都在山顶周围五公里以内，前边几乎没有什么值得看的，从老山界开始往后，才有迎客衫、漓江源、野人湖、华南之巅、一线天等。个人感觉老山界和迎客杉一线天都差强人意，只有漓江源和野人湖那段路走起来很有味道，像在原始森林里漫步一样，空气也超级好。 建议总结: 1、千万不要徒步，真的超级超级累，从最山脚下的游客中心坐大巴上山就行，本来前面一大段就没什么风景好看的，可以从老山界下车，后面徒步走走看看就行了; 2、日出日落都可以在山顶看，想看雾凇要挑时候，好像是大雪节气前后吧，云海也是难得一见，要在雨雪过后的第二天，或者冬天运气好也能看到，山顶附近应该就可以看。另外强烈建议漓江源和野人湖那段路不容错过！ 3、山顶附近登天梯那段路要小心，路比较窄，还有点陡，那边风也大，千万要小心; 4、夏秋季在山上要小心可能有蛇。 小惊喜: 这次最大的惊喜就是在上山路上，路旁边的林子里看到了一直野生白狐，可惜没等我把手机从兜里掏出来拍照它就溜到林子深处看不到了，上次在山里看到野生白狐还是六七年前在庐山呢，总之虽然没拍到照片，但能看到已经让我很开心了。
2020-12-31,未知,4,這裡是來吃苦的，接受磨練的好地方。觀日出日落雾松三景，是天工自然天成，未經太多人工造作，完全靠双腳去出觀景。。冬天千萬別住頂峯酒店，設備不足，晚上凍醒要著裝備保暖合眠。。零下温度晚上無景可赏去。。食不便自備佳，來一次足矣!
2017-11-11,未知,4,很漂亮的地方去的时候山上下雨没法看到日出！从桂林汽车站到猫儿山景区大约3个半小时，猫儿山景区上山有车，时间为2个半小时，到了山上还要爬行半个小时到山顶帐篷区，因为下雨原因需要住到室内帐篷区是一个废弃的大楼有点阴森因为跟朋友一起所以也没有很吓人，上厕所和接热水的地方有灯还是觉得像孤岛惊魂片段里的场景一样！希望前去的朋友查好天气上山这样能看到日出日落并且不用住到室内这种很不舒服的地方。桂林汽车站10点有前往猫儿山的车，车费30块钱，猫儿山门票费160，学生120建议携程美团软件预定，山顶帐篷100多一顶具体忘记了。两个一顶可以选择睡袋或者被子一件，加被子20块钱。也有三人一顶的帐篷加钱就可以了具体不太记得了。回程的车直达桂林汽车站是14点！风景还是不错的但是相比庐山黄山等等还是差点，体验第一次住帐篷有点累，不过还是一次难忘的经历✌️
