date,ip 属地,评分,comments
2019-11-30,未知,5,我们从广州出发，先到阳朔住了两晚，对漓江那边的景色有点失望，到处都是黄泥水。最后一站选择去了荔江，取票很方便，对比去阳朔的银子岩和世外桃源，这里游玩起来更舒适，拿完门票进去就坐游船，全程都有导游全程跟着讲解，服务的很周到，里面的岩洞很清凉，倒影非常漂亮，整个景区游玩大概一小时，景区外的大桥景色很漂亮，去的旅游别忘了照相哦^v^
2019-02-08,未知,4,20190208上午去了荔浦荔江湾，景点不错的，首先路况路面不错，虽然是县城公路，但坑坑洼洼的情况较少，一路都可以看到蛮多果树，景区停车位不错，有保安大叔指挥，目前没收停车费，景区门票也不算太贵，进景区首先坐船路途不长然后上岸逛逛走一节路坐龙舟龙舟上有桨有鼓然后走一节路来到岩洞，岩洞1倒影倒影蹲下来看真的不错2洞中小瀑布不错的，然后爬山不高，走玻璃栈道，下山有2种方法1滑滑梯2走石梯，个人建议1滑滑梯，速度可以自己控制不快，很舒服，这是我目前坐过的最长的滑滑梯，从半山下滑很不错，然后可以在景区四处逛逛，️️️景区奇石区没去，总体80分――90分吧
2018-01-17,未知,5,本来来荔浦是去银子岩的路上听说丰鱼岩更高 然后路过荔江湾 说实在的很多生搬硬套的旅游项目 让人觉得可有可无 不过由于前面得平淡 后面的溶洞着实让人眼前一亮 觉得值了
2019-05-05,未知,5,游了荔江湾很好玩又开心，有游船漁鹰表演，龙舟体验自己可以划，天宫岩更漂亮，还有广西最高玻璃桥，旱滑道更刺激，还参现了奇石博物馆，这么多大项目一票通118元真值了，游客中心休息一下还开了卡丁车，一日游真棒
2017-12-09,未知,4,蛮好的 景色不错 游客很少 比起开发过度的阳朔不知道好多少 漓江湾的溶洞是水溶洞狠漂亮感觉比丰鱼岩和银子岩好看 就是景点还是避免不了中国景点的恶习 东拼西凑 牵强附会
2017-07-19,未知,5,景区不大，但包含了两段游船一段溶洞，性价比非常高，走起来不累，值得一游！
2018-04-25,未知,4,荔江湾景区位于桂林荔浦县青山镇，距阳朔60公里。是去丰鱼岩的必经之路。荔江湾景区虽然没有漓江美，但风景也不错，游客没那么多。
2018-02-25,未知,5,"桂林荔浦荔江湾非常好玩, 有游船玩还有溶洞奇观，一家人玩得非常开心，是个旅游的好地方。"
2017-07-21,未知,5,桂林荔浦荔江湾景区位于桂林荔浦县青山镇，景区方圆30平方公里，区内风景优美、设施完善，有永苏里人生活遗址、乘坐皇家之舟看鱼鹰表演、灵芝仙女下凡、中华龙舟竞赛等自然与人文景观，是一处集休闲、娱乐、观赏为一体的动态旅游景区。
2018-06-18,未知,5,很赞，天宫岩景色十分漂亮，感觉票价也还是挺合适的~这里距离丰鱼岩挺近的~可以在同一天游玩，夏天洞里十分凉快~22-23℃左右，恒温，是夏天避暑一大好去处~以后有机会带朋友来玩~服务态度也还是挺好的~
