date,ip 属地,评分,comments
2021-07-06,未知,5,这里集齐了很多我想去的地方，不用跑多个城市才能玩得到，有水世界、海世界和欢乐部落。上次跟两个儿子一起去玩，儿子们全程笑脸，不仅仅景色美，里边的工作人员服务周到，让我们很放松，快要放暑假了，下次我们家族全员一起去，不留遗憾!
2021-06-20,未知,4,桂林首发丨6.26融创国际旅游度假区盛大启幕 ▪广州周边高铁游旅行攻略 ▪颜值感满满小众宝藏打卡点 🏜桂林融创国际旅游度假区 . 桂林山水甲天下~ ☀️这个夏天，融创把桂林的山水文化与民族风情 搬到了雁山~ ⛰青山碧水间~一座全新的地标-桂林融创国际旅游度假区 🥳6月26日，盛大启幕啦‼️ . 🌟带上孩子或者心爱的TA，展开一场全新奇妙体验之旅~ ✨在融创·欢乐部落远古探秘、扩展挑战 每个人来到这里都像一个孩子~🥰 📸在丛林中穿越，在河谷中狂奔，超多拍照机位 . 🎡光影梦幻摩天轮 180m高【桂林之眼】俯瞰桂林这片壮丽的山水，承载这次旅程的浪漫观光记忆 . 🏎卡丁车 体验飞驰在赛道上的酣畅淋漓，车手们请就位~ . 🧜🏻‍♀️这里还有传说中那片浪漫的蓝色海洋 桂林首个缤纷主题海洋世界-融创·海世界🌊 . 带着孩子，在湛蓝的海底世界遨游探秘🐋，美人鱼舞蹈表演，充满趣味的海洋生物互动🐬 . 😉原来在游玩山水之间也可以同时体验奇妙的海底之旅 . 😻【泡泡泉小镇】里头有超多可爱哒动物小明星 可爱的羊驼🦙、圆滚滚的小香猪🐖、活泼的松鼠🐿等你来一场亲密互动🐾 👏🏻👏🏻小朋友玩得超开心~
2021-07-14,未知,5,＃夏日出行日记first day＃ 从桂林市区出发，一路向东50分钟🚙到达桂林融创国际旅游度假区🎡 玩了两个业态🥳和闷热的夏日最配的还是海世界！！虽然是常规的海豚和海狮表演，但是《海豚剧场》的室内视觉效果真的⑧错！！背景音乐真的好洗脑啊哈哈哈。《人鱼传说》的室内馆真的很适合拍照！本次出游出片top地点～好喜欢美人鱼！超赞！！但是得早点去才不会被人群挤掉哈哈哈。 最后～建议下次去的时候一天只玩一个业态！融创很大，睡到中午以后玩两个业态真的太赶了！下次冲水世界了😝
2021-07-13,未知,5,桂林融创国际旅游度假区：有欢乐部落、海世界、水世界几个园区，夜景不错，欢乐部落有许多游玩设备，桂林之眼摩天轮不要错过。海世界有美人鱼海豚表演，还有小动物看，非常适合小朋友来玩。水世界玩玩水冲冲浪，体验不错，值得来玩。
2021-07-12,未知,5,打卡！桂林融创国际旅游度假区，继续不停的打卡，和女朋友开车过来融创玩，念念叨叨了好久，终于来了，😍桂林融创真的是一个值得体验的好地方，摩天轮，卡丁车.......好多项目都太棒了，体验感超赞，下次有机会带家人一起来玩，今天真的是愉快的一天呐～🤗
2021-07-12,未知,5,哇，桂林融创旅游度假区真的是太好玩啦！这辈子没去过这么好玩的地方！游乐设备也很完善很好玩很开心！不来后悔一辈子！服务态度也很好尤其是客服的穿裙子的小姐姐啊，人美心善，简直不要太爱！想奖励他们劳步！
2021-07-13,未知,5,海豚馆真的好惊喜，驯养师们真的太棒了，演出非常精彩，第一次看到海豚好开心，非常治愈。下次放假还要再来一次好好玩一下，希望以后可以有机会和动物互动。陆生动物种类数量也好多，像一个动物园一样，员工服务特别到位，会主动介绍小动物。总的来说性价比非常的高，没玩够！下次会再来的～
2021-07-13,未知,5,听说桂林融创国际旅游度假区开业了，暑假期间迫不及待的和朋友一起去了融创游玩。欢乐部落的木筏远征很好玩，海世界的海豚表演也非常震撼，水世界的造浪池也很有趣，夜晚的摩天轮也很美…… 非常适合家人，朋友一起游玩
2021-07-06,未知,5,【景色】随手拍都是大片！😍 手残党男朋友也拍的很好看，最爱可以耍KTV的摩天轮，白天和夜晚是不同的浪漫氛围，很适合小情侣约会😝 终于可以在桂林看到梦幻的海世界，美人鱼表演看了2场不过瘾，海豚表演同样精彩，萌哒哒的海狮和海豚看得想马上养一只！🐬 白天耍一天下来傍晚很适合去水世界清爽一下，大喇叭、造浪池哇啦啦的冲刷了白天的疲惫感，晚上我觉得我又可以了！(记住别走那么早，欢乐部落有夜游！) 欢乐部落的夜游真的力荐！！满满的少女心灯光秀！
2021-07-13,未知,5,#桂林融创国际旅游度假区又可以玩摩天轮，卡丁车，激流，还可以去海世界看美人鱼，看海豚，还有壮美漓歌秀，简直不要太棒🤪🤪🤪工作人员还热情打招呼，让人感觉很窝心😎😎下次我还要来～冲冲冲！！！
2021-07-06,未知,5,哇喔，桂林又多了一个新去处，在摩天轮上看桂林的山和水，体验感赞赞赞！木筏远征一到下去的地方，哈哈 尖叫声就传来了。关键商街还有星巴克、必胜客！！酒拾烤肉也有！吃喝玩乐游购娱，这里通通都实现了耶😆
