date,ip 属地,评分,comments
2021-07-06,未知,5,摩天轮超赞👍 还能K歌 简直太爽了！ 而且全程很平稳 完全不慌 整个度假区的风景尽收眼底~ 夜景也是超好看的 适合集美们拍照打卡💙 欢乐部落里面还可以玩卡丁车超过瘾！木筏远征刺激中又伴随着清凉 背撕雨衣真的是真爱了 绝绝子~ 阿狸也是必打卡的 超级可爱🥰
2021-07-23,未知,5,【景色】摩天轮的风景真的好好哟，特别是桂林这种烟雨朦胧的时候，眺望远处群山，风景相当美。不过这次市是下午才去的，凉爽一点。园区有好多灯光，好有意思。夜游乐园，不一般。门口的喷泉成了小朋友的水世界。哈哈哈
2021-07-03,未知,5,特别好，个人感觉比珠海长隆要优秀，以后完全没有必要去区外玩了。除了游乐园还有桂林山水加成，绝了。最惊艳的是摩天轮🎡上有少数车厢竟然配了KTV。。应景地唱了几首红歌给党庆生，哈哈三个园入口很近，这个适合一整天，另外两个，海洋世界和水上乐园半天就够了。上个点评说没有卖水的。。。我表示反对。。
2021-07-14,未知,5,夏日的摩天轮好看哭，粉红的夕阳跟摩天轮一起，真的太梦幻了。酒拾烤肉、如斫、肯德基、星巴克、必胜客等等，吃的也满足了我的味蕾，体验感5颗星🥳
2021-07-06,未知,5,桂林融创国际旅游度假区欢乐部落打卡! 据说是108米高的光影摩天轮🎡 周末人好多啊，摩天轮更是排起长队，非常幸运的排到了KTV包厢，还是第一次遇到能K歌的摩天轮，也太炫酷了！和朋友两个人承包了专属的20分钟，半空中播放周杰伦的歌曲，在山野见穿梭遨游，简直不要太赞！ 推荐指数：⭐⭐⭐⭐⭐
2021-07-06,未知,5,平时来的，人不是特别多，错峰出行很明智嘻嘻，中午玩出来，刚好看到街道上的演出，天气有点热，但是演员们表演的都很卖力，准备去吃个烤肉，下午去玩水，嘻嘻，充实美好。
2021-09-08,未知,5,桂林融创度假区的欢乐部落，节目也算比较多。布置安排也是很合理，不用走很多冤枉路。推荐尝试的桂林之眼。还有赛车，还有激流勇进。
2021-09-07,未知,5,桂林融创欢乐部落是一个不错的地方。面积不算很大，但是内容很丰富。最有特色的就是桂林之眼。登高望远美景尽收眼底。小朋友们玩得很开心。
2021-07-06,未知,5,有三个园区，里面的游玩项目和表演挺多的，也很适合带小孩子来玩，最喜欢木筏远征和卡丁车。“桂林之眼”晚上灯光超级好看 拍照📷绝绝子
2021-07-06,未知,5,晚上去的游乐园，人还是那么多，差点就被挤丢了，还好总算排上队坐上心仪的摩天轮了，这波不亏
2021-07-06,未知,5,欢乐部落的卡丁车好好玩阿！！感觉可以坐10次！！海世界可以潜水！价格还挺良心的哟！！
2022-09-15,广西,5,园区很大，游乐设施很多，排队时间短，游玩体验好，还有很多美食，买鱿鱼送可乐，超划算，特别值得游玩，下次还要来打卡
2021-09-19,未知,5,淡季出行实在是太太太爽了，卡丁车随便玩，完全不用排队，桂林之眼也是随取随玩，这一趟真是太值了，光是这几项多玩几次就能值回票价。
2021-07-12,未知,5,开业时的烟花太好看了，摩天轮上面还有空调，卡丁车也非常的刺激，还有各种各样的表演也非常的好看，这里的夜景也是十分的美丽。
2021-07-12,未知,5,性价比高，好刺激啊，赞赞赞赞赞赞！
2022-08-28,广西,5,桂林之眼摩天轮上又冷气，有些吊仓装有卡拉OK。夜晚在上面看园景非常不错！
2021-07-12,未知,5,欢乐部落的夜景好好看，摩天轮超赞，晚上也有表演，小朋友都好喜欢！！！
2021-07-25,未知,5,欢乐部落非常值得来，有很多适合小孩子玩的东西，摩天轮超好看
2022-08-17,广西,5,就很开心，是一次不错的旅行，至少不负我一个半小时的骑行
2023-03-27,广西,5,情侣亲子朋友出游都很合适哈。风景好~玩的也有趣~设施齐全都挺方便。超级好非常推荐哈~下次有机会再去一次。可以无限玩~🎡
2021-07-12,未知,5,为了这百万烟花，一大早就过来了，开开心心的玩了一天，最后看了美丽的烟花，真的超值
2022-08-19,广西,4,总的来说还是比较好玩的，周三的优惠价物有所值，美中不足就是1.2米以下的儿童玩的项目比较少，本来旅游就是带小孩出来玩耍的。
2021-10-24,未知,5,10月底来的时候人少，无限次打卡项目，不用排队，娃开心极了
2021-12-15,未知,5,感觉更适合带小朋友去玩，里面很多设施都非常适合爸爸带小朋友冒险。带个晕车的女朋友除了摩天轮什么都玩不了。卡丁车大赞，下次我还要去玩。
2022-12-05,上海,5,非常非常的有独到的特色，确实很有不一样的风情，欢迎大家来看
2023-05-21,广西,4,今天去了，就几个小孩可以玩的，跑跑卡丁车儿童没开，还有个儿童可以玩的，也是停止开放的。带1.4米已下小朋友的建议不要去。太多不能玩了。可能只适合大学生玩吧
2024-08-05,广西,3,園區各種標示很清楚明瞭
2021-10-07,未知,3,就摩天轮和卡丁车可以值得去一下，里面大人可以玩的设施就几个，很少，还不是很刺激，小朋友去可以。而且每个项目排队都超级久，一个项目差不多1个小时
2022-10-30,广西,5,非常好，值得推荐！
2022-08-25,北京,5,还行，大多比较适合小孩。。。。。。。。。。。。。。。。。。。.................................
2021-07-12,未知,5,不错，摩天轮和卡丁车都蛮适合我的，棒棒的。
2022-11-14,上海,5,蛮不错的一个景点，带小孩子去玩蛮好的
2021-11-01,未知,5,非常好玩，还有摩天轮，跟烟花！！！
2023-08-13,广西,5,不错很好玩，带着家人跟朋友一起，去的，孩子看的很开心，景点的内容也很好
2022-08-28,广西,5,玩的挺开心，管理要加强
2022-08-26,广西,5,值得玩的看来只有卡丁车和摩天轮了，4d影院可以看看👀
2022-07-11,未知,5,整体感觉还不错
2022-06-25,未知,5,游戏多，服务好
2021-12-18,未知,4,项目都算比较温柔，非常非常非常适合小朋友，就是卡丁车排队实在有点久，最高的项目也没用开
2021-10-13,未知,5,还是不错的，就是里面的商品有点贵
2021-10-04,未知,3,抓紧时间玩
2022-08-28,广西,5,还可以，就是酒店服务要提升！
2023-09-01,青海,5,孩子喜欢，要求第二次去玩
2023-10-20,广西,5,还不错值得一去
2022-06-30,未知,5,小朋友们很喜欢
2021-10-31,未知,4,还挺值得去玩的
2023-07-10,上海,4,暑期出游，购买夜场票，超值
2021-10-03,未知,4,666666666
2023-02-22,上海,4,桂林的一般般吧
2023-05-09,广西,4,挺好玩的！
2022-08-21,广西,3,120㎝以下儿童玩的项目太少，连带大人都没得玩
2022-08-02,广西,2,138cm的小孩只能逛逛，好多剌激的项目玩不了，儿童卡丁车龟速
2021-12-24,未知,2,为什么大学生票比成人票还贵呢？
2021-06-29,未知,1,不管好不好玩，我都要给差评， 太差了，卖水的地方都没有，夏天在里面要渴死
2021-11-21,未知,1,下了一天雨，什么都关了不给玩，花钱在里面走路…真花冤枉钱，下雨天不给玩项目你开什么门，气愤！！！
2023-05-01,广西,1,不好玩，以为会很刺激，一点也不刺激，但1.2米以下的小孩也不给玩，玩一个项目排队排半小时
2024-04-30,广西,1,没啥好玩的
