date,ip 属地,评分,comments
2021-07-10,未知,5,小朋友的开心，就是挖沙子!哈哈哈哈!这边景色真的不错，云朵很漂亮，女儿全程惊呼“哇好漂亮呀”坐了摩天轮，周围群山环绕，在空中体会到了什么叫桂林山水甲天下。水世界是孩子的地盘吧，顶着大太阳都要玩，哇沙滩!然后就开始拼命刨坑，等着浪花来冲她，哈哈哈哈哈哈，真的开心!
2021-07-20,未知,5,终于在家门口有玩一天都不腻的综合性游乐场所了！打个车也就50多，来回都能叫到车，交通非常便利。小朋友玩得非常开心，全程手舞足蹈，走的时候还依依不舍，和我们相约下次再来。以后计划每个月带小朋友来一两次，增加陪伴的时间，从乐园离开还可以一家人去逛一下奥莱，吃个饭啥的，这里价格便宜款式多，比在家玩游戏强多了
2021-07-20,未知,5,太棒了吧！融创终于来桂林了，太开心了，之前去过合肥，广州，无锡，重庆，成都，版纳，昆明打卡，果然大集团就是不一样，满足了我美好的集邮愿望！下一站计划去济南，青岛，哈尔滨，杭州湾～ 希望这个品牌能开更多的项目，不管去哪里旅游都能看到熟悉的地方。
2021-07-20,未知,5,今日打卡桂林融创水世界! 清凉指数：5颗⭐⭐⭐⭐⭐ 推荐指数：5颗⭐⭐⭐⭐⭐ 暑假来了，一直想要去避暑胜地游玩，在携程上面看到了大家都推荐的桂林融创国际旅游度假区水世界，果断买了票在周末和朋友一起来耍水。周六天气很热，但游客们热情不减，人超级多，我们体验了大喇叭项目还有感受了造浪池的造浪表演，非常开心，夏天就是要玩水呀!🌊🌊🌊🌊🌊
2021-07-20,未知,5,一直想回泰国看看 在海边支张桌子 铺上凉席 奈何一直出不去 那就找个有沙滩的地方过过瘾 权当自己在海边啦！我们今天来的早 园子里还没什么人 玩到一半人就开始多了起来 虽然项目不是特别多 但我只要一个造浪池就能玩很久嘿嘿 总体来说性价比还是值的 下次准备周末来住一晚 玩的更尽兴。
2021-07-12,未知,5,风景不错，躺着沙滩上就可以看到摩天轮🎡，工作人员服务挺好的，都提醒小孩子穿救生衣；造浪池救生员还帮我找到遗失的手机，原本想给他们感谢费他们都不收；建议大家不要周末去，人太多，拖鞋没地方放，游玩滑道排队半小时，下来一分钟不到😜
2023-12-20,广西,5,太棒了 玩得很开心 我是第一次去水上乐园 感到无比激动 项目也很ci ji q大家都开始看到借古讽今大家大家快冲吧 dj很给力呀mm
2021-07-24,未知,5,水世界很好玩，早上去的时候人不多，基本不用排队随便玩，封闭的滑道看不到外面弯也比较大还蛮刺激的，玩了好几趟，人少也好取景拍照
2021-07-25,未知,5,水世界周围风景很好，里面也很好玩，玩水玩的太快乐了，客服小姐姐也很棒，。
2023-07-21,重庆,4,和广州花都融创水世界相比，项目偏少，场地也不够大，希望日后规模增大。哦，如果扪心自问自答，我会说我可能也许或者不会选择再次重游
2021-07-13,未知,5,要来记得带好泳衣和拖鞋，里面的太太太贵了！
2022-08-07,广西,5,价格来说，很便宜了，值得推荐，酒店泳池🏊都要六十一次，这价格真没得说了，周边民宿没做起来，光是景区自己搞，太单一，价格没啥竞争力，服务也好不到哪，还有就是大门口到水世界走二十分钟，大太阳的，晒得要死。。。这点不好！其他的都好。
2022-08-13,广西,5,孩子和大人玩的都开心 人不是很多 项目不需要排很长的队 所有项目 都能玩到 干净 环境优美
2023-08-04,广东,4,夜场人不多，设施就是老三样，绝的是漂流免费，但是要租游泳圈，单人20双人40，押金100，在哪里租的还只能在哪里退，在其他租赁点不行。融创也去了几个地方的，也就这里是要给钱漂流。
2023-10-31,贵州,5,很开心 作为桂林最近几年新开业的乐园 加上设施设备齐全 场地宽敞 赢得观众们的喜爱 水世界很是热闹 晚上群体蹦迪 玩滑梯 小朋友能玩一整天啊 开心
2022-08-07,广西,5,不错不错真不错，性价比很好，停车场有点。。。太热，🌳太少，小的要命，大热天停一天，🚗都要晒化。。。还有就是大门到各景区应该弄个遮雨的长廊，方便嘛，大热天晒得该死，走个二十分钟才能到，唉。里面设施确实不错，瑕不掩瑜。。。就这
2021-07-20,未知,5,带小朋友来，还挺合适的，很多小孩能玩的项目，儿子挺开心，点赞
2021-10-08,未知,4,乐园不大，游乐设施还行，比较适合小朋友玩。
