date,ip 属地,评分,comments
2021-07-05,未知,5,海底两万里太梦幻了吧!在里面待了半小时都不想走，最后还是被朋友拉出来的嘻嘻，海豚真的是太聪明了，每一个小动物都好可爱呀~下次还要安利朋友一起来!冲冲冲!
2021-07-20,未知,5,嘿嘿嘿 第二次打卡海世界 特地选了非周末来 人相对较少 去哪个项目基本排一会就到 赶得巧一入园就是海豚表演的时间 看完海豚又跑来看美人鱼表演 还遇到了尼莫和多利!看完自己也想养一只尼莫~又担心养不好，算了还是来海洋馆多看看嘻嘻
2021-07-06,未知,5,海世界很大，由两个部分组成，泡泡泉小镇和海洋馆。泡泡泉小镇里有很多陆生萌宠，真的好可爱，看着他们心都被融化，治愈了，喜欢。最主要的是海洋馆也很好玩，美人鱼表演，海豚表演，海狮表演，还有可爱的小企鹅，大嘴鸟🐦，我都好喜欢呀~~
2021-07-06,未知,5,和朋友去了融创海世界，竟然在桂林看到了海豚表演和一些海里的生物，哈哈没想到能在桂林看到，棒呆了，可以去海世界先去看海豚表演，然后去深海两万里，最后去精灵度假村，哦还可以看美人鱼表演哦
2022-07-09,未知,3,是我去过那么多了海洋公园最差的一个，里面餐厅比海洋馆都多，但餐厅设施陈旧，空调都不冷的，外面35度的高温，吃个午餐都难受至极，美人鱼表演人满为患，又闷又热，场馆布置得不合理。最为值票价的可能就是海豚表演了，要额外交钱才能提前进入，要不然晒着大太阳在外面排长龙等开始，中暑都有可能，这个海洋公园设备实在不够人性化，有点失望😞
2021-07-13,未知,5,海世界好多小动物！！！太可爱了！！！ 还有海豚表演的照片不小心删掉了呜呜呜！大家一定要来！海豚超级可爱！
2021-07-13,未知,5,我们来到第一个打卡点是桂林融创国际旅游度假区的商业街这里晚上的美景和摩天轮非常好看，还有海世界的美人鱼表演和海豚表演都给我们带来了精彩的视觉表演。而且还可以看许多的海洋生物和陆地生物，近距离的观看，所以这是我们最值得来打卡的地方。
2021-07-13,未知,5,这里有海豚表演，美人鱼表演，还有许多的小动物可以互动，真的很有趣！！！假期值得打卡的地方，冲啊！
2021-07-06,未知,5,超好玩的融创国际旅游度假区，到海世界仿佛进入了真正的海底世界！唯美的美人鱼～可爱的魔鬼鱼～还有呆萌呆萌的不知名大鱼～快点来打卡哦
2021-08-21,未知,5,融创海世界已经来过两次了。但是小朋友很喜欢。所以今天还是再次光临。因为其他都看过了，这一次主要就是奔着海豚表演和美人鱼表演。
