date,ip 属地,评分,comments
2017-07-20,未知,4,里面的景色还可以，但没上山，游玩的地方不是很多，跟着导游走，才知道景点的意义，导游带去几个洞，看到好多佛，还不错，之前也看了好多评价说要烧香，反正不烧就是了。在网上购票，便宜很多。
2016-08-16,未知,5,西山景区是桂林最早被开发的一个景区，景区有“三奇”、等你来寻觅！一.奇怪！景区没寺庙，香火却旺盛！二、奇妙！慧根穿透巨石，开启奇妙之旅！三、奇幻！慧眼独具特色，佛法博大精深！值得探索！
2017-12-11,未知,5,佛教圣地，风景秀丽，淡季人不多，值得一来。山上树木参天，奇石林立，泉水清甜，空气清新，幽静淡雅。桂平这个小县城有这个美丽的城中花园，使人羡慕。
2023-04-06,甘肃,5,20230315上午： 1、“西山公园”是桂林市历史悠久的湖山禅林，乃唐代南方“五大禅林”之首的“西庆林寺”所在地，可欣赏到桂林老八景之一的“西峰夕照”。禅林中留有后来东渡日本的鉴真大和尚、唐宋著名书法家米芾、“游圣”徐霞客、明末抗清名将袁崇焕、民国代总统李宗仁、著名画家徐悲鸿、著名作家老舍等名人的足迹，群山环抱下的公园森林覆盖率很高，目前成为市民的登山健身胜地。 ①地址：桂林市秀峰区西山路2号。 ②交通：公交直达，开车很好停。 ③旺季：夏季，西湖上荷花盛开。 ④用时：3小时。 2、景区唯一的出入口是西南门门，门前有一对威武的大狮子。进入景区后映入眼帘的是已干涸的“西湖”，由于桂林5个月没下雨，推测景区趁着旱季顺便清理下湖底。整个西湖和东南角的“隐山”区域都在施工，被封闭不能进。隐山内有6个洞（始见于清代学者阮元的《隐山铭》，并与泉水相连）和诸多小亭，人文景观较多，所以很可惜去不了。夏天时西湖是一派荷叶茂密、粉化盛开的美景。 3、中心广场正中央矗立一尊绿色的拱门铜雕，前方有龙头，没有介绍牌猜不到寓意。广场东边一片黄色花海，4个古代顽童在花海中玩耍的雕塑很有趣；北边是红色花卉，低矮灌木和树上分别盛开着紫红和粉红花朵，层层叠叠错落有致。这里是老年人晨练、跳舞、拍照最集中的区域。 4、西庆林寺在广场北侧，但目前只剩遗址石台。此寺又名“延龄寺”和“西峰寺”， 是唐代五大禅林之首，因此司周围的山岩上现存1000多个唐代石刻和摩崖佛教造像。 5、此处开始登山，先登西侧的“千山”，途经“千山观”遗址（始建于唐贞观年间，即627-649年，重建于宋代，目前仅留有一个小佛龛和“千山观”3个字的石刻，石刻由南宋广西经略安抚使、著名词人、书法家张孝祥所题）后便回到中心广场，下山处有灰白色的“苏联陆军步兵大尉巴巴什金之墓”纪念塔，他是苏联共产党员，1939年被苏联派到桂林作为国军第五军的军事顾问，抗日战争时英勇无畏，参加过南京保卫战，在1940年日军轰炸桂林后染瘟疫牺牲，时年35岁，葬于桂林西郊的“甲山”，在1956年迁墓于此。 6、第二次登山从东侧开始，到达千山北侧的唐代摩崖石刻、造像区，距今1400多年，人文景观比较零散，也没有介绍牌。“西峰亭”是俯瞰全景区的半山腰的观景亭，是欣赏西峰夕照的绝佳位置，始建于1958年… 字数超限，在最后一张图片里继续。
2017-01-06,未知,3,进去一定要去爬西山很险很刺激，未开发，危险度高但慢慢爬也可控，上到山顶可全览桂林市，风景迷人。不好的是下面的隐山要讲解员带领开门才可进去看，有香火点三个!公园对面旁边有个农贸集市可去看下，有家卖坛子鸡的好吃，不过70元门票有点贵，最好提前2小时网上订省一半。
2019-02-03,未知,5,前天来到桂林西山景区，景区最美的地方要数西湖了，虽然只有九曲桥、绿色瓦顶房屋、怡心亭以及山峰等寥寥景物陪衬，却构成了清幽的意境，很喜欢。别小看怡心亭，可是唐朝遗物。站在亭中心，回音很响，但在亭外却听不到回音，很神奇，据说这里是古代僧人念经的地方。
2018-05-22,未知,5,"在唐朝，这里是南方五大禅林之一，山腰上保留了大小几千件佛像石刻,这里也是桂林老八景之一，著名的“西峰夕照”，从上下到西峰顶，都有台阶上去的，大约需要40分钟，运气好，可以看金黄的夕阳余晖，洒落在摩崖石刻,仿佛佛光普照，听见了梵音从天际传来。"
2017-04-04,未知,4,桂林山水以典型的喀斯特地貌为主，城区内都遍布了大大小小的岩洞，西山景区就是其中之一，这是市中心的一处公园，其中的西峰夕照是桂林古八景之一，园内的隐山六洞也很有看点，没去过的朋友值得一游。
2018-02-20,未知,5,西山是误打误撞去的，离象山还有段距离，游完以后骑小黄车就能去东西巷王城。公园挺大的，游客和普通市民通道是分开的，游客会配一个导游，但我们拒绝了导游自己玩，5元两包鱼食可以去喂鱼，门口湖心的隐山里面有山洞，游客跟着导游可以进去，里面还有几座山可以爬，我们爬了两座，站在山顶可以看到桂林市区全景，风景不错，最重要的是游客很少去西山玩，人少，不用挤，也不用排队抢厕所。
2018-02-19,未知,5,西山景区在桂林市中心，从唐代起就成为旅游胜地，历代很多名人到此游历。我们在桂林游玩儿的最后半天来到这里，提前在携程上订好了票60返43。因为看到大家点评说导游只会带游客去隐山烧香拜佛，入园时果断拒绝了导游服务。园中外地游客很少，一入园就是隐山，以为公园不大，往里走才发现那只是冰山一角。走不久右手边有一座小山，看到路标上有摩崖石刻，就上了山。顺石阶而上，山上郁郁葱葱，可俯瞰桂林市区，可与对面山峰相望，别有一番情趣。可惜没有找到摩崖石刻，我们一定是找错了路，应该在其他的山上。遗憾的是我们没有时间再去找了，下次来桂林多安排一些时间再来好好玩儿吧。
