date,ip 属地,评分,comments
2020-04-27,未知,5,似乎每個城市都會有條解放橋，桂林解放橋有自己獨特的山水風光。解放橋車流量非常龐大，連接王城跟象山景區，距離東西巷跟正陽路步行街也很近，幾乎用走的旅途都會經過解放橋。 白天的解放橋充滿文化與山水，晚上的燈光述說著繁華，值得參觀。
2017-12-19,未知,5,位于桂林市区，横跨漓江，始建于1939年，由中正桥更名而来，经历了多次改建，现在的解放桥全长284米，宽45米。解放桥现在是当地的一个旅游景点，桥大气美观，桥底刻有各种图案，晚上在灯光的点缀下，十分耀眼，从桥的西南侧还可以远眺象鼻山。
2017-08-16,未知,4,这个大桥是桂林交通枢纽，造型也很美观，在桥上能瞭望辽阔的江面，附近有复古的逍遥楼，也可以眺望江景市景，并且以上全部是免费的，真心不错。我传了几张照片，据当地人讲，几十年没有的大雨，再加上水库泄洪，真心很危险，当然也很少见，我上传大家看看，也算另类的情趣。
2018-09-24,未知,5,桂林的解放桥居然莫名的跟广州的海珠桥有点相像，解放桥位于江的两岸，从东西巷仔过来也是比较的方便，登上逍遥楼看解放桥是最不错的角度。 整个解放桥其实都亮灯之后比较漂亮，现在的解放桥是翻新过后的，也许以前的漂亮多了，但是两岸的灯光有点不平衡，一边非常多，一边就没有，所以说，两岸的发展有点不对衬。
2016-05-13,未知,4,是桂林市区中横跨漓江很重要的桥梁，西连市中心，东接七星景区，已拓宽为双向共六车道，两边还设有比较宽阔的人行道。桂林公交有很大一部分是双层巴士，坐在二层车头经过大桥，可看见前方壮观的七星景区山峰。而大桥另外一个比较吸引游客的元素，是在南侧的人行道上，可以较清晰地免费看到约1公里开外的象鼻山。当然不会很形象，但也能满足穷游者的小虚荣了。
2016-11-01,未知,5,就住在解放桥码头附近白天晚上都路过了解放桥现在桥上往码头的方向看去远处就是象鼻山在这个位置有一点点像刺猬很好玩值得走一走逛完可以去小吃街步行不到十分钟
2021-04-15,未知,5,桂林解放桥已经重新建过了，道路宽敞，而且有很多绿植风景也很不错，桥的两岸有很多游客在散步游玩，在桂林的桥梁里面，解放桥是算最有名的一个桂林人都知道。
2018-10-21,未知,5,解放桥，桂林市区横跨漓江最重要的交通枢纽桥梁，夜晚亮起灯光，远观近看各有一番滋味。远观，映着漓江的盈盈江水，仿佛在向游客述说桂林的故事。站在桥上，近有逍遥楼，远可观整个桂林。就是高峰期堵车严重！
2018-04-14,未知,4,可能去的那天天气不好，所以看的景色真的很美，朦胧美感 水面上有一层薄薄的雾气缭绕着，仙气飘飘，站在江边中有种画中人物形象，很舒心
2016-12-13,未知,4,解放桥是桂林当地的一座几乎人人都知道的桥，现在桥上可以观看远处象鼻山，伏波山叠彩山。有一个乘坐两江四湖的码头，解放桥六匹马
2019-09-18,未知,5,桂林解放桥横跨漓江，位于桂林市解放东路东端，自由路西端，始建于1939年，由中正桥更名而来，经历了多次改建。解放桥现在是当地的一个旅游景点，桥大气美观，人文底蕴深厚，桥底刻有各种图案，晚上在灯光的点缀下，更加美丽。
2017-04-16,未知,5,可观景，可钓鱼，去东西巷不远。吃住方便。………………………………………………………………………………………………………………………………
2019-09-14,未知,5,解放桥位于桂林七星区解放东路。晚上大桥夜景很美，可以在滨江湖滨水生态广场下面看，也可以登上逍遥楼楼顶观看，这里有种可以媲美重庆洪崖洞千厮门大桥的意境。是桂林市区非常不错的一个打卡拍照处。
2017-03-31,未知,3,位于桂林市解放东路东端，自由路西端，始建于1939年，由中正桥更名而来，经历了多次改建。桥大气美观，横垮漓江，人文底蕴深厚，桥底刻有各种图案，晚上在灯光的点缀下，更加美丽。
2018-03-11,未知,5,解放桥变化太大了，很久没有去过，原来变得越来越漂亮了，这次到桂林，专门到解放桥溜达溜达，旁边多了一个逍遥楼，可以看见两岸的景色。
2019-12-23,未知,5,解放桥是漓江上桂林市内最有历史的一座桥梁了，已经重建蛮久了。江边的景色很好，夜晚灯光也很漂亮，也是目前桂林市最拥挤，流量最大的一座桥。
2017-05-18,未知,4,以前没来过的可以去看看，景色不错，好多游客，还有观光旅游船。附近交通便利，是个休闲旅游的好去处，附近有人在钓鱼，很好玩的。
2019-11-22,未知,5,夜幕下的解放桥灯光璀璨，如彩虹横跨在漓江之上，远处可以看到漓江对岸灯火辉煌的东西巷，桂林之夜如此妖娆，如此多姿，宛如美丽的少女穿着亮丽的纱裙，那静静流淌的漓江好似少女乌黑的长发，从肩头飘下，随着清风微微地摆动，让人陶醉不已。
2020-07-18,未知,4,全国的解放桥有很多，桂林这个城市也有一座，在市中心位置，是桂林人喜欢去的地方，可以下河游泳玩水，离王城，东西巷，正阳步行街很近。
2022-04-01,未知,4,这是一座民国时期修建的跨江大桥，历史悠久，也是漓江上的第一座大桥，它位于桂林市中心繁华地段，连通两岸交通，促进当地经济发展。
2020-07-19,未知,4,好多城市都有解放桥，桂林的解放桥在桂林市中心，周围步行街，王城，东西巷，好多可以逛街的地方，在桥下玩水特别舒服凉快，很好玩。
2017-06-08,未知,5,网上订酒店就在附近，下飞机到酒店天都黑了，入住后迫不及待地去看看，说实话真的很漂亮，不！是壮观。今天白天游一江四湖时又从桥下过，两边绿树成荫，石阶上有洗衣服，洗菜的，漓江还有游泳的，那份悠闲真的很美。
2018-01-02,未知,5,来DJ骨灰 来了就会看到 没啥特别
2020-05-08,未知,3,桂林市的解放桥位于广西壮族自治区桂林市七星区的解放东路上，是一座横跨漓江的大桥，大桥东部是七星景区。大桥修建的外观造型比较漂亮的，特别是夜景更好看。
2017-10-24,未知,5,这个大桥横跨漓江，始建于1939年，是漓江最早的桥梁，这里的景色非常美丽，可以远观象鼻山，伏波山，叠彩山等漓江景色，很好。
