date,ip 属地,评分,comments
2024-08-11,广西,5,风景很美，3步一个景，很出片，年轻人很多，是拍写真照的好去处，售票员服务很好，给人很专业正规的感觉，而且门票价停车费也不贵，比那些七星岩象山强多了。 个人观点，桂林城区那些景区除象山双塔必打卡，其它真没必要去，因为都很老旧，老旧但又没有那种古风，当然，象山双塔也是处处是坑，一定小心，交通线路奇葩，一不小心就会被罚，处处拥堵，停车费更是全国前位，租个电驴最好
2024-08-06,广西,5,绝对是桂林暑假遛娃圣地！ 赢麻了！门票25就可以带娃到年费10w+的高尔夫球场疯跑！ 注意下午五点后来，太阳刚好，有阴凉地，可以看夕阳 晚上在二楼吃饭，出品不错，景色很好。
2024-11-28,中国香港,5,圖片都顯示不出來眼前的風景，所有的一切一切都被治癒了。。
2024-12-12,河南,5,桂海晴岚是一个集自然美景、丰富旅游项目和便利交通于一体的理想旅游目的地。 地理位置桂海晴岚位于广西壮族自治区桂林市七星区航天路22号，地处桂林市区，距离桂林北站仅需20多分钟的车程，交通便利。 旅游项目 游客可以在大草坪上野餐和拍照，享受自然之美。 观赏天然湖泊的清澈湖水和美丽倒影。 体验热气球和直升机项目，俯瞰壮丽的景色。 参与水上活动，感受别样的乐趣。
2024-11-16,河南,5,桂海秦岚，真的是风景美如画，桂林山水已经不仅仅是课本上的风景，走到实景之下，才发现真美啊，这个季节是一个旅游的好季节
2024-11-09,广西,5,桂海晴岚，景致迷人，云雾缭绕似仙境。山峦叠翠，绿树葱茏，空气清新宜人。漫步其间，仿佛置身于一幅山水画卷，令人心旷神怡，陶醉不已。无论是观光游览还是休闲度假，这里都是一处不可多得的胜地。
2024-11-09,广西,5,桂海晴岚，一处人间仙境，山川秀美，云雾缭绕。绿树成荫，空气清新，漫步其间，如入画卷，让人忘却尘嚣，心旷神怡。无论是旅游观光还是休闲度假，此地皆是绝佳选择，令人流连忘返。
2024-09-08,广东,5,原高尔夫球场🏌️‍♀️，后修改拍照景点～ 来桂林，建议桂林拍拍照哟 玩项目也有哟～项目是收费的！ 热气球🎈108元/人 小电骑车。60元/1小时 山地车 摩托艇 建议：先租电瓶车转一圈（首次30分钟40元，拍照快速上车）基本上时间是可以的！当然1小时是最好的） 带上露营装备过来是最好的啦！ 车不可以到达入口，需要走一段时间。
2024-09-01,广东,5,出片，出片，出片，重要的事情说三遍！ 其实也非常适合亲子出行，小朋友一边玩，大人旁边放空，毕竟我深圳过去的，深圳就没这种地方。 记得带野餐垫、露营椅。
2024-08-21,广西,3,大热天的就不建议去了，太热了，如果非要去，如果想转一圈的话一定一定得租那个电瓶车，不然得累死，热死，如果想要沉浸式拍照，就不租车了，因为那个按时间收费，贵！所以拍照选好拍照地点就行了
