date,ip 属地,评分,comments
2023-08-21,江苏,5,20230312上午： 1、“桂海碑林”位于4A景区“七星景区”内。七星景区是漓江东岸的山水溶洞风光，是桂林市最大的综合性公园，历史悠久始于隋唐，留有徐霞客、邓小平、邓颖超、粟裕、李岚清、吴邦国、李铁映、十世班禅、西哈努克、克林顿等名人足迹，森林覆盖率84%堪称桂林绿肺，并占据桂林古续八景中的两处，即“栖霞真境”和“壶山赤霞”。七星景区所在的“七星山”由“普陀山”的4峰（天枢、天璇、天玑、天权）和“月牙山”的3峰（玉衡、开阳、瑶光）组成，7座山峰以北斗七星分别命名，分布形状犹如北斗七星，七星山由此得名。 ①地址：桂林市七星区七星路1号。 ②交通：公交直达，开车很好停。 ③旺季：无。 ④用时：6小时。 2、月牙山南麓的“桂海碑林”区域，一段曲折的盘山路文化氛围浓厚，一边是逼人而来的山岩，岩壁上屡见石刻；一边是漓江支流小东江缓缓淌过，轻柔舒缓。途经“伴月亭”（位于半山腰，始建于清代、重建于1958年和1978年，可俯瞰江景）、“小广寒”（建于1964年的二层仿古阁楼，位于“月牙岩”，原址曾为月牙山寺。附近山道上有休息亭阁“襟江阁”）、“丹桂岩遗址”（距今4000-1万年的新石器时代人类遗址，文物已迁走只留一座坑洞）、“龙隐洞”（天然半露天的大山洞，洞壁上石刻很多，步行在壁立千仞的洞内让人豪情万丈）后到达“桂海碑林博物馆”。馆内由“龙隐岩”洞窟和室内博物馆组成，龙隐岩上的石刻密布，与龙隐洞内唐代至清代的石刻合计210多帧，以宋代最多，视觉效果震撼，室内的题刻展览馆可细细欣赏拓印下的书法，历朝历代各种风格应有尽有。过景区“龙隐大门”继续绕山到达桂海碑林，这里收集了桂林市内散落石制物件、塑像、牌坊、石井、墓地石俑等，都是文物。登山小道上只有一座“揽月亭”。
2020-05-05,未知,5,桂海碑林博物館在七星景區裏面，不單獨售票，門票是50元。七星景區離解放橋、東西巷、正陽街都非常近。碑林博物館的出口距離老東江米粉總店超近，大概一百米，推薦一定要來品嚐。 因為疫情因素，碑林沒有開放。還遇到有導遊在線上直播，很特別。我從龍隱路的欄杆看到部份碑林，感覺是很古樸的地方，下次要再拜訪。
2017-12-06,未知,3,桂海碑林博物馆就在七星景区一起的，门票是和七星景区一起打包的！ 从七星景区出来必须过博物馆才可以离开景区。 桂海碑林博物馆门口有收费停车场，可以停大巴，龙隐桥就在边上！ 桂林网红老东江米粉总店就在停车场对面的施家园路3号。有兴趣可以去尝一下哦！
2019-09-30,未知,4,桂海碑林博物馆位于桂林市龙隐路1号七星公园景区内，9：00-17：00对外开放。是当地有记载的碑林。门票包含在七星公园景区内，也是七星公园的一个出口门，出来旁边是施家园路，这里展品还算多，碑林历史悠久，小朋友比较喜欢。
2023-09-05,广西,5,桂海碑林是广西壮族自治区重点文物保护单位，位于桂林市小东江畔七星公园月牙山瑶光峰南麓，由龙隐洞、龙隐岩两处石刻组成。此处“壁无完石”， 碑刻如林。桂林石刻为第五批全国重点文物保护单位。
2020-07-29,未知,5,值得去的地方，大家要咨询看，每一个碑文都有故事，这是桂林深度游，不要错过哦，我这是第三次来桂林，过去都是走马观花，这次看的很仔细。
2016-01-12,未知,3,桂林是桂林人的桂林！其他地方的游客去景区要购很几十上百的门票！而桂林人免费！不能让人认同！
2017-12-03,未知,5,全国最大的碑林，而且故事颇多我，了解桂林从这也可以开始。
2023-03-29,广西,5,桂海碑林是桂林文脉最为雄健的地方，摩崖石刻，山水诗文、壁画造像…..琳琅满目，在这里可以穿越历史长河，领略桂林2000多年历史人文，是一处文化瑰宝秘境，非常感动，强烈推荐给大家！🌹
2023-12-14,上海,5,了解一座城市，最推荐先欣赏她的博物馆，美术馆！桂海碑林，如兰亭序的美景，茂林修竹，流觞曲水……有“看山如观画，观山若读史”的磅礴气象！
2018-06-19,未知,5,桂林碑林博物馆，是当地就有记载的碑林，博物馆。这里拥有的，馆藏碑很多，不乏有极具历史价值的石碑，也是城市文明和历史记载的见证。
2016-01-10,未知,1,不是说免费吗，走到去要我买票70块钱门票，门口有本地人拉我说在他那买可以便宜，感觉很坑，不进去了，拜托携程更新一下，刚在携程买了訾洲岛门票，拿去窗口兑换售票员态度恶略还说两个小时后才能进园，两次碰壁后感觉以后再也不想来桂林了，专坑外地人，吃东西也是本地一个价外地人一个价钱，呸。
2018-08-14,未知,5,这个主要是文化旅游，喜欢书法的朋友不要错过了
2019-07-11,未知,5,"很值得去的地方 ,对小朋友更加有吸引力，有好玩的体验！"
2018-03-15,未知,5,挺好的，就是自己打的过去有点远…
2022-03-20,未知,5,昭陵六骏是印象中最深的，气势如虹，刚劲有力
2020-12-21,未知,5,环境不错，空气很好，值得一去。
2019-03-29,未知,4,博物馆里面展品很多，有好多碑帖可以看看
