date,ip 属地,评分,comments
2023-08-22,江苏,5,20230311晚上： 1、“桂湖”位于5A景区“两江四湖•象山”内。两江四湖•象山是桂林市闻名于世的地标式山水风光名胜，是来桂林必打卡的网红景点，其水系像血液般贯穿市区，城市与山水融为一体，属于开放式景区，游走于桂林街头便不知不觉徜徉在碧水翠山之间。景区分为“两江四湖”和“象鼻山”两大区块，入园均免费，前者适合夜景，后者适合白天游览。 ①地址：桂林市象山区。 ②交通：公交直达，开车很好停。 ③旺季：无。 ④用时：2小时。 2、步行游览两江四湖免费，但最佳游览方式是乘坐游船，游船分白天和晚上两个时段，白天价格90元比夜游180多元的便宜了一半，当然视觉效果会逊色不少，我在白天和晚上各体验了一次。游船为单层，椅子下方有救生衣，船上配有厕所不过只能上小便。两江具体指“漓江”和“桃花江”；四湖指“杉湖”、“榕湖”、“桂湖”、“木龙湖”；游船路线为：日月湾码头-杉湖-榕湖-桂湖-木龙湖-（原路返回）榕湖-桃花江-文昌桥码头，全程60-70分钟，起点和终点相隔15分钟脚程。日月湾码头位于杉湖东岸。 3、3、桂湖也是由护城河演变成湖，开凿于北宋崇宁末年（1106年），原名“漂帛塘”和“西清宝贤壕”，湖面上两排竹筏上渔翁带着驯化的鱼鹰（鸬鹚）进行捕鱼表演，鱼鹰的脖子被绳子勒住以免吞下鱼，渔翁看到鱼后发出指令，鱼鹰便跳入水中捕鱼并吐出来，这项表演只在夜游里有，黑色鱼鹰在黑夜时拍照不明显，所幸个别是白色的。鱼鹰驯化在南方水乡历史悠久。继续行船穿过“西清桥”（建于1983年，像红色波浪的步行桥，是英国桥梁大师威廉姆•埃斯里奇游历东方后设计，也有传说此几何结构是著名科学家牛顿在剑桥教书时设计，又名“数字桥”，全桥没用一颗钉子和螺丝）、“宝贤桥”（始建于1970年，重建于2000年，仿照法国塞纳河上的“亚历山大三世桥”而建，但体积不到其一半，是一座石雕艺术桥，桥底有石刻图案）、“丽泽桥”（2001年建成，中国第一座自锚式柔性钢桁梁悬索桥，全桥有8万个螺栓，因桥身通体红色又称“红桥”，是桂林桥梁中单孔跨度最大的桥）、“宝积桥”（2001年建成，因位于“宝积山”下而得名，为了与宝积山上的宋代城墙遗址相协调，设计成类似城墙风格的桥身，有点像赵州桥，桥拱下刻有阴刻图案）后到达木龙湖。
2017-05-13,未知,5,桂湖是桂林“两江四湖景区”的组成部分，自然是被精心装扮了一番。据说桂湖曾经是宋代桂林城的护城河，宋代古城墙就在湖的东岸。直到80年代末90年代初，才被拆除，建起了一批公寓楼。如果保留到现在，想必是一个“重点文物保护单位”了。桂湖的景色如何，还是自己看照片吧……
2020-04-02,未知,5,我们住的酒店就是老牌的四星级酒店名字就和桂湖有很大的渊源 比起两江四湖里面其他的区域 这路的路还有后山的感觉更加的自然 桥梁旁边的布道很整洁适合跑步 没有太多的游客 大部分都是本地人在这里三不误 一到晚上灯光泛起在湖两边 点缀的灯光也没有桂林宾馆和漓江去那边的亮。色泽很舒服
2018-02-25,未知,5,桂湖景色宜人，尤其是夜景。我们住在桂湖饭店，桂湖围绕着宾馆，环境非常好。从宾馆门前沿桂湖边漫步，宝积桥、西清桥清晰可见，榕树根茎长廊逼真有趣，桂湖渔火引人入胜。
2018-05-27,未知,5,桂林的两江四湖之一，除了游船游览之外，作为开放式公园沿湖漫步游览也很好。有山有水，还有富有特色的几座桥，每一座都自成风景。边上酒店也很多，交通也方便，可以作为住宿的考虑点。
2019-09-14,未知,5,桂湖是桂林市两江四湖景区的其中一湖晚上夜景很美。桂湖由丽泽湖、宝贤湖、西清湖组成，因古代桂林城西的丽泽门、宝贤门、西清门而得名，这里景色优美，是一个中外结合的博览园。主要景点有棕榈园、木兰园、银杏园、水杉林。
2018-01-30,未知,5,这次出行，我们就住在桂湖边，距离市中心有几分钟车程，非常安静。白天沿着桂湖边走走，风景优美，空气清新，适合放松心情。晚上湖边的夜景也很不错。
2018-03-30,未知,5,超级棒 住在精通酒店 旁边就是桂湖 第一天到桂林 已近下午 放好行李 就在酒店附近逛逛 好美丽的湖 住在附近的居民真的心情天天都美丽呢
2017-12-24,未知,5,很少晚上去桂湖，公园挺大的，早上和晚上人比较多，公园有一个大的人工湖，有划船喂鱼之类的，漂亮的是还有很多漂亮的亭子。春季花非常多，八月的时候桂花很赞
2016-07-02,未知,4,北接木龙湖，南连榕湖，是两江四湖中最狭长的湖泊，感觉就像是一条江。而最大的看点，就是有众多东西走向的桥梁横跨湖上，造型各异。宝贤桥、观漪桥、丽泽桥等，夜景十分漂亮。
