date,ip 属地,评分,comments
2023-04-08,陕西,5,20230315下午： 1、“桂花公社”是一家以桂花为主题的新晋厂办景区，将桂林桂花的自然、人文、应用、商品全面细致地呈现，室内影音和布景视觉效果震撼。 ①地址：桂林市秀峰区阳江路18号。 ②交通：公交直达，开车很好停。 ③旺季：无。 ④用时：2小时 2、景区有免费讲解带领参观，主要在室内。进入展览馆，迎客壁画是一副九层的镂空雕画，运用“叠彩”的艺术表现手法，导游开灯后非常漂亮，内容展示了状元及第、“日月双塔”、桂林山水等内容。随后进入桂林和桂花的历史科普介绍厅，头上挂有一颗在碳14检测后证实距今一万年的炭化桂花籽，出土于桂林甑皮岩，是世界现存最早的桂花籽，并用图文、蜡像等形式介绍了桂花的自然生长、品种、与桂林的关系等知识。 3、进入影音厅，是一段介绍桂林和桂花的5D影片，视觉效果美轮美奂、震撼人心，脚踩地面的影像使人身临其境。背后的科普墙介绍了桂花种类。下一展厅展示了桂花的应用，桂花用于中药（立有李时珍编撰《本草纲目》的铜雕，是拍照点）、桂花蜂蜜、香薰、酿酒、化妆品等。 4、下一厅“桂冠•状元吉地”展示了桂花与桂林历史上出的8位状元之间的关系，头顶的彩色装饰灯密集垂下犹如浩瀚繁星，色彩变幻颜值极高。桂花树下状元持书苦读的雕像将大厅从梦幻转为现实，状元及第的半立体墙雕、进京赶考前的仿真宴席（当地官员在学子进京“殿试”前会请客吃饭送行，因为学子们大概率未来会同朝为官）、为随后的光影动画进行了预热铺垫，动画是一段投射在彩绘浮雕画作上的古代人物，类似皮影戏，演绎了中国历史上最后一个“三元及第”（乡试、会试、殿试均考第一，1300年的中国科举历史上仅有13人，可算作中国古代每100年才出1位的顶级学霸）、桂林籍陈继昌参加科举并金榜题名的全过程，以桂花糕为口粮，浓浓的桂林风情，给我留下深刻的印象。 5、下一站厅介绍桂花酒的酿制，球星屏幕的视频我第一次见到，很新奇，周围橱窗用彩色泥人介绍了桂花酒的酿制工艺，随后是一段色彩绚丽酒瓶视觉盛宴，密密麻麻的古代和现代酒瓶，以及2888瓶桂花干组成的墙壁，借助镜像反射，使视觉效果翻倍，不由得赞叹此景区设计者的非凡功力，只是密集恐惧症的人群不得不闭着眼走路了。 6、接下来是儿童游乐主题厅，在壁画中找到隐藏的桂花精灵，类似“大家来找茬”的游戏。再往前便是桂花制品的古代作坊和现代车间了… 字数超限，在最后一张图片里继续。
2021-07-08,未知,5,最近很火的网红景点，去了发现真不错，体验感很强 由三大部分组成，桂花文化体验馆，室外园区，桂花树下酒店 桂花文化体验馆，沉浸式体验为主，5D投屏，感觉好真实，还能了解桂花的文化魅力 城市礼品馆有很多桂花相关的美食，可以免费品尝桂花糕，桂花酒，桂花冰激凌，挺好吃的，送人也不错 园区的星空玻璃屋和月亮池很网红，特别适合拍照，很出片 总体觉得挺值的，慢慢玩多半天还是可以的
2021-05-15,未知,5,很不错的地方，带小朋友过来玩，不仅可以学到很多关于桂花的知识，还让他体验了做桂花糕的乐趣，寓教于乐。随便说一句，这的桂花糕真心好吃，真材实料还能看到颗颗桂花，口感一级棒。不愧是桂林糕饼界的扛把子！赞[强][强][强]
2021-04-28,未知,5,第一次来桂林，听朋友说这里新开业的一个景区，就在秀峰区阳江路的桂花公社，里面好漂亮，我们住了景区里的桂花树下度假酒店，一进去就有扑面而来的桂花香，我们订的是汤泉spa套房，享受了美美的桂花浴，然后又去了桂花文化体验馆，讲解员小姐姐很热情的给我们介绍了桂花的悠久文化历史，还在礼品厅买了特色的桂花红茶和桂花精油身体乳，最后吃了桂花糕和桂花的冰淇淋，给老爸带了桂花酒，天哪，这里全是桂花的产品，超级值得来，推荐一下，听说，这里是桂林的新晋网红打卡地哦😊
2021-04-28,未知,5,三月三闭幕式去了桂花公社，真的是人间宝藏的地方，我喜欢人文一些的地方，桂林这样的景点真的不多，王城是一个，这里是一个。在桂花文化体验馆，各种桂花的诗句，在情与景中得到升华，还有桂花酒的介绍，我是比较爱喝低度酒的人，桂花酒特别符合我的喜好，而且还说到桂花酒的制作和文化，特别好。喜欢！！在梦幻的星空屋摆拍了几张造作的照片，哈哈哈哈哈！
2022-03-16,未知,5,文化知识氛围很强，环境干净大气，有专人随行讲解。到处都是桂花香。挺适合闲暇的时候去走走逛逛的，连冰激凌都是桂花味的，还有个户外公园可以逛，整体就跟个桂花主题的艺术展一样，不错
2021-07-02,未知,5,在里面玩了将近两个小时了，大部分时间都在展馆里面，感觉很舒适，内容也非常丰富，无论是桂林本地人还是外地人，都建议去体验一下。
2022-03-11,未知,5,无意中看到了桂花公社的微信推文，感觉不错就带着全家来了~一进来就感觉整个景区环境太好了，非常干净，工作人员也很热情，到了园区马上有讲解员带着我们参观。里面的文化馆还挺高科技的，比较惊艳，我和孩子都学到了不少知识~馆外还有很多个拍照很好看的景观
2021-04-28,未知,5,新的打卡地，那个金光大道好漂亮！挺有特色的！还有桂花雨！从桃花湾步道走路过去的，一路景色不错，景区旁边还有家餐馆，东西好好吃。
2023-12-24,广西,5,小朋友做手工，大人阳光下围炉煮茶，很惬意的一个下午……桂花冰琪淋也很好吃，很值得来过周末的景区
