date,ip 属地,评分,comments
2023-04-04,甘肃,5,20230314晚上： 1、“正阳步行街”是桂林名气最大的夜市步行街，南邻5A景区“两江四湖”里的“杉湖”北岸，北邻解放东路，并与桂林历史最悠久的古街“东西巷”通过地下通道相连，全长666米，寓意“六六大顺”，建筑风格既有仿古又有现代建筑。免费开放。 ①地址：桂林市秀峰区正阳路29号。 ②交通：公交直达，开车不好停。 ③旺季：无。 ④用时：只逛不吃的话，1小时。 2、步行街北侧以小吃、饭馆为主，夜市的美食里，除了大部分的夜市标配项目外，最亮眼的是当地特色“桂花酥、饼、糕”、“桂花酒”等特产。现场制作桂花酥饼糕的大石臼很壮观，不含防腐剂的话只能存放不到10天，都可免费试吃，外观很漂亮，味道也很好，一股淡淡的桂花香十分诱人，色香味俱全，其中“秝园桂花糕”是象山区区级非物质文化遗产。饭馆里能吃到当地特色“啤酒鱼”，味道和模式跟烤鱼有点像，鱼肉更软。桂林的三花酒、辣椒酱、豆腐乳合称“桂林三宝”，在大街上都有卖，视觉效果很棒，尤其是辣椒酱，光看着就觉得辣。 3、小吃方面，我还尝了尝“开口笑龙虾煎饺”，味道还行，但还是觉得小龙虾还是自己剥壳吃得爽，另外还点了几串烤肉解了解馋。饮料方面，我没有选择食品添加剂勾兑的奶茶、果茶，而是花差不多的价钱（15元）买新鲜椰青，纯天然无污染，岁数大了身体对这些添加剂反应太敏感。另外、“劈腿香蕉”、“泰国香蕉竹”（竹筒饭）、草编品等看起来也不错。 4、步行街在清代便成为了桂林市商业中心，是商贾云集之地，街的正中央有创意造型的红色钟塔“正阳钟塔”，是步行街标志性建筑，颜值较高是拍照点。“水帘洞”（祈福类商铺）、小火车造型的宣传栏、“我在桂林很想你”路牌、青蛙装扮的人偶也蛮有创意，是拍照点。有个摊位现场制作水晶琉璃，平时不常见，高高的蓝色火焰挺带劲的，建议观摩下，在东西方向上。 5、步行街南侧以杂货、旅行社摊位为主，最南段有“马君武故居旧址”并立有他的铜像，他是民国时期著名教育家、广西大学校长，我国第一个工学博士，与北大校长蔡元培合称“北蔡南马”。雕像旁、入口正中央是在此出土的“曲水流觞”石雕仿制品，是古代一种喝酒游戏器具，它是古时上已节（魏晋时期以农历三月三代替）所玩的一种游戏，大家围坐在石刻周围，让酒杯随着水漂流，杯子在谁面前打转儿或者停下，便取杯喝酒，王羲之的《兰亭集序》里便记载了他们玩过此游戏，直到清代此习俗渐渐消失。
2015-12-08,未知,5,正阳步行街，知名商业街，南起杉瑚北路，北至解放东路。街内的店铺各具特色，琳瑯滿目，晚上热闹非凡，集饮食娱乐于一身。街口的大瀑布酒店正对杉湖，有特色，每晚8点30分就楼顶放水，似瀑布流淌，在中心广场就可欣赏，也算是一景。据说，以前还有音乐播放，我们观看时没有。在步行街逛逛，吃点美食，买些特产还是不错的。
2018-02-25,未知,5,我们是在春节假期旅游高峰期后期来此地游览的。步行街距离日月湾码头很近，人气挺旺，小吃和桂林特产很多。我们逛街也有买桂林特产带回的目的。街道上很多卖桂花糕和桂花糖的店铺。我百度了一下，很多人都说“金顺昌”的好，但是很多“金顺昌”的店铺，让我无从下手（掏钱买）。我到各家品尝了一番，我的小小品尝宝贝最终让我买了“老桂花铺”的桂花糕，付了钱，提着糕点，宝贝还不舍得离开，还要扒在柜台上眼巴巴的等着新出炉的试吃品，嘻嘻嘻，我想味道应该不错吧，至少我的小宝贝很爱吃。后来，我还是带回了一包“金顺昌”的简易包装点心。
2017-09-11,未知,5,出双塔公园走过阳桥后右拐，即到了正阳街。街两侧一家挨一家的小商铺都亮起了灯很是漂亮的。无数盏橘黄色的灯光和大红灯笼都让人心里是暖暖的。在这时后又见满街的米粉，实在是口津满溢。另外又发现了一种桂林小吃“糯米饭”，十分对口味，一只约十公分口径的小碗上套上个小塑料袋，先盛进一铲篜得雪白松软的糯米饭，压实，再填上炒得香喷喷微辣的肉丁菜丁，然后再盖上一层糯米饭，压实，拎起塑料袋双手捧着，像吃三明治一样。香辣滑糯，好吃不贵，三元钱一份。
2016-05-23,未知,4,在正阳步行街里有一条尚水美食街，这里简直就是吃货的天堂，美食都是在桂林最集中的地方。价格也很实惠。 铁板豆腐。辣辣的很好吃 铁板鱿鱼，这家鱿鱼超级好吃。我们吃了24串。10块钱6串。真在烤的鱿鱼。吃了还想吃，所以只能边吃边等了。 凉面，凉皮。这个没有吃，因为很多地方都有。 猪肘子，很香。 吃完喝点冷饮，这酸爽才够味。 我最喜欢的芒果。但是热量很高，也不能吃多。
2016-11-01,未知,5,步行街都基本差不多，一些特产商店，一些卖快时尚的衣服的商店，还有些小吃。这次在这条步行街上发现一家老字号的饭馆味香馆，进去尝了尝。环境还不错。
2017-10-11,未知,4,2017年9月21-26日在携程网购买了《桂林+阳朔6日自由行·悠闲自得·细细品味 赠接机》套餐，游玩了桂林阳朔两地。26日上午，特地来正阳步行街逛逛，看看桂林最重要的商业步行街，街上人不多，桂林特产商店特别多；并在泰美丽泰菜馆用了餐，买了点桂林糕点。
2016-11-03,未知,5,在桂林市中心，是饮食购物一条街，非常干净，有一点南国的风情，小吃便宜又好吃，有空可以去逛逛，土特产会稍微贵些，看看玩玩还不错。
2017-09-24,未知,5,步行街真是没啥风景好看的，感觉唯一漂亮的就是晚上的日月双塔，点上彩色的灯，加上水里印出的倒影，还是非常漂亮的，步行街里吃吃崇善米粉，各类烧烤，价格很美丽，旁边就是大瀑布酒店，还是不错的，再有就是旁边的粥城也是味道可以，价格亲民。
2017-08-25,未知,4,吃的东西很多，其他工艺品没太多特别的。建议第一天到桂林的晚上去逛，旁边有瀑布大酒店，晚上8点半准时放瀑布，挺有意思的。还有中心广场旁边小路上很多吃的店，再走几步就可以在湖边看双塔夜景，夜景绝对比白天好看多了。我第一天到的早，下午就跑去正阳街，热的不行，街上也没什么人，景色也不特别。之后就第四天才有力气出去看夜景。往街的另一头走到底就是东西巷，也有点意思的，重点是晚上去逛好玩。白天很多店也不开门的。
