date,ip 属地,评分,comments
2017-11-25,未知,5,毛洲岛村位于广西桂林市灵川县大圩镇，距国际旅游名城桂林市仅20多公里，位于漓江中游，为百里漓江第一大岛，与中国历史文化名镇——灵川县大圩镇隔江相望，漓江呈“川”字形穿岛而过。毛洲岛四周环水，面积0.43平方公里，总户数86户，人口390人。岛上绿树成阴，果树成林，空气清新，环境优美，旅游资源丰富
2022-04-28,未知,4,在大圩古镇的对面有漓江上第一大岛——毛州岛，从大圩的码头花几元钱乘摆渡船可以过去。摆源船是为岛上村民服务的，乘船的基本都是到镇上赶圩的人。毛州岛的村民主要以生产蔬菜水果为主，近些年开办农家乐吸引人们前往。
2019-03-30,未知,5,岛上硕果满园，鸟语花香，农家乐园。可以到上面走一趟，心旷神怡。很有田园生活的惬意！这里的村民都很质朴、真诚，想对待朋友一样，这让旅行增添了几分舒适！
2020-04-16,未知,5,大圩古镇的对面隔着漓江就是毛洲岛，是桂林当地居民假日休闲目的地之一。岛上有农家乐提供膳食娱乐，等等。据说岛上的农家菜是挺地道的。我们今天时间有点紧，没有时间上岛，就在大圩古镇隔着漓江眺望了一下。下次有时间一定要去毛洲岛吃烧烤，喝漓泉啤酒。
2017-01-26,未知,5,可以邀请朋友一起去吃好吃的看好看的风景，拍美美的照片，那里的风景真的很不错，推荐，值得一去。
2021-03-05,未知,5,农家乐较多，稍为有些历史，可以休闲。四周有社公山、景山，磨 盘山 ，镇西毛洲，四面环水。
2017-03-25,未知,5,大圩镇的一个地名，如其名，是个江上的小岛，景色不算太知名，本地人说起来才会知晓。
2017-02-04,未知,5,毛洲岛当地村民挺纯朴的，养殖及种的各种蔬菜太好了，
2016-10-23,未知,5,休闲农家乐的好去处，慢悠悠的逛
2017-08-04,未知,5,水很清澈，夏天去可以游泳。旁边有农家乐饭店，也是不错的一个避暑地方。
2017-05-25,未知,5,在大圩镇转了转，古色古香，维持原貌。
2017-03-20,未知,5,很不错的景点！性价比超高！推荐游览！
2018-03-27,未知,5,可以去走走的地方，回味一下还是不错
2018-03-16,未知,4,毛洲岛的景色还是不错，看着夕阳漫步
2016-12-24,未知,4,环境幽雅，风景宜人，可以到此一游。
