date,ip 属地,评分,comments
2023-09-02,山东,5,20230317上午： 1、“水月洞”位于5A景区“两江四湖•象山”。该景物是桂林市闻名于世的地标式山水风光名胜，是来桂林必打卡的网红景点，其水系像血液般贯穿市区，城市与山水融为一体，属于开放式景区，游走于桂林街头便不知不觉徜徉在碧水翠山之间。景区分为“两江四湖”和“象山”（也称“象鼻山”）两大区块，入园均免费，前者适合夜景，后者适合白天游览。入园免费。 ①地址：桂林市象山区民主路1号。 ②交通：公交直达，开车很好停。 ③旺季：无。 ④用时：3小时。 2、水月洞便是象鼻子底下，岩壁上石刻众多，最早的是唐天保年间容州都督元结的隶书“水月洞”题字；最有名的是唐代著名诗人韩愈的耳熟能详的那句“江作青罗带，山如碧玉簪”；另有桂林2000多帧摩崖石刻中面积最大的《皇清中兴圣德颂碑》，由清光绪年间广西巡抚、文学家倪文蔚所题。其余文人墨客还有陆游、张孝祥、范成大等人。旁边现代风格路标牌“我在桂林很想你”与古迹融合毫无违和感。
2016-05-13,未知,4,这个就是造就了象鼻山的山洞，而通常只叫水月洞，因为洞里早已没有了朝阳亭的痕迹，只有碑刻上有记录。在象山景区观景台可以看到洞的左侧，在訾洲公园可以看到洞的右侧，而若要进洞，则需坐筏或从象山公园的西南面进入，不同的角度，不同的体验，同时三种方式之间的距离较远（三者我都试过），请提前作好选择。
2019-09-30,未知,5,水月洞是桂林市象鼻山景区的景点。位于象鼻和象身之间。洞长12米，高约12米，宽达10米，因石洞与水中倒影宛如一轮月亮，一沉于水底，一浮于水面而得名水月洞。进入洞里有一股天然的凉风吹来，感觉很舒适。
2017-08-12,未知,5,在象山景区内，会经过酒窖，洞内蚊子较多，注意防蚊措施。站在洞内可以看到不一样的景色，蛮值得来的！
2020-07-25,未知,5,水月洞是桂林象山景区的核心景点，是在象鼻山的象鼻和象腿之间的一个圆形空洞。距今约1.2万年前， 地壳抬升， 漓江缩小， 加速了水月洞的发育， 形成一个东西通透的圆洞。
2019-05-09,未知,5,水月洞是象山景区一个景点，就是大象鼻子的位置中间那个洞，景区很大，分多处景点，值得一去
2021-05-23,未知,5,水月洞洞口朝阳，亦名朝阳洞，但洞在水上，如明月浮水，十分形象，所以水月之名，一直沿用至今。“象山水月”是桂林山水一大奇景，水月洞最美的时候是明月当空的晚上，人们可以看到天上月，洞中月，水中月，相互辉映，让人有一种人行月里水如天的感受------泛舟漓江，山水如画，心旷神怡！
2019-06-22,未知,4,象山之所以称之为象山就是因为水月洞。宛如大象的鼻子深入水中吸水一般。可以去洞中一探究竟，也可登上象山俯瞰风景。
2018-02-26,未知,5,进来水月洞朝阳亭就会非常的凉爽，这里真是个避暑的好地方。
2017-08-22,未知,5,天然洞口，就像大象在喝水，景色优美
2021-06-02,未知,5,桂林城徽象鼻山，鼻子下面水月洞，犹如那首诗，洞中有明月，明月水上浮。
2021-09-08,未知,5,来桂林必到之象山公园，可以爬爬山，到这个洞看看，里面有壁刻
2018-03-03,未知,5,好玩好玩，值得一去，推荐你们去玩
2018-03-16,未知,5,刚好在象山公园里的象山象鼻子的位置，景色不错。
2017-09-04,未知,5,景色宜人……趣味十足，性价比高的一次旅行……一如既往的五星好评！
2018-02-19,未知,5,远观大气，近看也就这样，不过是旺季，人太多
2017-07-24,未知,5,桂林市城徽。值得一看。不进景区也看得见。
2016-09-20,未知,3,云峰寺的入口，景区连着一个小寺庙，还有太平天国的纪念馆。
2022-06-11,未知,5,桂林多溶洞，此处由称奇，美不胜收。
2018-06-16,未知,5,很有文艺范的景点，亭子也显得别具一格的在哪伫立着。
2017-12-23,未知,5,这地方很好玩，景色优美，环境怡人。很值得一游。
2019-07-24,未知,5,象山，桂林城徽，位于市中心，交通便利。
2017-11-16,未知,5,是象山景区的一个组成部分，值得一看！
2018-02-02,未知,5,这个就是造就了象鼻山的山洞。。。
2018-01-12,未知,5,洞不大，但是正好让象山成为象山
2017-12-25,未知,5,水月洞亭，好听的名字，有点意思
2017-08-04,未知,5,水月洞其实就是象鼻山的洞穴……
2016-09-20,未知,5,象山景区内，就在江边。溶洞性质
2017-11-21,未知,4,象山公园的＂象鼻＂处，景色不错，有些人跨过围栏到底下去玩了。
2021-02-21,未知,4,不错的地方，特别给力，如果人少一点就更好
2018-02-04,未知,3,还是有些难以接受 是带着大景点来的 狠失望
2019-08-20,未知,5,景点风景还算可以的，性价比非常高。
2022-10-05,北京,3,good good good good
