date,ip 属地,评分,comments
2017-04-12,未知,4,好像说是桂林唯一的天坑。进了山洞往前走，是一个由五颜六色的灯光，照射着各式各样钟乳石的溶洞。越往深处走，水流声就越大。走到最后彩色灯光没有了，抬头就看见天坑。不是很大，其实就是溶洞塌陷形成。看完之后跟着导游原路返回。
2017-04-16,未知,5,空气质量好，实话说，天坑的钟乳石还是值得门票价格的。
2018-05-13,未知,5,全中国两个地方的天坑最有名，一个是广西桂林，一个是陕西汉忠，但是只有广西桂林的天坑是开发过的，可以安全的参观游览，陕西的目前只适合户外爱好者
2019-11-23,未知,5,这个天坑是世界上迄今发现的唯一能轻易从底部步行进入的天坑，而且与之相连的是一段拥有200米钟乳石巨景的长廊式溶洞。，值得推荐
2018-02-13,未知,5,来到天坑的外面的环境给人一种纯朴的感觉，自然的环境非常的美，尤其是进入天坑的山里后，那种原始形成的各种钟乳石是真的非常的美
2017-09-08,未知,5,永福天坑在金钟山，去金钟山如果是自由行的话就要从桂林坐车到罗锦，再在罗锦包辆车进金钟山，从桂林到罗锦要去汽车站坐车，车费
2017-08-02,未知,5,永福天坑是目前世界上迄今唯一能从底部步行进入的喀斯特漏斗，溶洞与天坑相融合。整个游览以寻“寿”开始，可领略洞中钟乳石巨景长廊的精美画卷，看遍布在岩壁上的金砂，而且与之相连的是一段拥有200米钟乳石巨景的长廊式溶洞。
2016-05-15,未知,4,永福天坑 是在到度假景区的路上，所以去天坑还要往回走也是就是离开的时候再去玩就可以了。往回走到高尔夫球场，往右转进去就是天坑景区了。门票40元/人。
2017-10-15,未知,5,进去还有些冷的 天坑确实挺天然的 就是一路过去的岩石没有想象的好看
2018-04-13,未知,5,还可以的，主要是景色不错，苍翠群山环绕的一席世外桃源，神妙奇趣的洞景，精美绝伦。大自然的鬼斧神工造化这片永福之地，呼一口清新的气息，闻听福
2019-06-14,未知,5,当你走到那个底端，是你内心的洗礼还是内心的忧伤，人生总会有那么多的低点，那么多的不如意，当地来到天坑底部想想，和美，不过是不是该反弹呢！
2017-10-11,未知,5,每年，当大理无量山的樱花开始谢去，而江南的花季又没接上时，永福的樱花却无边无际地在一垄垄墨绿的茶丛中漫天飞舞开来。
2018-09-11,未知,5,这里太多人去那里都说好 我的朋友圈里都来问我这里是什么地方我就告訴他們这是永福
2019-08-17,未知,5,景色非常震撼，值得大家一去的地方。
2019-04-26,未知,5,挺好的一个景点，沿途风景美，景点人少，有讲解员循环讲解。回来途中还在农家乐吃了饭，老板看我们手里有空椰子壳，给我们做了椰子鸡。
2016-02-07,未知,5,好无聊，没什么好看的就是个坑在那里
2016-02-10,未知,5,好地方，值得一去，有空就去玩玩吧
2015-10-19,未知,4,它位于桂林市永福县罗锦镇金钟山旅游度假区，欣赏完溶洞，可以体验一下这里的天坑，这不是任何地方都能看到的自然景观，所以值得一看。
2024-10-24,陕西,5,前台服务热情，客房卫生干净整齐，房间的网络升级了，网络信号很好，上网很快，停车方便。空调制冷效果好。是我住过最好的
2016-09-07,未知,5,很好玩，风景很美你一定要来哦。
2017-06-02,未知,4,溶洞，天坑下面很舒服，空气清新，稍冷，建议穿个薄外套，来回40分钟游程。有时间建议再去金钟山和永福岩景点。
2015-11-17,未知,5,景区还不错，自然真是鬼斧神工呀，溶洞与天坑相融合。值得一游
2017-10-21,未知,4,这个天坑和当地的喀斯特溶洞紧紧相连，风景独特，洞中奇石众多，值得游览。
2019-10-06,未知,5,据说，乾龙天坑是世界上迄今发现的唯一能轻易从底部步行进入的天坑，带了小孩，也亲密接触下，先走一段溶洞，洞底即时天坑，值得一看。
2015-11-22,未知,5,非常漂亮非常美丽非常喜欢，真是度假胜地。。
2019-08-08,未知,5,***
2018-01-01,未知,5,感觉不错，安静，漂亮，空气一级棒
2018-12-03,未知,5,天坑地缝景区扩延美景串联线。。
2017-04-19,未知,3,门票略贵，性价比就一般了，随便看看期望别大
2018-12-15,未知,4,挺好看的，就是要上上下下爬樓梯1個多小時
2019-02-06,未知,4,不错，不大的景点但很是壮观，值得一看
2018-06-05,未知,4,感觉不错，安静，漂亮，空气一级棒，自然的环境非常的美，尤其是进入天坑的山里后，那种原始形成的各种钟乳石是真的非常的美
2024-05-27,广西,5,整体不错，就是有点危险木头楼梯有一块很松动，男友说在洞里看到了蟒蛇吓人
2016-08-12,未知,4,到的时候已近中午，在工作人员指导下很快确认了电子票，工作人员很热情，天坑规模不大，但很特别，值得一去。
2018-01-12,未知,5,购票挺方便的，景点有点远，挺值得去的
2024-06-12,上海,5,雨天太美了
2024-04-28,广西,3,说好的极速入园，明明现场有一批人可以进，一听说是团购的就让我们等到下一批，多等了二十多分钟
2016-08-17,未知,4,壬辰饭店吃饭了吗老婆大人晚安吗你？谁知道他说的谎话连篇餐厅服务员吗呢吗隔壁房间号码是多少啊
2017-10-26,未知,4,因为去的时候刚好国庆大假结束，我和爱人包了一个游览专场，2人慢慢游览，尽情选景拍照。
2018-05-02,未知,5,感受大自然的美，空气清新，大自然的美～
2018-01-06,未知,5,非常神奇的溶洞，惊叹大自然的鬼斧神工。
2018-01-12,未知,5,挺方便的，景点有点远，不过挺值得去的
2017-08-05,未知,3,感觉不是很大一下就逛完了，风景很美。
2018-05-02,未知,5,值得游玩的地点，感受大自然的美～
2020-09-03,未知,5,不错哦，很有特色的一个溶洞天坑
2018-01-01,未知,4,一家人一起去玩，很开心，在通往天坑的自然溶洞里有不少小景点，不错
2018-04-11,未知,4,去过几次了，每次都是带朋友去看，总体景观不错，里面还需要开发
2024-07-24,广西,5,还可以，比较凉快
2018-01-01,未知,4,一家人一起去玩，很开心，进入天坑之前的钟乳石长廊很是震撼
2017-07-26,未知,3,天坑，有点名不符实，但溶洞洞窟之大，还是很叹为观止，只闻暗河流水声，不见暗河水潺潺，多少是遗憾！
2024-08-11,广西,5,值回票价，不错
2024-05-18,广西,5,景区一般般。
2023-07-09,广西,5,环境不错呀
2018-03-15,未知,4,大自然鬼斧神工，还有待于开发！
2023-02-01,广西,4,就是最后那个天坑比较好，其他景色一般
2018-10-01,未知,3,还行吧，溶洞很大很漂亮，天坑只用一个。
