date,ip 属地,评分,comments
2017-09-08,未知,5,永福岩在金钟山里面，坐车到罗锦，然后从罗锦坐私人面包车进去，包一辆车要30块，最好留一下司机电话，让他回程时也载你出去，不然在那里是没有车出去的，金钟山景区风景优美，空气清新，四面都是山，比起桂林那些开发尽了的景区环境好太多了！永福岩挺大的，比起桂林那些岩洞永福岩更冷一点，我们去的时候是旅游淡季，导游就只带着我们三个人，让我们慢慢拍照慢慢走，服务超好的，如果喜欢大自然的朋友，真的建议去金钟山。
2024-02-09,广西,5,真的超绝，可能没宣传，宣传一定会是热门景点，真的很美啊～太正啦，超级推荐，疯狂打卡～
2016-02-02,未知,4,福寿之乡，人间胜景，你的不二只选！
2017-03-19,未知,4,原名金钟山龙宫。溶洞内石笋、石柱、石幔、石花形状各异，暗河涌流、水潭成群，赏心悦目，有着“钟乳大观园”之美誉。值得一游。
2018-03-20,未知,5,景点还是不错的，很壮观。不过服务人员精神面貌待改进。
2019-12-03,未知,5,超赞，世界第九大奇迹
2015-10-19,未知,4,据说它是桂林溶洞中钟乳石品种最齐全的岩洞，堪称世界钟乳石博览园。岩洞内步步皆景，很有魅力，小朋友参观会觉得特别神奇，很有意思。
2016-02-10,未知,5,很好，这里的景色风光，很漂亮，我很喜欢这里
2018-02-18,未知,5,服务态度特别好，热情款待！下次有机会再去
2015-11-03,未知,5,非常不错的自然景观！特别推荐值得去旅游！
2016-03-14,未知,5,农家乐不错哦。还可以钓鱼啦，不错不错
2016-07-24,未知,5,值得去玩，非常赞，风景还是可以的
2016-02-10,未知,5,好地方，值得一去，有空就去玩玩吧
2016-02-10,未知,5,好地方，值得一去，有空就去玩玩吧
2018-03-30,未知,5,永福岩，空气是真得好，清新香甜
2018-06-05,未知,4,永福岩，空气是真得好，清新香甜，溶洞内石笋、石柱、石幔、石花形状各异，暗河涌流、水潭成群，赏心悦目，有着“钟乳大观园”之美誉。拍了好多相片，值得去！
2018-04-13,未知,4,很好玩，景色也好美，拍了好多相片，值得去！
2016-02-24,未知,4,可以看下，但不要期望太大，可参观的景点太少
2019-02-01,未知,4,景色优美，山青水秀，空气清新，值得一游。
2017-05-30,未知,4,景色优美，山青水秀，空气清新，值得一游。
2019-01-31,未知,4,岩洞不错！！！比桂林其他岩洞好很多！！
2018-03-20,未知,4,景点还可以，就是溶洞，不过参观的人比较少，也不太专业，非常偏僻，有车才能去。买的票取票遇到了一些麻烦，不太满意。
2019-05-12,未知,3,该景点与永福温泉连为一体，可作一体之游。溶洞内为典型的喀斯特地貌，不算大，游览时间不足一小时，30分钟足矣。性价比不高，票价略高。
2018-03-20,未知,4,景色达到预期，乳石量大，形态丰富。但服务不给力，网络购票，折腾半个小时才认可票的有效性。
2017-10-06,未知,5,还不错，可以单程走出来。比天坑要大
2018-02-21,未知,4,溶洞规模不小，开发也不错，景致可观！
2018-03-20,未知,2,景色还行，就是中间出现了差头，到景区门口工作人员说没收到携程消息，导致行程延期了一个小时
