date,ip 属地,评分,comments
2016-09-25,未知,5,环境幽静，空气清新，酒店房间不错，遗憾的是温泉的儿童区没开。
2019-11-26,未知,5,永福温泉--舒缓身心 永福温泉座落于麒麟山半山森林处温度达56摄氏度左右，水量丰富，属高温温泉含大量人体所需的微量元素！森林环抱中，环境优雅、空气清新、气候宜人、一年四季皆可沐浴
2017-07-23,未知,5,温泉没有完全开放，加上之前下雨的关系，游泳池水有点混浊。鱼疗池还是不错的
2023-02-18,广西,5,体验感很棒！水温很高，池小，干净，泡得很舒服。外面的景色还不错，有吃有住。老温泉了…里面环境就不能跟现在新做的温泉比较…但是…水非常棒！纯天然！就是……你们能不能开业正常一点？？想去一次…老是要左等右等，等你们心情好才开门…
2017-05-30,未知,4,永福金钟山温泉值得一泡！环境很好，负氧离子高，山青水秀，树木茂盛葱郁，绿草茵茵，飞泉叠瀑，木屋返朴归真，如世外桃园，天坑鬼斧神工美美哒！
2018-01-30,未知,5,长寿之乡的温泉泡起来，小鱼池不用另加钱，还有自助水果和点心，很不错，不过有好多池子都没了
2015-10-19,未知,4,它位于金钟山旅游度假区，如果不是自驾，可能会有点不方便。这里的泡池种类不是很多，但水质还算不错，据说是天然的，但这个我们也看不出来，总体而言性价比还可以。
2020-02-24,未知,3,这是第二次去的，一样的项目，感觉有些温泉池永远不会开放一样，没有图片上写的那么好，不够用心，该有的东西都没有，特别提醒，快进到山里面的时候有个路障，千万不要给停车费，切记切记切记！
2018-03-05,未知,5,中午才决定去的，就只买了温泉和永福岩的票，去到四点，岩洞的关闭时间是五点还是五点半忘记了，导游人很漂亮，景色也不错，岩洞里面的景色蛮不错的，钟乳石很漂亮，洞口有点凉，进去以后就不凉了，整个洞挺宽的，走了大概一小时吧，十几个人一起进去的，农家菜也蛮不错。温泉更衣室和温泉隔着有点点距离，温泉点也有泳衣卖，永福岩和温泉是排着的，如果时间赶不及，推荐去这两个点，比较方便，时间赶的及还可以去天坑，天坑在温泉的前面，隔着不是很远，如果带着两三岁的小朋友，最好是带个腰凳比较省力
2018-03-17,未知,5,温泉比较偏远，要开比较长时间的车，还好路上人不多，温泉水在半山腰树林中～环境非常舒服～在丛林中泡温泉还是第一次～景点有大型免费停车场～
2017-04-16,未知,4,温泉虽然赶不上龙胜，但是比炎井又好很多，是一个个的小池子，适合三五好友一起泡汤聊天。
2017-12-06,未知,5,去时不冷不热，泡得很过瘾！温泉池干净，商家很细心，休息区还为客人备有热罗汉果姜茶及点心，
2017-12-05,未知,5,很值得去的一个地方，在山腰上泡温泉，风景超级无敌好，山间空气超级清新～一个养生的好地方～唯一缺点就是周边生活配套有一点点少～
2018-03-04,未知,5,天坑的景观很震撼，特别钟宇石在灯光下很美丽，至于温泉相对广东来说细了一点
2017-05-31,未知,4,"感觉不到是自然温泉水,不过有一点很好,就是在石板上休息蛮暧的"
2020-02-24,未知,4,第一次去还是不错的，人不是特别多，但是期待的项目不是特别多，有点泡热水澡的感觉，周围的环境很好，但是山路不是特别好走，有免费停车场！
2016-06-25,未知,5,真的不好意思，评价晚了，真心觉得很好！在山里的温泉，而且是天然水！就是坐车肯定不方便了，强烈建议自驾到朋友去！设施陈旧了一点，但阻挡不了桂林山水甲天下啊
2019-08-08,未知,5,***
2015-11-17,未知,5,周围的环境也还不错，温泉设施较好，人性化的好服务，很满意！
2017-11-10,未知,5,很好，平均每月一次，人少水有好，非常值得推荐，离桂林市区也近，很喜欢。
2018-03-30,未知,5,值得一去，温泉和酒店是分开的，大外相距150米。
2021-05-06,未知,4,距离桂林市近，开车一个小时左右，门票不贵景色不错，；温泉在树林里，不晒，水温合适，池子比较小，开的不多，淋浴间热水出得较慢
2016-11-26,未知,5,很棒的一个温泉哟，水质很好，泡得很舒服呀！
2019-08-08,未知,5,***
2018-04-11,未知,4,温泉的池太少了，感觉设备还没完善，不过空气蛮好的，服务态度还是不错的
2018-02-18,未知,4,永福温泉设施有点陈旧，但环境还行挺好的。提供有免费的茶水、水果和糕点，虽然品种不多，但服务挺好。
2019-03-31,未知,4,一次不错的经历，下雨天去泡一下还是不错的。缺点洗澡的地方不是很好，一般。桑拿总有人出去进来温度上不来，总体来说不错，可以接受。
2019-05-12,未知,4,虽然该温泉地处偏僻，交通不是很便利。但还是适宜自驾出游。个人觉得水质不错，但设备略显简陋，配套设施不齐全。
2018-02-18,未知,5,很人性化，泡温泉后会感觉肚子饿，工作人员备有水果点心，非常感谢！
2017-12-07,未知,5,周边环境很好，很舒服～空气不是一般的好，是超级的好～非常喜欢～
2017-12-07,未知,5,哈哈～泡温泉～我的最爱～那里很舒服～很好玩，值得去的好地方～
2017-10-10,未知,3,没去过的可以去体验，但景色一般，宾馆很差
2018-12-17,未知,5,不错给人装修公司吗还没有可以哦来吊
2018-02-17,未知,4,小吃不错。毛巾不够。池不够多。
2016-01-10,未知,4,水温不够高，服务员热情度也不够高，服务态度和温泉水温度有待提高，温泉度假村收费又太高。
2018-01-20,未知,5,一如既往地好。以后经常去。泡回来睡觉好舒服。
2017-10-23,未知,5,非常舒服，泉水清澈，环境很好，三，五个人正好
2017-12-07,未知,5,好好玩的地方～环境好，空气清新～好喜欢～
2018-02-18,未知,5,水温还合适，非常舒服，工作人员态度很好
2018-01-05,未知,5,很好，服务又好，设施先进，值得过来游玩
2017-10-23,未知,5,设施有些旧了，但人少，风景很好！不错！
2018-02-26,未知,5,自驾游，还能泡温泉很开心，水温很好。
2018-02-26,未知,5,景点很干净，票价很合适。每个都很好玩
2023-03-04,浙江,3,温泉还可以，挺舒服，水看起来干净。
2019-04-15,未知,5,不错，树林中空气好！可以再来一次！
2018-02-26,未知,5,家人玩得很开心，还会再去，水温很好
2017-10-30,未知,5,原生态的温泉，很幽静！下次还会去的
2018-03-07,未知,5,***
2018-02-26,未知,5,去很多次了，很好，价钱很合适。
2018-02-18,未知,4,还是龙胜的温泉比较好，但永福温泉有免费的茶水糕点提供，这点比较好。
2019-11-09,未知,5,不错，很不错，经济实惠。
