date,ip 属地,评分,comments
2024-11-03,北京,5,虽然无论从永州还是贺州过来都要一百多公里，但是值得前来一探究竟。近千年的古村静卧在谢沐河畔，村南村北分别矗立着两座宋代修建的古桥。村中的房子高大却有着破旧，窄窄的巷子通风差，墙壁因为潮湿而多青苔，更显得沧桑久远！
2020-09-26,未知,5,上甘棠村从汉起在此建谢沐县治，长达700年。历代出过七品以上官员101人。上甘棠村依山傍水，风光秀丽，名胜古迹甚多。步瀛桥始建于宋靖康元年。桥头有建于明代的文昌阁。村西南有一天然石亭，名为月陂亭，古驿道穿亭而过。村内保存着200多幢明清时代的古民居，极富特色。不收门票，游玩时间4小时。
2017-08-25,未知,5,甘棠村民居基本上保存着较完整的徽派建筑风格，眼前就出现了一栋具有典型徽派建筑特色的民居，有着高大的风火墙面，严整的纵深布局、高耸的马头墙和精美的门庐装饰。 每每古镇的居民从桥上走过，都让人觉得这画面甚是奇妙，其实不管现代文明的脚步多么的发展，钢筋水泥甚至是碳纤维的建筑，怎能和这随岁月自然生长、结合成的相提并论？我们脚踩的是回忆，是自然与人居的和谐美好 村舍沿谢沐河左岸呈一字排开。河边洗衣裳的妇女，任凭游客怎么拍照、吆喝，眼睛始终不抬一下，只顾一槌一槌地槌打着衣服，画面中除了人们的衣着是现代的，除此之外，一切都和几百年前一样，男耕女织，与世隔绝！
2017-07-12,未知,5,放暑假一个人背着行李就去来旅游了，在网上看到的这个古村，来到这个地方已经是中午了，找了家名叫（古香居）的农家院准备住一宿，明天在到其他地方旅游，现在上甘棠在重新规划，到处在种树，修路。但是依然不影响这个宁静而古老的古村，古建筑都保留的很完整，在这个小桥流水的地方，让生活在喧哗的城市的人，置身在大自然中的那种宁静。让人很放松很舒心。
2016-11-21,未知,5,年初去的，游客不是很多，难得清净。交通很方便，江永县城很多车次都会路过，车费不多，不过去之前要问清楚在哪个车站，那边有好几个小车站。到上甘棠路口进去村里还有一小段路程，旁边地里都有种作物，不同季节去都能看到美美的景色。一条小河将新村和旧村分隔开来，进到村口就能够感受到当年的繁华，很值得去的一处古村落景点。
2024-11-21,广西,5,千年古村上甘棠，有着鲜明的古村特色，不仅古建筑精美绝伦，能让领略宋元明清四个朝代的建筑之美，还能欣赏谢沐河的落日余晖，让人心旷神怡。
2016-08-21,未知,4,昨天和老公跟着导航去的，道路通畅，路程不复杂。古建筑历史悠久，村落规模大且保存完好，民风淳朴，周围环境优美，免费游览，很不错！ 游玩中最难忘的是当地年仅12岁的小姑娘导游，虽不专业但尽自己所能讲解着，我们虽听不大清但被她纯真、敬业的样子所感染而认真听着。
2017-02-23,未知,5,上甘棠村是个千年古村落，村里有个规模不大的村史博物馆。村子依山面水，群山环绕，古色古香，如藏于深闺的美女的般，不识人间烟火。文昌楼与步瀛桥的风景超美，尤其夕阳西下，分分钟一幅美图。上甘棠村不大，游览时间最多2小时，建议游完女书园，再过来拍夕阳下的古村落。
2018-02-17,未知,5,从诗经中取的名字都很美好，上甘棠村也不例外。“蔽芾甘棠，勿剪勿伐，召伯所茇。蔽芾甘棠，勿剪勿败，召伯所憩。蔽芾甘棠；勿剪勿拜，召伯所说。”—《诗经·召南·甘棠》，就像是古时人们因召伯而不忍伐其甘棠，如今的上甘棠也让时光不忍摧残。 不大的古村，却是湖南发现的年代最为久远的千年古村落之一，人生不过百年的人类，面对这样已经享有千年生机的庞然大物，总是格外的喜欢和憧憬，不知是羡慕悠长的生命，还是喜欢经历的故事。
2017-07-20,未知,5,"《千年文化古村上甘棠风景区》 集旅游，休闲，食宿于一身的农家旅游胜地。朴实的民风，如诗如画的山水，古色古香的亭台楼阁，还有那具有当地特色的原汁原味农家菜肴，令您回味无穷！走进上甘棠古村宛如步入了世外桃源，那充满千年原始的气息让你留连忘返！~~~~~ 《甘棠水乡园》农家乐 盛情邀请您的到来!!!旅游,休闲, 食宿预约: 18975783960 地址：湖南省江永县夏层铺镇千年古村上甘棠风景区 （跨越千年古桥步瀛桥左转弯到西南村口进入青石街约100米）"
