date,ip 属地,评分,comments
2016-11-18,未知,5,十元一个人象征性收费，没见过银杏树的人们赶紧过来了，道路比较狭窄，可以直接开到银杏树那边，最迟11月底，12月初就差不多落光了
2020-06-13,未知,4,进村需买票。名气一响，黄金万两。村内指路牌清楚明了，一派景区风貌。一边走一边找，寻遍每个角落，可那片耀眼的金黄色，还是没有出现。银杏黄叶年年有，赏景好运不常有。 千年古银杏树前，游人争相拍照留念，千年之寿，人类何时能及？ 村里的石板小道，城里人最爱溜达。斑驳的古屋里，曾出过举人秀才；如今挂满红灯笼，欢迎游人到来。古屋旁边，新楼涌现，现代的外墙贴面，与黑瓦黄墙同在。论画面美感，古屋黄叶是最佳配搭，可村民们对新房子的追求，又怎能阻挡。世界总是充满了矛盾。
2016-12-03,未知,4,村中古民居四周至周围山脚下是密布的银杏林，其中百年以上的参天耸立的银杏老树超过150株，就在靠近古民居后有一株古银杏公树，树高约50米，树干围径4.8米，直径1.5米，据传有1000多年树龄，是海洋乡最大的一株银杏公树，被称为“白果王”。
2020-11-29,未知,5,大桐木湾村今年的银杏叶不够理想，有点小失望，黄叶不黄，拍照还是不太满意，不过停车还是很方便，建议停在景区内，免费，并且方便。
2020-04-19,未知,5,这里的银杏树是村民们自家栽种，房前屋后，有的历史久远，多人联手才抱得住。配上原汁原味的村子，十分符合网红打卡点。交通也很方便。
2016-11-25,未知,5,大桐木湾村，银杏相对集中的一个点，没有摄影家协会的大桐木摄影区，最出名的“白果王”也在这里。据说以前这里是不收门票的，但游客的增多，所以也收门票了。
2016-12-12,未知,4,十一月份的大桐木湾村很热闹，那时正是银杏落叶的时候，很美。南国暖洋洋的秋天，很多拿着长枪短炮的摄影爱好都赶过来了，拍拍。
2019-12-08,未知,4,大桐木湾村是桂林海洋银杏摄影基地的精华地带，这里的银杏树集中，古老的大树非常茂密，叶子金黄。
2020-11-14,未知,2,今天下午刚去完，门票每人20元。是一个小小村子，人满为患，堵车堵了半个小时才进村，出来时堵车一小时。树上的叶子多是绿色，或者秃头，没有照片上的金黄色。甚是失望，照片都懒照太多。在村子里吃一顿饭，一只鸡150元，打火锅。其他菜都差不多48元一份，煎个鸡蛋就二十五元。饭都没熟透，米没开，这也是我出生以来遇到为数不多如此嚣张开店的。服务态度这么差，估计火不过第明年了。
2016-11-13,未知,4,大桐木湾村是近年来发展的银杏景区
