date,ip 属地,评分,comments
2018-09-03,未知,5,严格来说不是个景点，但是每年11月都会成为爆红的摄影师聚集地，就是因为这里成片的银杏数。古村庄，银杏叶，蓝天，配合在一起绝对秒杀你的相机。最关键是这里不算大众景点，来的也多是桂林本地人，趁没收门票前赶紧打卡吧
2016-12-19,未知,4,海洋乡银杏树景色优美，黄色的银杏令人陶醉，满地尽是黄金叶。附近民风纯朴，适合在11月底12月初去到拍银杏树。迟去了黄叶已落，看不到海洋乡的银杏树。
2020-12-03,未知,5,昨天去小平乐的是思安村、化眉弄、北岱底三个地方，思安村的老树已经落叶🍂 ，化眉弄还没黄透，北岱底的正当时；思安江库区的山路都已铺装了水泥路面，弯多路窄，不占道常打喇叭以确保安全！小平乐到海洋乡的大路帽子岭修路封路，建议走库区路原路返回；另有一条小路是走滨洞村的，可高德导航+多问当地村民。。。汇报完毕！分享完毕！哪位朋友若还想了解更多情况的话，就请爬楼翻看我的朋友圈，或者直接私信留言把要问的问题一次性都留言给我，我会一次回复的🉐 干净彻底的！[憨笑]
2020-10-25,未知,5,海洋银杏，银杏之乡，美，每年11月初，到12月初，都有银杏看哦。我去年看银杏拍的银杏照片，可以看看。我住宿在小平乐，包车小秦师傅带我们游玩，海洋乡跟小平乐村。
2015-11-26,未知,5,海洋乡是个很漂亮的乡村，风景迷人！十一月十五日左右就更美！
2016-12-02,未知,4,不错的一个村，桂林海洋银杏位于广西壮族自治区桂林市灵川县，境内有银杏树100万株。可惜来晚了，银杏叶调得差不多了，并且叶子也不黄了，有点小小的遗憾。
2018-01-04,未知,4,海洋村位于桂林灵川县，每逢每年11月中至12月初是这里的旅游旺季，银杏树业已经片片金黄，秋风吹起，满地尽是散金片黄，景色独美。
2017-12-02,未知,5,桂林灵川海洋乡大桐木湾的银杏叶遍是金黄，在这里感受南方的秋天实在适合不过了，吃白果炖鸡，竹筒饭，农家菜，感受金色的秋天！
2018-12-07,未知,5,2018-11-23日的大桐木湾村。树叶黄得正好。
2019-11-07,未知,5,11月底去的，稍微晚了一点，已经有不少落叶。这里的银杏树是各家各户栽种的，房前屋后，古树参天。村里有一颗极其古老的银杏树王，在后山上。
2019-11-04,未知,4,本想去看黄灿烂的，谁知道去的不是时候，还是一片绿油油！但人少，好恬静的一个小村，可以慢慢走走，还是挺舒服的！有机会再来欣赏一片金黄！
2021-01-06,未知,3,旅游来到了广西，住在了桂林市灵川县的大圩古镇，由于古镇不大，一会儿就游玩完了，没有地方去，就想起了离这里不算太远的银杏村——海洋村。从大圩去海洋村大概还有几十公里，由于都是乡道、县道的路，车子也开不快，加上我们去的时候夜色已经开始黑下来了。我们没有想到需要大概一个小时才来到村子，所以到达的时候，天已经全黑了，什么都看不到。本来也想既然来到了，就在村子里面的农庄随便吃一点在走吧，谁知道农庄也没有准备什么，说我们要的话，再马上去准备，需要的时间也会长一些，太晚了，我们饿了也不想等，也许是因为现在还不是村子里的旅游高峰期，游客不多吧，当时在村子的大停车场上，连上我们的车子，也就只有两三部车子而已。 问了一下农庄里面的村民，银杏树现在就只有几棵黄了一些，比起说的一大片金黄色的树海，时间还没有成熟，应该到11月份左右吧，村子里面的大片银杏树叶就会变黄，很漂亮。不过，有朋友来过，就知道，传说中这里有大片银杏树，但是其实就是一小片而已，大家就是围着那小片树来拍照，视觉的效果显得有很多树而已，这些我都是听去过的朋友说，自己没有见过。沿途往海洋村方向走，一路都可以见到有银杏树种在路边，道路两旁的树叶都已经变黄了，沿着路走，两旁的美景还是非常美丽的。
2016-11-25,未知,5,灵川县海洋村，虽与大海无关，但却是一片银杏的海洋。每到深秋时节，原本宁静朴素的小村庄却因为金黄的银杏开启了不一样的篇章。田间地头、乡间院落还有溪头水边，秋风吹过，银杏叶飘落形成雨帘。保证你绝对不会看腻。
2016-02-11,未知,4,海洋银杏秋色如今已开始名气大增了，也令这座小山村每年秋天都热闹起来了，秋色也真的很美。
2016-11-29,未知,5,海洋乡的银杏吸引了我，确实不错
2017-07-06,未知,5,桂林海洋村有着“中国银杏第一乡”的美称，在北岱底风景更甚，山高势险，草茂林蜜，独特地理环境和气候，造就了以“春花夏瀑秋叶冬雪”四季景光。
2016-11-20,未知,4,叶子还有点绿(ー`´ー)(ー`´ー)
2017-07-05,未知,4,时间合适去的话还是很美的，拍照很惊艳，村民自己在门口收十块钱的门票。
2016-12-12,未知,4,路途中零零散散的看到了银杏，黄的绿的只因今年的气候变化无常。一路往里走着，说实话让人有点失望，只有大桐木的那片黄的比较集中，可到处是人拍出来的效果不敢想象。
2022-02-07,未知,4,来到海洋村，你会发现银杏树遍布田间地头。乡村院落，溪头水边，有人必有银杏林。银杏树叶片金黄，秋风袭来，金叶飘然满地，都是散金碎银，甚是好看。
2018-01-31,未知,4,海洋村并不特别，主要是来看杏叶。
2019-07-08,未知,5,农村风光，很好玩，放松！建议大家都去看看。
2019-12-08,未知,4,桂林灵川海洋村自古就有种银杏的传统，每到秋天，银杏叶变成了金黄，这里就成为摄影人的最爱，白果桃胶糖水也是游客的至爱。
2016-11-13,未知,4,很多人慕名来这里看银杏，可惜一般般
2017-04-21,未知,5,海洋并不是真的海洋，而是海洋山，是“活化石”银杏的故乡
2021-03-05,未知,5,海洋不愧为天下银杏第一乡，桂林不止有山水，还有银杏！
