date,ip 属地,评分,comments
2018-11-07,未知,5,"大家留意去海洋乡的交通改变,以前在桂林市区中山路都可以坐中巴到海洋乡的,在2018年8月份起中巴不能进入市区,要坐306路公交到大圩再转去海洋乡的中巴。回程时顺便游玩大圩古鎮。在海洋乡白果王客棧山泉水鸡煲，很好吃！"
2016-01-26,未知,5,看图片就知道值不值德去了。美吧！美爆了有没有！您不去对不起你热爱自然热爱摄影的那颗蠢蠢欲动的心吧！深秋。树上的树下的，一片片落叶如同一片金皇。感觉走进了童话世界！疯狂呀！。游人如织。很多农家的小吃！便宜又绿色！自驾车去更自在哦
2017-12-10,未知,5,海洋乡本来说是很美的，可能我去的晚的原因吧，大桐木村的黄叶已经落了，小桐木村的还是很漂亮，海洋乡没有像云南腾冲银杏村有一个微信报道，对外大家都不知道是什么时候咯落什么时候开，信息公开不透明，虽然是不收钱，但是维护的比较少，都是村落的，设施还是有待改善，我希望政府加强正面引导，正面开发。我们从桂林包车去，在去机场的是360元，顺便也去了一个大圩古镇，总的来说感觉小桐木村维护比大桐木村较好点，就不多说了，晒一晒几张图，让大家去欣赏一下。
2015-12-05,未知,5,11月30号去了海洋银杏。树叶黄得正好，叶子有些掉落，但不影响观赏以及美美哒心情。刚刚过了周末，树底的落叶已被踏平。加上阴天，还有北风，拍照并不好看。大家凑合看一下哈！
2015-11-25,未知,5,秋季观景胜地，很美，面积大，不仅是几棵十几棵，上万棵树都是银杏。适合周末出游。散散心。拍术照，婚纱等。也是摄影爱好者的天堂。
2016-11-20,未知,3,感觉这个村小的不能再小！树其实也不多！虽然叶子没怎么黄但是我并没有传说中那么美！没来过的来转转吧，十块钱的门票！还有人在拍婚纱照！破旧的房子显得很纯朴自然！感觉里面的农家菜很不错
2019-12-23,未知,5,秋天，满目暖黄的时节，凉爽的秋风带落漫天翩舞的银杏叶，和煦的秋阳下，细碎的金黄，铺天盖地，想要的秋天，大抵如此吧。 这个地方的秋意还真的是比较明显了，也是挺值得过来的一个地方，遍地黄金就是指这里。
2017-12-04,未知,5,非常漂亮的地方，虽然去得稍早了一点，银杏还没有全部黄完。但整个村庄的感觉十分惊艳，一派田园风光，景色自不必说，再吃上一顿农家白果炖鸡，保证不虚此行。
2020-12-07,未知,4,2020年12月6日周日和朋友自行坐车到桂林灵川县海洋乡大桐木湾村银杏景区，从桂林市区坐城乡公交306至大圩镇，转乡村小巴士至海洋乡墟市，之后步行一公里左右到大桐木湾村银杏景区，进村门票20元，之后随便在村里溜达观赏银杏。
2017-11-14,未知,5,海洋乡是秋日赏银杏的好去处。最佳观赏时间是11月中下旬，周末游客多，容易塞车，建议大家要一早出发。推荐自驾游，觉得哪里漂亮想停就停。
