date,ip 属地,评分,comments
2023-09-13,四川,5,桂林山水看漓江。漓江竹筏，享誉中外。步不仅吸引了不少的外国人，国内游客更是上至六十老母，下至三岁孩童。真的是很有意思。值得回味。
2023-08-27,北京,5,游船很豪华，有大巴接到码头，一路大概4个小时，可以看到九马画山等景观，还能吃鱼在船上
2023-04-18,广东,5,漓江五星游船是乘坐船只沿漓江游览的一种体验，该游船的服务非常出色，船上提供优质的早餐和午餐，还提供一定数量的饮料和水果。此外，游船内的舱位和座位均非常舒适宽敞，能够让游客更好地享受美景和休息身心。 船上的游览景点也非常值得一游，从阳朔到桂林，沿途有很多自然风光和名胜古迹，如伏波山、毛岸英雕像、十里画廊、黄布倒影等等，这些都是漓江的特殊景观，让人流连忘返。 而且，游船的导游级别也很高，他们的讲解非常专业、生动有趣，不仅能够带领游客深入了解所经过的景点历史、文化、情况，还有许多奇闻异事和小故事。 总体而言，漓江五星游船是一次非常难忘的旅行体验，无论是情侣、家庭还是朋友都能够玩得非常开心，这是一次必不可少的南方旅游之旅。
2024-10-18,上海,5,体验感觉很好：有专车到宾馆接、游船环境高雅、船员服务好、自助餐不错（用餐期间为不影响观景而停船）、船游期间有唱山歌表演、船员对沿途景观解释清楚、因江水位浅船只到兴坪但有大巴接游客到阳朔。
2023-09-26,广西,4,船上环境是很好的，服务态度也挺周到，就是一直推荐自费菜单，一条鱼680，一份炸虾368，就认为坐这船的都不差钱。最主要的是上船时仪式感满满，又迎宾又给撑伞拿行李啥的，然后到了龙头山码头就没人管了，下船时得自己拿行李爬老高的台阶，跟上船时极大的反差。冲着环境清静整洁打个四星吧，这个价格服务应该做满全套，好歹帮客人把行李送上码头平台。
2023-04-25,广西,5,游船环境很好，分子料理也很美味，躺在船上，简直是一种享受
2023-07-03,山东,5,漓江是中国最美的地方。风景如画，人在画中游。雨桂林是最美的意境。漓江五星游船，乘坐舒适，餐食比较可口，是畅游漓江的首选。
2023-07-22,广西,5,相当不错，特别是服务员都很专业和热情，看得出来应该受过专业培训。非常好。午餐吃的也不错。 就是阳朔码头出来太坑爹，只能拖着行李走几百米几百米石板路。
2023-09-05,山西,5,坐上游船，近距离真真切切感受漓江山水，真是一件很惬意的时情哦
2023-08-01,四川,4,桂林山水甲天下，漓江风景更精彩，上游船，观两江四湖，灯火辉煌，倒映水中，美不胜收。
2023-06-27,四川,5,置身仙境，浓墨重彩的山水画中慢节奏体验人生百味，实在是太美了
2023-08-03,北京,5,来桂林一定要做一下游船，游一下漓江～
2023-07-18,辽宁,5,【景色】美 【趣味】强 【性价比】高
2024-11-09,四川,5,桂林之美必游漓江，下次一定再乘船游览，太美！
2024-10-12,河南,5,服务人员都蛮好的，唱的歌很好听，声音真棒
2024-10-13,广东,5,很不錯 自助餐一級棒👍
