date,ip 属地,评分,comments
2024-11-16,上海,5,古东瀑布位于桂林市灵川县，以其独特的瀑布群而闻名。景区内有多个瀑布，其中最高的瀑布落差达百米，非常壮观。 夏季时，古东瀑布的水量特别充沛，水流如银河般垂落，极为迷人。 古东瀑布景区内森林覆盖率高达96%，拥有3000余亩的红枫林，秋季时，红枫叶色彩艳丽，景色非常壮观 。 游玩古东瀑布的最佳体验是攀爬瀑布，这是中国唯一可以攀爬的瀑布之一。攀爬时，游客穿上雨衣，沿着瀑布边的石阶向上攀登，感受瀑布的飞流直下，是一种非常特别的体验 。 古东瀑布景区交通便利，非常适合喜爱自然和探险的游客。
2021-02-15,未知,5,漓江古东景区在桂林东部郊区，距离市区约25公里。这里山清水秀，森林覆盖率达到95%，空气十分清新。山上有丰富的泉水，层层叠叠沿着山坡拾级而下，形成了漂亮的瀑布群。游客可以逆瀑布而上，与瀑布有亲密的接触，增添许多乐趣。山脚下，积水成湖，还建造了富有民族特色的廊桥，景观十分优美。
2020-07-04,未知,5,古东景区西傍漓江，北靠桂林，南望阳朔，东接海洋山脉，距离桂林城26公里，地利极佳，气候宜人。作为漓江的绿肺，古东春鲜，夏翠，秋染，冬素，如诗如画。 特别是走瀑戏浪！CCTV新闻报道“这是可触摸的瀑布”，古东森林瀑布，在这里你只要穿上阿婆编织的草鞋，带上安全帽，就可以出发了。攀爬瀑布时你也许会湿身，但肯定会心跳，身心的悸动和快乐是无法言述的，溪水在脚面流淌，双手触摸岩石，听着欢快的流水声，正所谓仁者乐山，智者乐水，成为智者，享受“湿身”的快意。
2016-10-28,未知,5,先游船到邻近瀑布的地方，然后开始上山，可以爬瀑布上去，不过会湿身，需要购买草鞋和帽子作为安全措施，瀑布沿路有石梯路可以走上去，不会湿身，走大概1小时即可到达最高处，穿过铁锁桥就是下山的地方，可以坐过山车下山，挺刺激的。
2016-07-18,未知,5,十分好玩的地方，值得一去，而且暑假1米4以下小孩免费。交通也算方便，在汽车客运总站，坐去冠岩的车可到景区路口，再坐私家车可以去到景区停车场了(五元一个人)。车程就几分钟，如果步行，可能要二十分钟左右，问题是一路没树，会很晒的。景区除了爬瀑布外，在山顶还可以坐滑道和飞索下山，还是比较好玩的。
2016-06-23,未知,5,桂林玩的最好的地我觉得就是这了，这里有山有水有瀑布，共分九级的瀑布气势不小，水量非常大，沿途绿树成荫，清凉的山风，好象进了仙境一样，游玩中可以穿草鞋，手牵铁链在瀑布中穿过，既凉爽又过瘾，非常值得去游玩。
2015-12-21,未知,5,古东瀑布本身虽然不是很高大，但却很好玩。 景区在瀑布上设置了六段徒步爬坡段，其中较陡的区段装有铁索，人们可以手拉铁索脚蹬岩石淌着瀑布的激流向上攀爬，惊险刺激，考量你的勇气。在攀爬的人群中，不乏两鬓花白的老人家，敬佩。
2016-08-01,未知,5,为了可以自由的游玩，所以从桂林宾馆包车220来回古东景区，门票是携程上购买的133元双人票。从来没有爬过瀑布，在古东实现了人生第一次的爬瀑布，人虽然有点多，但是并不妨碍我的兴致。五星推荐
2016-10-09,未知,5,天公不作美，下雨☔～貌似听说不下雨有的瀑布那是可以爬的，有点小遗憾～但是景色还是很美很美的，上山下山都是徒步！给自己鼓励！不漏过一丝丝美景，哈哈哈哈哈，对了，好喜欢那个吊桥哦～
2017-08-15,未知,5,非常好的景点，性价比很高。在携程定的才68一张门票。而且一米四以下的孩子免费。攀登瀑布和坐缆车以及最后下山的小火车都让孩子们非常开心！特别是攀登瀑布，很刺激也很好玩。我家四岁的小妞妞都逆流而上，玩得不亦乐乎！去桂林一定要去古东瀑布，特别好玩！
2017-02-21,未知,4,去年的五月上旬游览古东景区纯属偶然，由于突降暴雨，原来的旅游计划都取消了，只好参加了桂林市区一日游，旅游公司推荐的这个线路，抱着试一试的态度来到这里，游览完了感觉还不错，这个景区树木很多，空气也好，可参与的项目有坐竹筏、过荡桥，攀爬瀑布亲水等，遗憾的是进山的时候还没有下雨，结果到了半路又是电闪雷鸣，突降暴雨，所以攀爬瀑布亲水项目不能参与。。
2016-09-15,未知,4,古东瀑布是一个森林公园，以瀑布为主。说实话真的很一般，不及德天瀑布。风景没有什么特色，环境也不好，空气质量指数也不高，唯有穿草鞋爬瀑布有点意思。都说秋天很美，满山的枫叶红了，层林尽染，感受“停车坐爱枫林晚，霜叶红于二月花”的意境了。
2015-11-16,未知,4,好的方面： 1、坐竹筏喂鱼挺有趣，坐竹筏也不用另掏钱，湖中有个小岛，和岛上的苗妹对山歌很有趣 2、爬瀑布玩水参与性很强，玩得很开心 不好的方面： 1、有些地方排队很长 2、景区里边没有什么吃的 3、换下来的鞋子随便用麻袋装，几十双鞋子装一起，弄得太脏了 建议： 记得一定要带换洗的衣服 鞋子穿一些普通的运动鞋就行了
