date,ip 属地,评分,comments
2024-11-22,上海,5,漓江游船的航线主要是从桂林磨盘山码头或竹江码头到阳朔段，这段航线被认为是漓江航区的精华部分。游客可以在这里欣赏到漓江的奇山秀水、飘渺的烟雾和清丽的倒影，仿佛置身于仙境。游览时长大约为4.5小时，沿途可以观赏到冠岩、童子拜观音、九马画山、黄布倒影等著名景点。 购买游船票需要提前预定，尤其是在旺季，票源非常紧张。 游船上的座位宽敞舒适，环境干净。座位是提前预定好的，也可以上到楼顶的甲板看风景。 碰到雨天，漓江的风景更加迷人，云雾缭绕的山峰呈现出别样的美感。 到达阳朔码头后，游客需要走较长的路程才能出码头，沿途有摊贩售卖商品。
2017-08-01,未知,5,盛景号还是物有所值，船豪华，卫生好，服务好，无推销。漓江风景优美。中午的自助餐也还不错，有饭、炒粉、烤鸭、凉拌茄子、七八个小炒。水果有西瓜、哈密瓜、小番茄。我自己掏钱买的凉粉五元一碗和薯条20元一份都是孩子的大爱。还买了150元的石岩鱼和160元的漓江椒盐虾，味道都很鲜美。带孩子和老人很合适。特别表扬李导李狗肉讲解到位，服务好。
2017-07-24,未知,5,一切都很好，服务，餐食……无可挑剔。提一点意见，这么大的桂林旅游股份有限公司，在全国那么多地方参股，为什么要在四星级游船上安排一个所谓的摄影师，来和所有的游客争抢拍照位置，搞得所有游客怨声载道，划得来吗？
2024-11-27,广西,5,一行四人从浙江过来桂林旅游。乘座万程号游船，船仓环境很好。看风景可去上面平台，一路景色很好。桂林山水甲天下。看了二十元人民币景色。九马画山。
2017-11-16,未知,5,第三次游漓江了，桂林的山，漓江的水，阳朔的刘三姐。都是今人难忘的好。今次陪行动不便的老妈来感受下人间天堂的风境时，游漓江选择了四星游。感到与三星游真是非一般的差别。另选择用携程订票还让我留下了几张我们全人类都深爱的毛爷爷!
2021-01-09,未知,5,选择四星船，还是不错的选择，适合老年人，楼下是下舱，二楼是一等座，二楼靠船头是VIP，位子更好一点。工作人员介绍就在眼前、更亲切一点，不然就是听声音。餐标无论哪里一个级别都是一样的。甲板也是都可以自由上去的，有二和三楼。很多带行李箱的，借水路从桂林到阳朔，挺好的。又有风景看。当中美女还会表演古筝，包含一顿自助餐。这个就普通。反正该有的都有了。人多，就基本取一轮就收摊了，反正也不是以吃为主。沿途风景反正就是你自己看看也可以，地标都会广播，然后人就比较多。整体还是挺专业的，服务。带老人小孩是个省心的选择。
2019-10-05,未知,4,找到旅行社订的漓江四星游船VIP舱的票，票价430，坐的银河189号游船。上船之后发现vip 舱和上舱没什么差别，某些方面还不如上舱，主要就是位置在二层船头且讲解员站在船头这里讲解，其他的座位和上舱一样，都是16个座位，并且最让我不爽的一点就是，自助餐的位置在上舱那边，游船工作人员一说开饭，等到我们去乘菜时，有几种都被抢空了，算了，简单地吃点吧。 说是自助餐，其实也就那样总共也就十来种菜，而且都是凉的，有米饭、红薯、河粉、鱼块、油炸翅根、饼干、薯条、汤等等。熱菜嘛，有是有的，上船之后，工作人员会强烈推荐套餐啦、特色菜啦、小吃啦。扫了眼价格最便宜的80，其他的100、300、500的都是，船上4小时有些无聊，点了一份小食，100块，有5样，小碟子装的，一份田螺，其他四样都油炸：小螃蟹、小鱼、小河虾，还有个像是芋头，没吃出来，并送份西瓜；西瓜的卖相明显比自助餐的西瓜的卖相好。小食味道还行，但有些戳嘴。 沿岸的风景优美壮观，漓江水清澈见底，两岸时不时能看到牛、鸭子，鸟等动物，发挥自己的想象，两岸的各种山头就是一幅幅美景。 在龙头山码头下的船，一路上看到各种举牌拉人的，都15元/人，感觉不是正规的，也比较乱，联系旅行社，说是沿着长廊走到出口处有正规的观光车售票，结果：呵呵，还是15元/人，而且就不是像车站一样排队上车，就一窝蜂的乱挤，没一点秩序，谁最能见缝插针，最能抢，上车最快。 本身游船还是挺满意的，座位舒适，风景好，但是就出码头的这一段路，好心情毁了大半。1、乘车乱，没人疏通；2、厕所脏乱差，没人打扫，每个坑里都堆满了屎；3、景区里没什么秩序，全是挤啊，抢啊，很闹心。
2018-02-18,未知,5,坐漓江游船，尽览漓江两岸秀美风光。从桂林上船，4小时后，到达阳朔。这一路可说集中了桂林山水的精华。山影映像在水中，美不胜收。水清澈见底。人在船上，如在画中，令人心旷神怡。
2023-01-19,广西,4,从携程订票之后立刻有人电话联系，并发短信通知取票方式。整体取票流程还是挺顺畅。邮轮9点开始登船，9:30开船，整个行程约4.5小时，途中经过景点如图3。 邮轮上有收费的摄影服务，130块钱10张照片，多一张加10元，性价比还可以。主要是为了拍照方便，不然一堆人挤来挤去怎么也照不好。 船上硬件条件不错，但是服务不太行。有人在船舱大声喧哗或者小朋友乱跑乱叫，服务员不会维持秩序，只热衷于推销午饭套餐。二楼洗手间没有水。午餐自助要排队取餐，菜品种类有限。可以多次取餐但是一个人只发一个盘子，盘子脏了没得换。 不要订VIP，途经经典的时候大家都会跑到vip舱拍照（因为vip舱在二层船头。一点也没有vip的感觉。 整体行程还是满意的，从桂林到阳朔的最佳路线就是坐游轮，舒适，且不会错过漓江各个景点。
2017-09-24,未知,5,漓江山水最美的是群山层叠，远近浓淡相间，仿佛走进我国传统水墨山水画的画廓，故有十里画廓立称。峰回路转，一步一景，简直美极了。
2024-10-18,陕西,5,绝对推荐，游玩桂林阳朔，必须乘坐游船才能真正体验到漓江甲天下的美丽风景。我们乘坐四星邮轮，从竹江码头上船到阳朔，全程共计60多公里，4.5小时，经过20多个主要景点。十一期间，天气非常好，随手一拍就是风景画。服务人员太度非常好，船上有导游一路讲解到位；船上提供免费自助餐。全部经过桂林阳朔的主要美景，可以说只要你乘坐游船基本把阳朔的美景游览完了。
2024-10-10,广西,5,选的四星船上仓，整体行驶的很平稳。本来选的盛景号临时没开船给换的万程号。硬件设施还凑活，但感觉有些偏旧了，沙发靠背角度有点直，不算很舒服。一路景色倒是很美，基本上都在舱外看风景。午餐一般，盒饭水平。没在船上点餐，船上的饮料卖的太贵了，一听可乐要20，最好上船前买好饮料。
2022-10-22,广西,3,四星级游船 硬件不错 软件太差强人意 上船开始推销午餐套餐 分260和400二种 紧接着摄影套餐推销 摄影师招揽生意可以理解 但 整个游船过程 甲板上 充斥摄影师的麦克风扰民声 严重影响整个旅游体验感 对桂林旅游局推出的桂林名片漓江游 失望至极 体验感大打折扣 行程最后 服务人员再次推销香水套餐 直观感受就是商务舱+春秋客舱营销商品的结合体
2021-07-05,未知,5,乘坐游船游漓江是个不错的选择。漓江比较长，路上游览各个景点不如水上走方便。夏天天热又晒，坐在船里有空调，比较舒服。遇到景点，船上会广播通知乘客，乘客可以登梯到顶上的平台拍照，视野很开阔，行程时间安排也紧凑。一个个江畔的景点，通过游船半天的时间就全看到了，很不错。游船一早从竹江码头出发，人不是很多，行程不紧不慢，中午午后到阳朔，很舒服。
2020-03-03,未知,5,乘坐漓江游船游览桂林秀美山水，是非常惬意的事情。游船从桂林出发，到达阳朔，全程约4个小时。游船供应午餐，以漓江水产特色为主，有虾蟹田螺等等，只要肯花钱，东西还是有的。至于味道，就不要有太高期望，价格也是美丽的。
2019-03-03,未知,5,开始还很担心4.5个小时游船时间太久，但我竟然没玩够！！！船上有午饭和拍照的，午饭推荐点一下，拍照的不推荐，拍的还没有自己好呢！全程风景如画，总觉得照片拍下的不及真实的美，这也是为什么一定要亲自去一去！ 船分为三部分一层，二层和VIP，跟团走的说是VIP结果其实就是在二层而已！有找到VIP建议做VIP有专门泡茶的而且在船头视野非常开阔！
2017-09-29,未知,5,桂林山水，名不虚传，来桂林就为了这一趟，其他可作为备选，这是必选！建议还是坐四星邮轮去，有吃有喝有空调。船上的专业摄影师价格也比较合理，100元8张照片，多选一张加10元，对于照相技术不佳的人来说，来这么美的地方因为拍照技术不佳或抢不到好位置拍照真是太可惜了。最好的景点集中在开船后的一个半小时以内，剩下的时间可以在船舱内休息赏玩，中午1点半左右就到阳朔了，出了码头就是西街，简直不要太方便，整个行程很轻松，而且每个景点船上都会以广播形式详细介绍，只是那时大家都忙着拍照可能没人认真听了，风景太美了，照片不足以完全记录，建议还是拍视频回去慢慢欣赏吧。还有就是如果当天要返回桂林，最好轻装上阵，不用带太多东西，船上吃的喝的一应俱全，做好防晒就行了，甲板上可没什么遮阳的设施。
2023-05-06,广西,5,一直以来对于旅游区的各种观光船游艇快艇摩托艇都是持排斥态度，但这一次直到上船才发现好悬哦，与一次几近完美的旅程差点就擦肩而过哈……由于带着七十多岁的老爸老妈出行，最初根本就没考虑坐船，而且已经在*州租了车子准备第二天自驾去阳朔，对于游船满大街都在招揽生意以为又是旅游区惯常的揽客骗钱的套路，后来发现了这个携程的这个四星游船预定的介绍才动了心，做了充分功课后付款预定，延期了当日的租车订单，不过下定后仍然心里惴惴不安，怕老人家受苦，浪费时间金钱不说，吃不好休息不好啥啥的……第二天等了船才发现船上设施完备，整洁干净，两层客舱都是只有十几个座位，绝对的高舒适度体验，服务人员彬彬有礼，中午的自助餐干净卫生吃的饱，沿途的风光就更是觉得值回票价了，那么美的漓江山水可以随意拍放心拍，和自驾、徒步、竹筏等等比起来简直就是完胜，老爸老妈感慨这次漓江游船是这次广西之行最美好的体验，三个半小时的路程一路开心拍照，欣赏风景，觉得过得很快！呵呵，差点错过的漓江游船之旅。
2020-10-10,未知,4,1、十一期间，为了怕现场买不到票，提前在携程上买了，花了接近五百一张。去到现场发现，人数没有想象中的多，完全没必要提前买，而且现场买有个“广西人游广西”的活动，广西人凭身份证可以打折，279一张票。我两张加起来相当于多花了400块，肉疼！以后不在携程买了。另外据说很多其他的坑，比如本来一二楼随机出票的，但被搞成了不加钱不能坐二楼，感觉景区相关方为了赚钱无所不用其极，很令人反感。 2、船上提供一份午餐。刚开始上船时服务人员会自我诋毁说午餐不咋的，怂恿大家另外点餐。其实我觉得午餐还不错，没必要另点。 3、船上有摄影师，100块7张照片的相册。对于大部分人来说没必要，摄影师拍你就知道这个是景点，跟着拍就是了。也没有之前网上说的摄影师赶人群腾位置给他们自己拍的情况，摄影师还是挺客气的，让大家拍完了给个位置他拍一下。20元背景图是两个地方拼接的，一般人找不到，跟着摄影师就知道是在哪里。另外，情侣、家庭自己不懂拍照的话，还是可以花点钱给摄影师拍的，确实比我们自拍水平好上不少。 4、四星轮船确实值得，特别是广西人有折扣的话绝对值回票价。坐得很舒服，漓江风光很美。路上碰到的三星游轮，相比来说确实寒酸。
2019-10-13,未知,5,船上自助不属于管饱，主食有限，馒头、玉米、地瓜，都是小块，只能自选1种，而且只给一个，等大家都领完了之后可以随便选，但已经剩不下几个了。主要还得因为大家在船上有点餐（可以单点鱼虾螺蟹，建议不要点，没有想象中的好吃，一条啤酒桂花鱼200，一小盘配着青椒洋葱炒的小河虾100）的，才能吃得饱吧，如果大家都不点餐，支持自助，应该很多吃不饱的。风景是不用说的，毕竟是人民币取景处，但一般拍不出效果。赶上了阴天，不多说，看图吧。
2017-07-27,未知,4,环境，船餐，服务，导游……都很好，不满意的有两条 1、是船上的“摄影师”，和游客争抢照相的地方，令人讨厌； 2、早上接游客的旅游大巴上的“导游”，给游客推荐其他景点，只收钱，其他不管，有欺骗消费之嫌。 以上两点，望桂林旅游管理部门予以重视。
2017-04-26,未知,5,这几天恰逢桂林大雨，幸亏订了四星级游船，订的VIP，环境很好，自助餐吃的也不错，随便拍拍都是美景。工作人员的服务也很好，尤其是导游小史，早上因为前方事故迟了十分钟一直道歉，最后游世外桃源的时候，因为宝宝睡觉了，又下雨，老公就没下车，后来还给退票了，全程中英文沟通流利，无任何隐形消费，我们全家都觉得这次旅程跟舒适，很开心!
2017-09-26,未知,5,桂林山水层层叠叠，虚实深浅，就象是一幅幅美丽的水墨山水画，充满无限的意境。徜徉在这样美妙的世界中，感觉到人生的升华和心灵游荡。
2017-08-24,未知,5,非常不错，船上人少，环境伙食都挺好，老人孩子都很满意。个人认为上下仓区别不大，看风景拍照都去甲板。自助餐还行，管饱没问题。
2023-07-29,上海,4,首先漓江风光如画，无论从甲班还是船舱欣赏都很美，这是唯一值得肯定的地方了。吐槽：船上推销餐食拍照购物啥的也就算了，哪个景点都是如此。两边的码头都有很长一段石台阶，不少旅客是带行李的，没有坡道只有台阶，非常不方便。尤其是下船的阳朔龙头山码头，好不容易把行李拎上台阶，还有一段1km左右的长廊，是商业街拉你买东西的，路不宽敞，游客又多，还有拉客的摩托车穿梭在里面，太不安全了，一路上的卖货阿姨们都喜欢直接把玩具往孩子手里一塞，然后让家长买单，拒绝过后还不依不饶的，你不如直接抢吧。下船时已经中午了，娃困了要睡午觉，我一手拖行李一手抱孩子，终于从这段长廊逃出来的时候已经累个半死了，还没喘口气，出口处的黑车司机就围上来了，漫天要价，8公里左右的距离开价100元，我想自己打滴滴，被告知：这个区域外车进不来打不到车，还得再往前走六七百米才行。又带行李又带需要抱的小娃娃的游客一定要做好心理准备，从下船开始简直就是磨难，这大夏天的我命差点交代在这里，非常不人性化，而且到处都是抢钱的态度。
2019-08-18,未知,4,桂林山水甲天下，最美却是在漓江.从桂林到漓江的这段路，如果坐巴士那真的是浪费了，因为看不到漓江两岸自然美景. 在携程预定的四星邮轮，不仅座位舒服，还有提供丰富的自助餐.从早上派车来专门地点接到码头，到阳朔下船，都提供了很不错的服务，是我这次桂林游很满意的一次行程.
2018-02-28,未知,5,这次出行圆了妈咪多年游漓江的梦想，一直为桂林旅游业做贡献，二十几年来都是在码头接送游客，从没亲自游过漓江，这次买的四星船VIP座，只为此行体验感最佳，当然老妈开心最重要啦，感谢春节期间虽在枯水期上游水库放了水，沿岸风光很美天气也特别配合，此行天时地利人和，物有所值。
2023-08-30,广东,4,去桂林出差，顺便坐个漓江游船走走，票价¥400 一个人包中午餐，这个船是四星游船，有三层，一层是普通票价的座位，二层是高级座位，二层的前端部位是VIP座位，三楼是露天的观光层，当天整个游船都坐满了，很多人都喜欢去三楼拍照。 因为之前曾经下过雨，所以那天的漓江水比较混浊，但是山还是那些山，也会经过20元人民币的位置，大家有需要的话可以提前准备一张¥20的钞票。船上的午餐是自助餐，品种很少，我基本上没有吃多少，味道一般般，船上还有餐牌，你也可以自费买别的东西吃。
2023-08-10,山东,5,早晨大巴接，导游很尽心，前一天晚上电话通知。坐船游览风景无敌好，船上自助一般，但是可以点特色套餐，桂花鱼不错，漓江虾也好吃。但是长寿鱼和漓江田螺很一般。船上🈶️随行摄影师，一个家庭100元，拍10张照片，选8张，会在主要景点组织大家拍照。一个景点一张，咔嚓一下，流水线作业，前面几个号的家庭正着拍景点，船过去了后面几个家庭还没拍，再拉到船尾拍。为了保证都拍到，通常还没到景点就提前拍了，而且一直在听摄影师安排，排队上去咔嚓一下。而且摄影师还会驱赶站在船头船尾的其他游客，引起大家不满，体验很差。没必要请摄影师了，完全可以自己拍。
2021-06-19,未知,5,带着老人出来旅游，就订了vip舱，还有专车来接我们去码头，整体在船上挺舒适的，喝着功夫茶，我们自己带了点小零食，因为vip舱，视野特别好，专门有人服务，还有人弹古筝，船上还有专业摄影师给你拍照卖相片的，拍的的确挺不错的，自助餐就普通的餐食，没有什么很特别的，但如果说要性价比我觉得一等舱就够了，因为很多时间你都会在甲板上拍照！
2019-02-08,未知,5,四星船确实很好，船仓像餐厅里一样干净卫生，船很稳坐得很舒服，全程有导游讲解，服务员的态度也好。还有自助餐吃。味道还可以。船上的自助足够吃了，根本不需要再叫套餐。那个套餐有点贵，份量也少。可以不点。
2024-10-10,广东,5,船很稳，里面很凉快，没有想象中的汽油或者柴油的味道。漓江的风景没的说，每一秒钟每个角度都是景。一家人第一次做游轮，非常美妙的旅行记忆。
2024-02-14,广西,5,春节桂林人真是挤到爆。幸亏提前预定了从桂林到阳朔的漓江船票。旅行套餐都是船票+车送站服务，导游一大早7点就接上车，车上要接送所有客人要因此很早就出发。 船上风光是真的很棒，二楼座位也很舒服，有泡茶和午餐，船行约4小时，可以随时去三楼甲板看风景，比去兴坪古镇看风景可强多了。 而且船舱上遇到了一个很帅的小哥哥，心情也特别好。
2023-11-07,北京,5,四星游船还是不错的，有专车从酒店送到码头，订的是二层的舱位，看景色视觉效果还是不错的，二层尾部有一小块甲板，坐在那里看景色也是很惬意的，上到最上面的甲板观光也方便。船上提供了茶水和自助午餐（不要苛求有多好吃）。
2021-04-09,未知,5,四星游船在竹江码头上船，龙头山码头下船。竹江码头离桂林市中心近一小时车程，携程订票后会有人提前一天发短信联系，到了码头直接找到那个人拿票。四星船座位很舒服，整体干净，服务员收拾得很勤快。二楼有小甲板，大部分人都是到三楼平台甲板看风景，漓江两岸特别漂亮～一层和二层都有自助餐台，快12点开饭，另外工作人员会推荐新鲜江鱼套餐，最低200元，稍微贵了些，味道很不错。
2019-07-20,未知,5,一家三口买这个票比那种含接送的合算，打的从市区到竹江码头80元，取票很方便，售票处提前打印好票，短信告之在哪个窗口取，很快。坐的桂林旅游公司11号船，豪华舒适，服务好，自助餐虽品种只有十来个，但补充及时，有水果小点心，罗汉茶等。总体满意！
2019-03-21,未知,4,游船还是很值得坐的，大概四个小时左右，看看风景，拍拍照片很好。午餐很难吃别报太大希望，推销卖东西挺烦人的，先推销菜品，拍照片，卖香水卖玩具，总之一路很聒噪，尤其拍照片的一直在喊号，把甲板的位置堵的死死的，很影响游玩的心情。
2019-03-01,未知,5,从桂林到阳朔，没有选择巴士，而是选择了可以顺路观景的四星漓江游船.一路上风景特别美，有奇山，有秀水，有自由自在吃食的牛羊，还有用鱼鹰打渔的孤舟. 船上不仅有讲解，还在中午时刻提供了自助餐.从桂林到阳朔一共四小时左右时间.不虚此行！
2017-09-10,未知,5,游船值得买，四星游船比三星的好很多，船票一层和二层座位是一样的，二层贵一些，看风景的话都可以免费到二层甲板。不过二层客舱的船头位置的VIP区视线最好，价格也最贵
2018-02-23,未知,5,导游李倩热情素质高，很值得信赖，穿很舒服，虽然四星VIP价格贵，但个人觉得值得，船上服务人员态度好，准备的免费茶点都很贴心，中午午餐也很好吃，沙发舒服，人不多，甲板风景美
2017-10-06,未知,5,国庆价格比较贵，但是依然值回漓江的秀丽风景。桂林山水甲天下，果然名不虚传，体验其中。。四星游轮，游客不多，环境优雅，自助餐也不错。
2024-07-10,广西,5,我们买的四星游船上舱，我觉得买下舱就行，因为看风景都要到甲板上。VIP是绝对没必要的，我看那些VIP也都出来啦。总体是很满意的，有两个意见如下， 1 游船的洗手间和餐具卫生需要改进 2在途中可以加点娱乐表演
2022-09-07,广西,3,四星游船比较适合有老人小孩的家庭出行的选择，全程4个多小时，可以在船舱休息看看窗外，也可以去甲板上看风景拍照。但是，船上的商业气息太浓了，刚上船就开始介绍中午的特色餐，而我们的船票里本身是包含自助午餐的（虽然一般般，但也还行，有菜有肉有汤和水果，这个另说）。另一个是会有船上摄影师来拉生意，不过也都自愿，摄影师会在甲板上选景点给拍照，好像是100元8张，但感觉拍照速度也是相当快，不知道效果如何。这个看个人选择。不过有一个点，在20元背景图那里，摄影师明显是捣浆糊，根本就没到这个景点，就让游客拿着20元在船头拍照了。20元背景图是在船尾后方的。反正要去拍照的可以注意下，别被带偏了～ 再说下，午餐费好像儿童是不包含的，所以上船后好像要补钱之类的，就是听到，不完全了解。每人是一个餐盘排队取餐，上舱和vip是一起的，先到先排队先拿菜。
2021-05-29,未知,4,桂林山水甲天下，阳朔山水甲桂林。来到桂林旅游，漓江游船是不得不来的景点之一。从桂林坐船前往阳朔，很是惬意。 我们选择了四星游船二层Vip舱，全程还是比较舒适的，中午包含自助餐。甲板上更加适合拍照，不过每到一个景点人扎堆。
2020-02-01,未知,5,整个航程有四个小时 你想想，整整四个小时接受桂林山水的视觉冲击 真的是太爽了！（全程周围都是特别美的山水） 我们选择的是四星游船，特别的好 船上的硬件和服务都很棒，座位宽敞 船总共有三层，一楼的票稍微便宜一丢丢 我们坐的是二楼vip座 三楼就是甲板了，到了精华段的时候我们都会从一楼二楼上到三楼来站着看风景 船上是有自助餐的，并且品种丰富，味道不错
2019-11-07,未知,5,订单过程中相关人员都很负责！送码头的导游也很不错！游船工作人员也很好！就是看到点评看上舱是两人座，就没有备注有老人，结果拿到的是3人一排的倒坐，再订票有晕船的要注意了！但很快，这一小小的不开心就被一路的美景驱散得一干二净了！事实证明，来桂林，一定要进行一趟漓江游船才不虚此行！真是一路美景拍不停！！！船餐也比之前看点评中的“差”要好些，但期望值不要太高，毕竟游船没有五星级后厨！船上的自费餐，只买了炸漓江虾和漓江小鱼，被香味吸引的，味道也确实好，值得一尝！ 另外，虽不是游船点评，但也要提一下！阳朔西街游的电瓶游览车售票处的工作人员细致负责，主动告知我们如何游玩、坐车返回方便合理！ 还有，要额外特别表扬一下阳朔当地的两个电瓶车师傅！一位司机是下午2点多去往阳朔时的甄女士，我们自己弄错了下车点，跟着其他团在旅游大巴返桂点下车，甄女士特别好，看到我带着两个老人一脸茫然，就带我们返回阳朔，还告知如何游览西街，在哪里上车去乘坐游览电瓶车去大巴点！还有我们下午3点多在西街乘坐电瓶车去汽车大巴站时，忘了问姓名的一位声音洪亮的男司机，也是看到我一个人带两位老人，主动帮我们安排座位，告知我们如何坐大巴、如何到桂林市区，还特意帮我们拦下了一趟去桂林的大巴！两位师傅一路都非常热情！一改我最初看到的有关阳朔的差评观！阳朔看来也是值得游的一个地方！ 带父母从北海一路游来，感觉广西也很好，不像网络上说的那么可怕！当地的广西人和新广西人也很不错！一次不错的旅游体验！
2018-11-06,未知,5,非常好的一次漓江游轮游！之前看过点评 好评很多可也有个别吐槽，心里做足了准备。之前一天的上午就接到电话联系，并告知晚上会有司机师傅具体告知候车详情。傍晚不到7点熊师傅联系我们，今天一早商务车准时到酒店门前，熊师傅提前已经将票取到，到码头发票进检票口很快捷。感谢熊师傅！漓江上一路时雨时雾，烟雨漓江，山水画卷，可谓愉快之旅！
2017-06-13,未知,4,四星邮轮整体感觉很舒适，其实无论是上下层仓，都可以上三层的甲板拍照。开船时有茶水免费供应，自助午餐虽然一般般，但是能吃饱。特别提示：午餐时间是经过20元背景图的时候，因此可以先照了20元背景图后再进午餐。
2018-05-19,未知,5,四星船很好哟，真的推荐其他想去的朋友乘坐这个。虽然比三星穿票价贵一点，不过很舒服，全程游览也比较全面，会比三星船缓慢一些，不会错过除了著名的景点之外的一些景色。自助餐也很不错！～
2017-07-12,未知,5,一路景色优美，船开的也很平稳，就是开的有点快，看景色有点儿意犹未尽就结束了！自助餐一般吧，但是绝对管饱٩(๑^o^๑)۶，下船后导游有自助游，随意参加。船上讲解员都会提前告知到达景点，漓江是真美！
2024-09-25,广西,5,游船挺好的，早上来接的大巴也很好，中午吃的能吃饱，价格稍微贵了点，但是总的还可以的，风景如画。
2023-02-01,广西,5,一路上几乎路过了所有重要景点，不用再单独一个个去打卡；不用被堵在桂林去阳朔的路上；船上有餐，还可以再单独付费点菜，单独点的鱼和菜都很新鲜且味道不错。四星游船的性价比非常高。
2017-09-16,未知,5,真的超级不错。而且VIP舱真的物有所值。还有单点的美食。建议大家乘坐四星船。虽然我不知道三星船是什么样子的，但是我觉得选择四星没错。
2017-08-29,未知,5,非常豪华舒适的游船，定的楼上VIP座位，皮质的沙发非常舒服，还免费提供功夫茶，免费自助午餐我们没有吃，自己点餐，江里现捞的鱼和虾，非常满意，随时可以到甲板上观赏漓江，太美了
2018-11-16,未知,4,非常值得一游，沿岸风光美，船平稳舒适，服务好，厕所卫生有待提高一下，午餐自助也还不错，满足基本需求，如果需要再好一些，可在船上单点，我们点了一份啤酒鱼，味道还是挺不错的。
2017-05-28,未知,5,盛景号故障，换了其他四星，座位宽敞，自助餐品种不多，味道还可以。总体不错，老人小孩都开心！
2019-09-19,未知,5,四星船很舒服，沿途的風景優美介紹詳細，自助餐不錯，我們另外店了河鮮有蝦有魚有炸螃蟹.攜程訂下層結果取票是上層，很幸運，票價360，跟窗口買一樣價格 .旅客不多，下層旅客較多，應該是團體.
2024-10-07,广西,5,国庆节来的，有大巴从酒店接到码头，上舱位置舒适不挤，一路分三段欣赏漓江美景，其中第二段是精华包含二十元人民币背面景观（要在船尾看），会有语音播报。餐食一般，会插播售卖本地食材、香水、罗汉果、扑克牌、魔方等。综合体验还可以～
2024-07-08,广西,5,漓江的景色真的很美，随手一拍都是大片的感觉，四星游轮体验非常好，人员很少，雅座很舒服，个人觉得二楼一楼差别不是很大，自助餐味道很好了，有一些餐食和产品的推销，但是不是强硬推销，买不买随你自己，我一家人觉得那个炸小虾味道不错，30元一盘，50元两盘，可以尝尝！总体体验非常棒，是桂林旅游最亮的！服务人员态度也是让人极舒服的，即使推销产品都不会让人讨厌。
2024-04-27,广西,5,接乘服务很赞，vip候船也挺好。盛景号vip舱，座位有个可能是时间长了，坐着有些下滑，后面联系了服务员，想办法解决了。沿途景色不错，点的小鱼小虾还有个蒸的鱼都挺好吃的。茶好喝，自助餐也还可以，唯一缺点就是有好几只苍蝇。。要一直赶。。
2023-09-11,四川,5,乘坐漓江4星游轮非常好，不仅沿途风光迷人，坐在游轮上看风光更是多了醉人的感觉，看山看水犹如看电影一般一幅幅美景依次扑面而来，游轮上船员一路亲切周到的介绍更使旅游体验直接拉满，中午船上的自助餐丰富多彩，味道鲜美，漂亮的船员妹妹还亲自抚琴助兴，4星游轮太值了！
2023-06-06,安徽,5,这是个由阳朔逆流而上至杨堤的四星游轮，我们当天下午一点上船，不久后就下大雨，我们正觉得此行看不到漓江山水而遗憾时，过了兴坪雨即停止。雨后的漓江景色更加好看优美！游轮上还包含着几十种小食品。 【景色】优美透着仙气， 【趣味】九马画山等故事诱人， 【性价比】三百五的票价还是很值的！
