date,ip 属地,评分,comments
2017-06-25,未知,5,还有叫十里大峡谷的，可能是“漓江源”的名头更响亮些吧。来的公路旁的指示牌上又写着“超然派大峡谷”，不知道到底叫什么了。竹林密布、植被茂盛、溪涧纵横、飞瀑成群，景色十分的迷人，竹海景致不亚于国内的其它。来这里是的都属于“桂林山水深度游”。
2016-07-17,未知,5,这里的水真是太美了，清澈见底，清凉怡人！景区内植被繁茂、藤蔓缠绕，瀑布流过山上的青石壁，像一条洁白的珍珠挂毯，石头被水流冲刷成了了光滑的鹅卵石。到龙潭里游泳的时候，刚好遇上走钢丝表演，非常惊险刺激！
2021-03-02,未知,5,漓江发源于广西壮族自治区兴安县华江乡（四百里越城岭山脉的最高峰）猫儿山东北面海拔1732米（黄海基面）的老山界南侧。四周群山环抱，竹海茫茫，漓江主源乌龟江和砂木江在山脚下高寨村区域的十里峡谷（猫儿山十里峡谷）相会，在南流中西接龙塘江，东纳黑洞江，三江汇合后称六峒河，往南流至司门前与黄柏江、川江汇合称大溶江，至溶江镇附近与灵河汇合，始称漓江。漓江经灵川县过桂林市在平乐县平乐镇北与恭城河汇合，漓江段全长164公里。平乐镇以下称桂江。河流继续南流至梧州汇入西江，西江汇入珠江投入大海的怀抱。
2017-05-26,未知,4,江源大峡谷景区颇具特色，“一山有四季，十里不同天”。从猫儿山顺路踏入此谷，雨雾下见不到顶的山头被白蒙蒙的云雾缭侥，飘飘渺渺，此时的大峡谷别有一番韵味，幽谷深处的水潭清澈碧绿，部分河床经河水长年累月冲刷，留下了大量的大块小块的花岗岩裸露，颇为壮观。相传此潭是七仙女洗澡的地方。
2020-08-11,未知,5,兴安县白石乡天生桥岩洞群算得上是世界级的地质奇观，它是由四个联通的天然石洞天桥群组成。从山顶上往下看，它就是一个向下塌陷的天坑，四周都是陡峭的悬崖绝壁和茂密的植被；从坑底往上看，一个个高悬的洞口好似变化莫测的明月；洞内怪石林立，溪水潺潺，清风徐来。。。好一处“世外桃源”神仙洞！[强]
2018-08-21,未知,5,藏在深山不为人知，但它的秀美清澈很值得你花时间去一探究竟。它的水清澈见底，竹林清秀连片，还可以看到珍惜动物娃娃鱼，还有走钢丝表演，也可以体验徒手抓鱼。
2018-11-22,未知,5,11月中旬去的，景色非常好，尤其水很清澈，泛着绿光。我们去的时候天气不太好，如果阳光下更加美不胜收。景区里树木茂密，尤其是竹林，高高的竹子，一片一片的非常美。
2017-12-02,未知,5,我陶醉于冬天的风，它轻柔、稚嫩。它为春天的到来平添了盎然生机，平添了一份和谐和宁静的美。我喜欢冬天到野外去品尝冬的味道。闭上眼睛，若有若无的风拂过我的脸，在我的脖颈中呵着气，中间还夹杂着花朵和泥土的芬芳，这，就是冬的味道。
2019-09-02,未知,4,爬完猫儿山住在山下民宿，房子后面就是峡谷湲流，从大门进去顺着水向上走，水清澈见底，说石头缝里有娃娃鱼的，不过我没看到，里面有个娃娃鱼池有两条娃娃鱼，峡谷风景太棒了，而且人不多。
2022-09-17,广西,5,景区不大，经过一片竹林，来回不玩水一个小时左右……虽然是枯水期，但潭子里的水依然漂亮，天鹅湖泳衣真的太爽了……传说中的果冻水……一定要大太阳……中午去……才漂亮……比龙潭江那边舒服多了……
2018-03-02,未知,5,3月初来的，淡季，我们去的时候整个峡谷里都没有人，工作人员特别热心陪伴我们走了一路，还讲解了很多。这里的水特别清澈，如果是夏天好可以下去游泳，空气清新心旷神怡，太美了。有机会夏天来了再去一次
2022-08-14,广西,5,要带鞋子来，路上会比较滑。如果下水什么的需要备一双拖鞋，这样好点。环境景色是不错，我们家当锻炼身体了。还是推荐的，小朋友也喜欢…
2021-02-15,未知,5,漓江源大峡谷，保持着原生态的自然景观，潭水清澈碧绿，峡谷内山路清幽，竹海茫茫，河滩内怪石嶙峋，空气中饱含着负离子，满满都是竹子的味道，清新怡人，让人忍俊不住多呼吸几口。
2023-10-16,上海,5,网上购买的门票，比现场优惠，不过没有门票做纪念，在桂林呆了三十年，漓江源好像第一次去，人不多，水特别清，像九寨沟的水，带着80多岁的父母一直爬上去
2023-10-16,上海,5,网上购买的门票，比现场优惠，不过没有门票做纪念，在桂林呆了三十年，漓江源好像第一次去，人不多，水特别清，像九寨沟的水，带着80多岁的父母一直爬上去
2020-11-07,未知,5,登山游水，竹林小酌。比较休闲的一个景点。
2019-03-28,未知,5,几家人一起去的，大人小孩都很满意，环境秀美，空气清新，还看到了传说中的娃娃鱼，孩子们开心极了，只是捉鱼游戏难度有点大，孩子们不怎么好掌握，而且容易弄湿衣服。但总的来说，大家都很开心的一次旅行！五⭐好评！
2017-10-06,未知,4,这是第二次来漓江源大峡谷了～第一次是十年前～风景还是那么美，竹林，深潭，瀑布，到处充满仙气～美中不足的是十年前这里是十里大峡谷，现在因为自然保护，里面已经不给进去了，只能看门口几个点，走完全程不用1个小时～不过就放松身心和亲近大自然这一项要给满分～
2021-08-08,未知,5,非常值得一去，我家就住在漓江的旁边，那是漓江的发源地，景色优美，还可以看到很多瀑布，湍急的瀑布飞驰而下，还有很多人游泳。竹子也很俊俏
2023-10-14,广东,4,这个大峡谷景区不大，半个小时就可以来回了，最远处的地方就是天鹅湖，那里的湖水非常清澈，有不少人都下去玩水，尽管在工作人员的眼皮底下还是一样，工作人员也没有阻止他们奇怪。
2021-06-27,未知,4,漓江源头泉水，清澈纯净自然，风光秀丽，没有过度的开发，保持原生态，有深水处可以潜水，有浅水处可以游泳，炎热夏日在清澈见底的泉水中游泳那是相当的惬意和凉爽，但是需要提前带好泳衣和泳镜，那没有卖的，最好穿沙滩鞋，防滑还能淌水，非常值得体验的地方。
2019-08-16,未知,5,水源保护力度不断加大，毕竟名字叫做漓江源……景区附近的超跑派酒店还可以。
2018-03-21,未知,5,去的时候快下班了，不过还是很好的，水好清好清，空气很好，进门有个游泳区，还是不错的
2020-09-09,未知,5,漓江源大峡谷景区风景意外惊喜，水质清澈透明，翠竹掩映，景色不错，值得推荐，
2019-10-09,未知,5,非常不错，空气清新，风景如画，是一个休闲娱乐的好地方，下次还回去的！
2023-09-10,贵州,5,水很清澈，非常干净！很适合来这里泡一泡，游泳。山底到山顶其实没有很远，到山顶游泳最多20分钟，山腰有娃娃鱼和其他小动物可以看。
2023-07-23,湖南,5,原始生态，山美水美，民风淳朴，游走在山水之间治愈心灵。非常棒！
2017-08-20,未知,5,山水美如画，人不是很多，喜欢幽静的人，特别适合老人情侣亲子游。还有高空走钢丝表演。
2017-10-05,未知,5,水，清澈见底！大自然风光！太爽了！
2018-02-20,未知,5,风景秀丽，空气清新，是一处休闲放松的好去处。
2020-08-31,未知,5,水，主要是赏水，飞瀑，山涧溪水清澈见底，还有很大的娃娃鱼，很好的避暑地，携程购票便捷优惠。值得推荐，
2021-07-19,未知,5,非常值得去呢，一定要避开雨季。水质一定会经验你的。
2019-05-03,未知,5,景点便宜又好玩，就是位置偏了点
2023-09-10,贵州,5,这里很值得去！水非常清澈，去游泳了，尝到这里的水是甜的哈哈哈！很干净，在这里拍照也特别好看！看到了娃娃鱼，保安大叔也很友好。
2021-12-18,未知,5,景色优美，宜人，还可以游泳，河水清澈见底
2022-08-17,湖南,5,可玩的地方不多，能下水的就两处地方，一处在景区门口，另一处要步行约二十分钟，不过就这果冻一般的水质已经相当的值了。
2017-07-22,未知,5,这里是漓江的发源地，华南第一峰--猫儿山山下的一个峡谷。茂密的森林植被使得这里的水绿得就像一块通透的翡翠。是当地人消暑最常去的地方。
2023-10-13,广东,4,这个大峡谷不大，来回大概半小时就可以了，沿途没有小卖部，只有靠近大门口的地方可以买适合的，建议大家带上水。最远处的地方有个天鹅湖，那你的水青绿青绿的。
2017-10-02,未知,4,太美的水，清凉，干净。值得一来
2017-08-27,未知,5,携程订票太划算了，超值的门票，不愧为桂林的小九寨，玻璃水太漂亮了，峡谷太美了，空气清新宜人，徒手抓鱼非常有趣，高空走钢丝表演也很精彩，非常值得一游！
2015-11-17,未知,5,峡谷里鱼多肥美，品种繁多，体形特性各异，嬉戏于淡琥珀色的水面下，映衬在灿烂的阳光中，五彩斑斓。值得一游。
2019-12-18,未知,5,非常喜欢这里的景色！河水清澈见底！两岸绿树成荫，风吹竹叶飒飒作响！很幽静雅致的地方!夏日里来非常凉快！还有娃娃鱼观赏喔
2019-03-28,未知,5,不错。就是有点偏远。景色很美。还没有完全开发好。
2017-08-03,未知,5,十里竹海大峡谷保持着原始风貌的自然生态，负离子含量高，是天然的大氧吧。这里是漓江源头处，水清澈见底，甘甜可口，含有丰富的...，
2015-12-24,未知,5,在兴安县的周边，比较哪找，去的路不是很好走，但是上面的空气真心太棒了，非常好，负离子爆棚
2021-07-10,未知,5,太美了，水真的像翡翠一般，空气极好，水质一流，能出现野生娃娃鱼的地方可不是一般的地方。
2018-04-16,未知,5,真的很好，而且有保安大哥全程随行，突然觉得安全了。水很干净，一路景色都不错，竹海，溪流，瀑布，石阶……气候宜人，夏天去很舒服。
2023-06-16,广西,5,漓江的源头~漓江源大侠谷，藏在猫儿山脚下，景色可以和九寨媲美，水清竹幽鸟鸣，夏天很凉快舒适，适合亲子游，情侣游，家庭出谢
2020-12-25,未知,5,我去的时候是冬天，游客不多，由于天气干旱久了，峡谷里的潭水比较少，瀑布断流，但潭水的水质清澈碧绿。峡谷里山路清幽，竹海茫茫，空气清新。夏天来肯定是不错的选择，听说里面可以下水游玩……总体超赞，景色不错，
2020-05-09,未知,5,非常棒！！！！！水很清！！！！！玩得很开心！！！！！！空气清新舒适！！！！下次还来玩！！！！棒棒哒！！！！！！！！！！！
2022-07-21,未知,5,太棒了，绝美，人不多，基本上都是当地人
2018-08-22,未知,5,是个游泳的好地方！果冻水那是爽歪歪
2020-10-07,未知,4,漓江源玩水应不错，但基本不让玩
2020-09-07,未知,5,第一，门票便宜。第二，景色漂亮，水体丰沛，色彩斑斓，可以游泳。第三，表演精彩。总之是个非常棒的地方，强烈推荐。
2021-02-15,未知,5,漓江源大峡谷，保持着原生态的自然景观，潭水清澈碧绿，峡谷内山路清幽，竹海茫茫，河滩内怪石嶙峋，空气中饱含着负离子，满满都是竹子的味道，清新怡人，让人忍俊不住多呼吸几口。
2018-04-13,未知,5,峡谷里鱼多肥美，品种繁多，体形特性各异，嬉戏于淡琥珀色的水面下，映衬在灿烂的阳光中，五彩斑斓。值得一游。
2023-03-15,广西,4,景区的天鹅湖湖水清澈，冰凉，是休闲戏水的不错选择。淡季出行，遇上桂林干旱，但是毛竹海也还是不错的。景区的工作人员热情有礼貌。就是景区的范围没有很大，如果景区的门票能实惠些就更好了。
