date,ip 属地,评分,comments
2024-11-22,江苏,5,我个人感觉相比遇龙河的话，漓江的江面更加宽阔，周围的山体也气势更加的磅礴。我们选择的是从朝板山码头往返九马画山的航程。泛舟在漓江之上，你会看到闻名遐迩的“黄布倒影”“九马画山”尽数铺陈眼前。如果说遇龙河是阳朔山水景观的精致小品，那么泛舟漓江则更能真真切切地感受到广西山川形胜之壮美。唯一我感觉值得商榷的是，票价格稍显贵了一些，140元每人，包含了15块钱的门票费用以及125元的竹筏漂流项目费用，50分钟的航程往返，总体来说性价比不是特别高。
2020-10-24,未知,5,江记/游记之阳朔 都说桂林山水甲天下，我很不以为然，所以游记之目的地也断然放在阳朔，且不去管他阳朔是否属于桂林管辖，这不重要，但我需要表明态度。我甚至不放任何一张桂林著名景点的照片，实在是因为没什么可看的，但说还是要说几句。桂林有象鼻山公园，我们从小到大最初对桂林美景的认知应该是从那座宛如大象的山开始的。可没想到那竟然只是一个小小公园里的一座大型盆景罢了，说是山，也就是类似各大江南园林里的山，我连惊叹一声都没有就被潮流般的人群簇拥着往前去了，哪怕是想拍一张到此一游的游客照亦非常艰难。公园很小，为了保护买票者的权益特意用遮挡的方式圈围了公园，所以想看到象鼻山是必须进入公园的，而看一下也就是十分钟的事情，这不由让我想到曾经和朋友关于桂林房价的探讨。桂林房价很便宜，这么知名的旅游城市一直没有发展起来在我看跟政府的格局有关，任何一处小小的所谓标志性景观都必须围起来收钱是颇为小气的，相比较杭州政府完全开放西湖核心景区给民众免费观览的做法就收到了很好的效果，很多人周末就是喜欢自驾过去在西湖边坐坐看看风景，然后吃吃喝喝住下来就形成了旅游经济，所以没有比较就没有伤害。两江四湖的夜游更是光怪陆离，那种浓艳浮躁的光带勾勒的桥塔树木非常诡异，不客气的说有着暴发户似的气质，还有已经忘记叫什么的步行街区和刻有桂林山水甲天下字样的什么王府，处处充斥着赤裸裸的商业套路，完全击碎了我对桂林的期待，这是非常令我失望的旅游目的地之一，还好还有阳朔。阳朔美丽而多情，我持续去过三次，加起来有半个多月时间在那里。漓江的水清澈灵动，坐上竹筏漂流一番是可以体验人在画中游的感受的。漂流最好在早上的头一班，那时河道里还不拥挤，可以慢慢欣赏美景和拍照。一般大家会选择兴坪段的漂流，那里水面开阔，两岸山体秀美，配合蓝天白云和光影的确可以令人赞叹，缺点是那里只有电动竹筏，响起发动机轰鸣飞驰在水面也的确有点煞风景，尤其是高峰时段，百舸争流好不壮观。也有人选择遇龙河漂流，人力慢慢划动就比较优雅一些，景色更加玲珑别致，比较漓江会有不一样。兴坪段的好处还可以逛一下兴坪古镇，虽然小也算有趣，如果在黄昏时分攀爬一下老寨山而后瞭望整个蜿蜒的江景则是非常美，可以美到令人心醉的。这也是我愿意在阳朔住这么多日子的原因，可以沿江而坐看着风景听着别人弹奏的音乐，可以登高鸟瞰呼吸飘渺仙气，当然也可以去观看张艺谋的印象刘三姐或者是更年轻的千古情，都
2016-06-27,未知,5,从二十元人民币背景图这里上竹筏，一路向北，因为起得早，有幸看到日出，特别特别美，再往北就是黄布倒影，日出就是在黄布倒影看到的，接下就是九马画山，再往北是甲天下，这是个景点，据说是漓江最美的景色，晚上人少船少可以看倒影，特别美
2018-02-13,未知,4,如果行李不多，路线选择可以直接从桂林坐大巴到杨提路口下，在路边等从阳朔过来的中巴车，再坐到杨提码头，买票漂流了，漂流完到兴坪镇上，可以去汽车站买个中巴车票，到阳朔县城。如果行李很多的话，可以从桂林坐大巴到阳朔县城，订好酒店，休息好。再抽时间从县城做中巴到杨提码头去漂流。漂流的景色非常好，不过时间不是很长，差不多一个半小时不到。筏子是四人的，不是人工竹筏，是机械的，如果不够四人可以去找别人一起拼筏，或者补足空座位差价也可以出发。筏工一般会问要不要讲解，讲解的话需要六十块钱，平均每个人十五快。 阳朔县城比较有名的就是西街和十里画廊了。西街是一条商业街，很多酒吧和小吃，晚上人特别多，非常热闹，有很多老外。不过如果经常去游玩古城的话，也就会觉得西街跟其他地方的古镇景色差不多了。 十里画廊其实是一条马路，沿路有各个景点，大榕树、月亮山、蝴蝶泉等，可以租个电动车，四十/天，选择几个景点去看看还是可以的，月亮山是个不错的选择。 总之景色很美啦，放飞心情。
2017-09-15,未知,4,从桂林站坐动车到阳朔站，随后坐十分钟大巴车到兴坪古镇，然后四人一起坐上小竹筏，兴坪——九马画山，来回大概两个小时，99元/人，竹筏现在都被政府统一管理了，安装的是柴油机，声音很大，很吵，很污染环境，漓江的水目前很清，两边的风景很美，可惜情调被这种竹筏给毁了。。。来桂林，漓江是必去之地，游这一段的性价比相对最高，但还是希望当地政府能够改变模式，保护环境吧，以免毁坏了环境，毁坏了当地形象就追悔莫及！
2017-07-29,未知,5,要看漓江的山水，这里最能体现出漓江和桂林的山完美融合，有的人说竹筏漂的时间有点短，但我觉得刚好，因为竹筏是机动的坐久了人会发麻，这段竹筏漂流可以桂林山水最精华的山水神奇人又不会太累，不过竹筏漂流没什么刺激而且门票有点贵，所以趣味和性价比差点
2016-10-16,未知,5,筏工不会主动索要小费，可不给小费，就懒懒的只是开船，没有任何讲解介绍。景致当真是绝美的，兴致嘛，提前做好功课，自己去寻找那些有意义的山景倒影，别指望筏工
2019-04-07,未知,5,如果自驾游，选择这个方式是最完美的，先开车到兴坪古镇码头，坐游船游览，大约1个半小时，完事儿之后返回开车回桂林市区，一路风景也很棒，如果有去那边有问题的可以咨询我咯。
2021-04-30,未知,5,不跟团时间都是自己的，喜欢哪里就在哪里多玩玩。所以选择从杨堤到九马的竹筏漂流。从桂林市区坐公交到汽车南站，再坐直达杨堤的客运班车（早上第一班是9点发车）。取票也是比较快的，我们来的时间人不是太多，也可以自己窗口买票，价钱都是一样的（如果节假日，感觉还是网上预订能比较快的）。到九马下了竹筏，一路沿着河边步道溜达玩耍到兴坪（距离5公里左右，身体好的，没必要坐电瓶车）。可以逛逛兴坪古镇，然后到古镇汽车站坐高铁专线到阳朔站，返回桂林（时间充裕的还是建议在阳朔或兴坪古镇住宿）。景色没的说！坐竹筏有棚不会太晒，也比较好玩。就是全程不可以脱救生衣，不可以站起来活动。
2018-05-07,未知,5,兴坪-九马-兴坪往返这段，是竹筏游漓江景色最美的一段，上筏地点就在二十元人民币背景处。坐在筏上，只见连绵不断的奇峰怪石渐渐地向我们靠近，又渐渐地向后退去。往来穿梭的竹筏，伴着“突突突”的声音，一会儿近，一会儿远。岸边的凤尾竹几乎连成带状，岸边还不时可见几头牛在咀嚼着鲜美的青草。这种美景，宛如一幅诗中有画，画中有诗的彩墨山水长卷，令人心旷神怡。此刻，除了用手机拍下那些天生丽质的美景，你还能干些什么呢？到了九马画山，竹筏掉头往回返，全程正好70分钟，非常值得。值得注意的是，拍照时一定要拿好手机，千万别掉到江里。
