date,ip 属地,评分,comments
2018-10-20,未知,5,石燕湖夜景美美哒，下次放假我还来玩。
2021-02-28,未知,5,公园内景色优美，绿树成荫。是您休闲，散步，纳凉的好去处。
2020-11-19,未知,5,公园内风景优美，环境清净。是您休闲，散步，放松的好场所。
2020-08-17,未知,5,很幽静，绿树成荫。是您休闲放松的好地方。
2020-02-16,未知,5,比较幽静，占地面积不大。是 放松的好去处。
2021-10-22,未知,5,公园内很幽静，树木苍翠，适合休闲散步。
2019-11-03,未知,4,这个公园不是很大，但是很清静。可以在这里锻炼休闲。有一个餐厅是您聚餐的好场所。
2021-07-22,未知,5,公园内很幽静，是休闲，散步的好地方。
2019-11-17,未知,5,再去，还去，号景好环境好美，容空气好
2022-01-31,未知,4,休闲散步的好去处。。。。。。。？
2019-08-03,未知,3,一个人造公园，因里的燕湖得名，去那里多为散步和晨练的人。
2019-11-16,未知,5,好地方，树叶多，人多，美食，美紧
2019-06-29,未知,3,燕湖公园啊？也就铁路边的小树林！
