date,ip 属地,评分,comments
2019-06-20,未知,5,本来以为小朋友不能玩，因为小朋友身高不足一米三一点点，后来和工作人员沟通了，说是可以玩，那就让他去玩了，下来后，他非常开心，说是非常的好玩，携程购票也非常方便，一般是在当天下午四点之前，在线购买都可以，不过具体要看详细的购票说明!
2018-06-03,未知,1,通过旅行社预订了115元热气球这个项目，真是不值，一共在空中没有到五分钟就下来了，而且热气球用绳子是固定在场地上方，视野范围内能看到的景色很有限，还有施工工地。旅行社导游提前取了票，帮忙送到场地，但是燕莎的工作人员态度极差，本来票是有排队编号的，但是负责安排顺序的小哥根本不叫号，谁过去凑着围着他就先安排谁，我们5个人在等待区老老实实待了一个小时，却被告知已经过号。我们去的时候叫到320号，我们是405号，就一直等着，过去再问的时候叫了430号，我一个女孩子态度很好前去跟这个小哥交涉没有叫到号的问题，小哥态度蛮横说再等50个人才能重新叫到。换了同行的男生态度强硬表示要去旅游局投诉这个随便插队排号、管理混乱的事情，小哥才松口说下一个安排我们，明显欺软怕硬。当时旅行社的导游好话都说尽了，该小哥说是景区老板的侄子，游客爱来不来，而且霸王条款买了票也不可以退票。
2018-04-06,未知,5,很不错的地方，照相包括199的360°全景和99的自拍，199需要在手机上下载APP才能播放，有教程，可以自己剪辑自己想要的片段，非常不错
2018-04-01,未知,5,非常好的飞行体验，360全角拍摄，也能录下飞行的全过程
2023-02-21,广西,5,燕莎航空基地位置好找，起飞后真的很美，就是要多穿些衣服，空中真的很冷。景色秀丽自然，飞一圈大概就是10分钟所左右，性价比不是太高。
2021-08-15,未知,3,动力滑翔伞。飞行时间很短，只有5分钟，看下面风景是不错，周边已是楼盘工地，据说营业到本月底。以后此地将没有这个项目游玩了。有些可惜
2018-04-01,未知,5,非常棒的飞行体验，就是飞行时间段，不太过瘾
2018-06-09,未知,5,挺好玩的，只是时间太短，大概五分钟吧
2024-08-02,广西,5,还可以，票价略贵，拍个照片的价格快抵得上再玩一次了
2020-10-05,未知,5,体验很好，景色不错，有趣好玩，
2019-07-26,未知,3,就几分钟，不太刺激，风景也不好，旁边的路还在修，还有民房在建，感觉是在看工地，没什么意思。
2020-04-17,未知,5,飞的很不错，可惜时间短了些。工作人员很细心周到
2018-08-17,未知,4,有点风也可以飞，不像气球我看风不大也不飞，上去下来就是5分钟的样子，可高处看看遇龙河
2022-07-19,未知,5,刺激，安全，非常满意
2024-02-15,广西,5,很刺激很帅哦就是拍照太贵了
2023-06-23,广东,4,非常喜欢这个项目，价格比较偏高，时间太短了，下次还会继续玩这个。
2024-02-15,广西,5,非常不错效果很好
2023-01-25,广东,4,不让拍照，只能买他们的照片和视频，价格又很高。
2018-08-25,未知,4,好不错，就是时间太短太短，十分钟不到
2023-01-30,广西,4,景色漂亮 好玩！就是时间太短
2024-11-26,吉林,4,服务非常好
2018-10-04,未知,3,就坐5分钟，费用觉得挺高的，还有就是要有耐心排队。
2022-10-06,广西,1,噪音非常大，扰民，这种损人利己的项目应该取消
2023-04-28,广东,2,从订票前台开始至下滑翔伞，工作人员服务态度差，敷衍了事。交通不方便
2024-07-22,广西,1,本来来阳朔玩儿很开心的，但是这家体验非常差。 门口就有很多推销的 一进去问哪里换票没人搭理 到了换票点说携程买票的两个工作人员脸色就拉了下来。 其中一个男的找我要短信第一次说由于是方言没听清楚，再说一次的时候眼神极其凶狠。 找到携程发的有订单编号、有时间的短信却说不是这条。 另外一个女的直接翻我手机。 这两个人全程都是方言根本听不清楚在说什么。 对于一个危险系数较高的运动机构，管理混乱工作人员缺乏基本的服务意识和专业素养，无法将自己的安全托付。果断退票！
