date,ip 属地,评分,comments
2019-06-08,未知,5,说到阳朔的娱乐项目，想必大家第一时间想到的就是阳朔遇龙河的竹筏漂流，很少有人知道阳朔那里还有热气球可以乘坐。在阳朔那里有一个燕莎航空运动营地，就可以体验滑翔伞飞行和热气球。从阳朔西街前往燕莎航空运动营地大概有6公里的路程，打车约为15元，去的时候车比较多，回来的时候可能就要多等待会，毕竟从那里经过的车很少。滑翔伞飞行的费用为355元，热气球的费用为99元，游玩的时候要看当天的天气，天气不好的话就不能进行。我去的那天早晨天气一般，在工作人员观望下，还是正常进行，我也亲眼目睹的热气球慢慢变大，升空的过程。一个热气球最多可以乘坐6名乘客，体验高度大概在30米左右的样子，空中欣赏阳朔的周边景色也别有一番风味，乘坐时间约为10分钟，时间不长，就当体验其次乘坐热气球的乐趣吧。
2022-08-15,广东,3,拍照非常出片，超级好看！但是连上去到下来一共就5分钟左右，一个人86元，一家人花二三百块就5分钟 会觉得不太划算！可以说是一次性生意吧！带孩子体验到了，也拍了照很可以，但是下次我不会去
2021-10-03,未知,4,刚好国庆出游，就过来试试。估计是国庆天气好，上午游漓江的路上就看到只有1个热气球，下午就有2个。人虽然多但一次上去5-6人，还不算等太久。上去、下来都很平稳，不过上去就停留5-8分钟左右，但价钱也不算贵，就当一次体验吧！
2018-11-30,未知,5,排队2小时，体验5分钟，就是让你体验一下升降的感觉，感觉还行，内心没有什么波动
2019-06-22,未知,4,还可以，就是一个体验，高度并不可怕，但是有风吹过来的时候有点摇晃，会让人腿软。热气球色彩艳丽，适合做为背景拍照。
2019-06-09,未知,5,打卡成功，完美体验，感谢携程，一如既往支持你们
2020-01-23,未知,4,还行吧，主要是体验了一下热气球。 现在去只有两个热气球，孩子上去还有点害怕，主要是晃的，大人倒是觉得时间有点短了，冬天去还行，夏天在上面就太热了。
2019-07-04,未知,1,管理者是垃圾中的垃圾，只管卖票，绝不告诉你他为什么卖的那么慢，因为里面还有更多的人排着，你进去也白搭。下午5点才能飞，3、4点就开始卖票，来几个人卖几个人，反正排队时间是你的，当天坐不上是你倒霉，看你好欺负就告诉你不能退票，只能改天，你厉害一点就说可以退票要收手续费，你再厉害一点就乖乖全款退票了，这哪是什么正规公司，就是混混企业，希望阳朔不要让这么不正规的公司玷污阳朔形象
2019-07-28,未知,5,排队人好多，体验还不错，网红打卡地。
2022-10-03,广西,1,垃圾地方 去一次毁整段旅程 让这趟阳朔之旅画上了重大的一笔污点 首先 到了地点不买门票没法进入，OK我理解 ，如图下是买好门票也有一个围栏 我觉得大家去热气球一大部分的原因是想拍照，这点需求难道没办法满足吗？那我去这里的意义是什么？毕竟你升的也不高，为了提高利润 原本说好的本就时间短的5Min改为1Min，可以可以 我都可以忍受，但是连进入草坪拍照的权利都没有，请问这个项目除了圈钱考虑过旅客的体验感吗，去的一路上都是农村的石子路 未经开发 一路的马粪牛粪 简直刷新了我对旅游景点的三观
2018-10-03,未知,3,管理比较混乱。主要是换票排队，黄牛巨多，没有人管。 游玩本身一般，不值得这样排队 第一天排队一小时换票，还是没有换到当天的，第二天再去的。
2019-12-27,未知,5,值得去玩一下，只有自己体验了才会知道好。
