date,ip 属地,评分,comments
2021-06-29,未知,4,桂林市中心靖江王城内的独秀峰是66米高的孤峰，峰顶是观赏桂林全城景色的最好去处，自古以来为名士所向往。登306级石阶可至峰顶，峰顶上有独秀亭，漓江西岸的靖江王城是明朝藩王靖江王朱守谦的藩王府。
2018-07-09,未知,5,徒步登上独秀峰顶，感受这里的气势雄伟，寻找名句石刻的真迹，把桂林全程秀色尽收眼底！ 独秀峰作为桂林城区最高的一座山，也是桂林城中唯一被称为“峰”的山。独秀峰王城景区，是一个典型的人文景点，景区里面都配备专门的导游，每位游客都被分配到号码牌、讲解耳机，跟着自己的导游走，在一定区域内都能清楚地听到耳机里导游专业的讲解。 景区里面的演示有肉眼3D效果和全息投影技术，个人认为还是比较蛮高大上的。你可以在这里听听14代靖江王的故事，找到“桂林山水甲天下”的出处，拜拜自己的守护太岁，参加一次古代科举考试。
2017-10-22,未知,5,桂林靖江王城景区 位于桂林市漓江之畔 独秀峰屏障其後 山峰突兀而起 形如刀削斧砍 周围众山环绕 孤峰傲立 有如帝王之尊 峰顶 有鸟瞰桂林城全景的最佳观景台 峰壁摩崖石刻 星罗棋布 “桂林山水甲天下” 的真迹就题刻于此 山下有月牙池 东麓 有南朝刘宋时文学家颜延元的读书岩 是桂林最古老的名人胜迹 他曾写下 “未若独秀者，峨峨郛吧间” 的佳句 独秀峰也就因此而得名～
2018-04-26,未知,5,很不错，桂林这边朋友推荐的，了解桂林城的历史文化发展。靖江王府地在桂林正中心，地方很好找，周边是步行街和商业区，属于闹中取静吧。王府环境非常优雅，解说员很热情，行程安排挺合理的，一路过来没有重复的。印象比较深刻的是拓福体验和科举考试，也算是传统文化活动体验吧，免费的哦~
2017-09-19,未知,5,门口那棵大树很有意思，一人一耳麦，听导游讲解，大皇宫的先人和故事，里面有贡院，考场，有拓片可互动，独秀峰不太高，15分可登顶，就是有点抖，值得一看，
2024-12-11,河南,5,桂林独秀峰是一个集自然景观与历史文化于一体的著名景区，位于桂林市市中心的靖江王城内，是桂林的标志性景点之一。 自然景观： 独秀峰以其“南天一柱”的姿态陡然矗立，峰顶建有玄武阁、观音堂、三官庙、三神祠等建筑。 游客可以在乐山、探奇、瞻云三处景观凭栏远眺，欣赏桂林市区的全貌。 每当旭日流金或晚霞舒锦时，独秀峰在光影的映衬下显得格外壮观。 历史文化： 独秀峰有着深厚的历史文化底蕴，是“桂林山水甲天下”名句的发源地。 峰上有众多古代石刻，其中包括唐朝郑叔齐的《独秀山新开石室记》、元朝丁钟芳的孔子像、清朝黄国材的“南天一柱”等。
2023-08-28,山东,5,20230313上午： 1、“独秀峰”位于5A景区“独秀峰•王城”。独秀峰•王城是我国现存最完整的藩王府，是600多年前明朝开国皇帝朱元璋为其侄孙朱守谦所建，由明朝开国元勋、风水大师刘伯温选址。靖江王历时280年，是中国历史上世袭时间最久的藩王，比明朝历史还长（明朝灭亡后6年、清顺治七年，即1650年被清“定南王”孔有德所灭），是古代桂林的文化中心和人文发祥地，闻名全国的诗句“桂林山水甲天下”便出处于此。景区分为“靖江王府”、“独秀峰”、贡院和城墙4大区域，是桂林旅游必打卡之地。 ①地址：桂林市秀峰区王城路1号。 ②交通：公交直达，开车很好停。 ③旺季：无。 ④用时：4小时。 2、独秀峰陡峭险峻，号称“南天一柱”，是王府的靠山，岩壁上石刻密集，共200多处，是桂林人文的发祥地，最有名的是南宋廉吏王正功的“桂林山水甲天下”真迹，享誉全国脍炙人口。自明代起独秀峰便成为王府后花园，因此民间普通文人已不能自由游览，“游圣”徐霞客曾5次欲登独秀峰未果，所以这些题刻以明代前的居多。岩壁下有一洞名为“读书岩”，但已封闭，原是南北朝刘宋时期（420-479年，非“唐宋元明清”里指的宋朝）文学家颜延之任职桂林太守时读书的地方，是独秀峰最早的名人足迹，后来被用作酒窖，洞对面是颜延之雕像；洞的另一出口正对着月牙池，此池是修建王府时开凿的半月形水池，水源来自位于独秀峰东麓的“廉泉”，池内鸭子和黑天鹅畅游，池中亭台已封闭。独秀峰净高60米，上下一趟不到半小时，山上有西观景台（系满祈福彩带，立有玄武石像）、“玄武阁”（始建于明万历年间，虽然只有一间，却是古时镇守龙脉的圣庙）、“财神殿”（单间小佛龛）、“文昌阁”（也称“魁星阁”，双层，是独秀峰制高点）、“凌霄阁”（锁着门，现代建筑）、“朝天门”（红色门坊）、东观景台（台上有“桂林第一峰”刻石的打卡拍照点）。
2016-02-11,未知,4,旅游公司统一开发了，商业化明显，进门凑个15人派一个导游讲解，个人是没办法自行游览的，导游步步设坑啊，讲太岁会让你买自己的太岁拓，讲科举考试会选两名状元出来，让你给给心意钱……只有登独秀峰的时候才会让你自己游玩
2021-03-31,未知,5,独秀峰是桂林市区的最高点。位于靖王府内，著名的“桂林山水甲天下”石刻就是在独秀峰下，登上独秀峰顶，有一览众山小的感觉，可以俯瞰桂林城区全貌。
2017-07-28,未知,5,这里必须五星好评！！ 一开始的这个靖江王府独秀峰是没有抱太大希望的，毕竟一个市区里面的项目好能好到哪里去？ 但是现实就是啪啪打脸，不只是好，简直是走到心窝子里了！景色好，讲解更棒，最好的是有一些趣味互动，能让你觉得花钱买东西都很值得！ 作为5A级，我认为这里是桂林最好的一个景区了！
2017-08-05,未知,5,王者必去的地方，留下足迹，必成大器。我们感觉这个地方是旅游的好去处，服务态度也很好，免费讲解，学习了一下古代人对福字和寿字的理解。
2015-11-16,未知,5,在靖江王府里面的独秀峰，有块石碑上写着桂林山水甲天下的字，年代很久远的感觉，登上顶可以眺望桂林，山不高，说是风水很好的地方。
2019-12-03,未知,5,"独秀峰位于市中心以靖江王城内，孤峰突起,，陡峭高峻，气势雄伟，素有“南天一柱”之称。山东麓有南朝刘宋时文学家颜延元读书岩，为桂林最古老的名人胜迹。颜曾写下“未若独秀者，峨峨郛吧间”的佳句，独秀峰因此得名。假当晨曦辉映或晚霞夕照，孤峰似披紫袍金衣，故又名紫舍山。"
2019-03-07,未知,5,桂林的靖江王府由著名的风水大师刘伯瘟设计，他依据风水理论，把独秀峰放在了王府后院，独秀峰就成了王府的靠山，也造就了这个比明朝历史还长的靖江王。独秀峰高五十多米，几百年来无数文人墨客留下众多墨宝，为独秀峰增添了光彩。
2018-08-25,未知,5,门票有些贵了，团队游客比较多感觉嘈杂，不过旅游旺季到处都这样吧，每个点都要等前一批游客走了才能进入，好在景区有专门的讲解员，凑够一批就带领参观了，有讲解能够更了解景区的历史文化，适合孩子参观！参观结束就自己去攀登独秀峰，山道陡峭少有树阴，中午时分太阳暴晒，一定要做好防晒措施！
2018-05-08,未知,5,"独秀峰位于市中心以靖江王城内，孤峰突起,，陡峭高峻，气势雄伟，素有“南天一柱”之称。山东麓有南朝刘宋时文学家颜延元读书岩，为桂林最古老的名人胜迹。颜曾写下“未若独秀者，峨峨郛吧间”的佳句，独秀峰因此得名。"
2019-03-21,未知,5,独秀峰座落在靖江王府内，是王府后花园的一座小山，就象是王府的靠山一样，登上独秀峰，可以一览桂林城市的全貌，更可看远处浓淡相宜的群山。独秀山刻着一首诗，这里就是“桂林山水甲天下”的出处。
2017-11-03,未知,5,挺好的，站在独秀峰上可以俯瞰桂林，感受一下桂林的城市氛围，另外在这里买门票进来有免费讲解可以了解一下桂林的历史变革，另外广西师范大学就做落在景区里面在景区里面，给人一种清幽闲适的感觉。
2019-05-03,未知,5,独秀峰位于靖江王府内，是王府的龙脉之地，山顶可俯瞰整个桂林，是桂林的第一高峰，桂林的楼普遍偏低，就是不能高于独秀峰，接受了自然的馈赠就要做出相应的妥协。大自然真的太神奇了，感恩她的馈赠，让子孙后代欣赏到了最美的风景！
2018-05-11,未知,4,很值得一去的地方，跟导游讲慢慢走、慢慢说，别着急，这里是一个很古老，很神奇，风水很好的地方，当时去的时候，地下龙脉还没有开放，希望再去的人能有缘见到吧！石刻拓印非常漂亮，如果喜欢一定要带一幅回来，现在有点遗憾当时没带一幅回来。这里是原版的“桂林山水甲天下”。
2017-05-29,未知,4,这里还不错，景区有专门的导游讲解，小孩子非常喜欢，能知道很多桂林的历史，值得一去。喜欢风水的朋友更加可以来看看，里面有桂林的龙脉，有十二生肖的太岁，可以过来拜拜。里面还有科举考试，想考高分的朋友，记得写快点！时间非常短，能写多快就写多快！我家孩子刚写完名字就交卷了，还一脸不高兴！
2017-08-26,未知,4,景色相对于桂林山水来说，不算太秀丽，也不算太妖娆，到了王城景区，发现桂林还是挺会开发的，源应用了很多高科技的东西，以看电影宣传，可以有很多互动的小游戏。
2019-03-09,未知,5,在桂林独特的喀斯特地貌，造就了这里的山都不高，只有几十米至一二百米高。在靖江王里有一座山峰，名为独秀峰，高座落在靖江王府后花园，是王府的靠山。从这里能俯视整个桂林市。
2018-02-24,未知,5,携程购票简单便捷，节约时间，价格优惠，可以合理安排好时间，更好的游玩，景色优美，气派，有很深的文化底蕴，看到了桂林山水甲天下的真迹，收获很大。
2016-03-23,未知,4,位于桂林老城的靖江王府后面，非常独特的山峰，不高但很陡，爬山去10分钟，上面修的几个小庙，拜拜会收香火钱，可见桂林周边市景
2021-06-24,未知,5,独秀峰和靖江王城在同一个景区内，不单独售票，而且目前都是广西师范大学的校园内，这在国内古迹景点也算非常独特。独秀峰在景区走到底的地方，从入口进、到顶部，体力好些的5分钟登顶，石阶很陡。在峰顶可以看到桂林城区全景，峰林散布在楼宇之中，恍惚有仙境之感。
2020-05-26,未知,4,独秀峰在王城公园里面，公园也不大，走走就全走下来了。 独秀峰是可以爬上去的，但是路特别陡峭，下雨之后又非常滑，一定要非常非常小心，而且路很窄。中老年人就还是放弃吧。 山上可以看到半座城的风光，也是值得了。
2019-09-30,未知,4,独秀峰位于桂林市靖江王府景区内，开放时间：8:00-18:00，是桂林市区的制高点，市区的建筑楼层都有规定不得高于独秀峰。登独秀峰大概也就需用时十几分钟，在山顶可俯瞰桂林城区全景。这里有南天门、玄武阁、财神殿、魁星阁等景点建筑。西面观景台可以拍照，也有工作人员在拍照。楼下有取相处，大相片需要花费20元，如果不取的话，就只能把自己照片留在景区当做宣传贡献了。这点感觉不好，本来就是自己拍个照，结果工作人员也要给你相机拍照留念，觉得应该问本人同意在拍才对。
2017-08-04,未知,5,这里位于桂林城市中心，闹中取静！！！非常安逸，桂林山水甲天下，阅尽王城知桂林！除了漓江外，第二个五a景区！！！登山顶饱览城景！！山不高，但是很陡！！！还可以参加科举考试！也很有趣味性！！值得一来
2019-12-03,未知,5,独秀峰位于靖江王府内，山的东麓有南朝刘宋时文学家颜延元读书岩，为桂林最古老的名人胜迹，他曾写下“未若独秀者，峨峨郛吧间”的佳句，独秀峰也因此得名。
2017-02-23,未知,5,“桂林第一峰”峰顶是观赏桂林城山水景色的最佳地。历代众多的名人雅士在此留下墨宝题刻，“南天一柱”是桂林字体最大的摩崖石刻。“寿”字题刻为慈禧手书。
2023-05-10,安徽,5,独秀峰如擎天柱一样竖直耸立，峰顶的独秀亭似乎被托着一般，威严而又壮观。西麓有太平岩，东麓有南朝刘宋时文学家颜延元读书岩，为桂林最古老的名人胜迹。
2018-03-18,未知,5,不太好找，门口的古树显示了这里多年的历史古韵，进入王府，景区很漂亮，绿化很好，王府很气派，还有免费的导游讲解，值得一去，推荐
2019-03-22,未知,5,独秀峰有五六十米高，位于靖江王府后花院里，就象是王府的靠山似的，极好的风水保佑了靖江王。现在这里是全国文物保护单位，登上独秀峰能饱览桂林全貌。
2022-06-05,未知,5,门票小贵，但是很值，服务很好，有专门的讲解人员，讲述靖江王府的历史、建筑、龙脉、五福等，在这里有震感的视频，可以了解桂林的两江四湖、龙脉、地质构造、建筑物高度不超独秀峰等，我们的讲解人员小杨，又专业态度又好，独秀峰上一览桂林全貌，还可以体验古代科考、临摹五福，非常棒，很值得的一次体验。
2020-02-23,未知,3,独秀峰，位于桂林市靖江王城景区，是王城景区不可分割的一部分。整个王城依山而建，独秀峰就是王城的地理依靠，是王城的后屏障。 独秀峰是桂林主要山峰之一，位于桂林市中心，周围群峰环绕，宛如万山之尊，虽山势不高，相对高度只有66米，但周围很大面积地势平坦，所以孤峰突起，一峰独秀，陡峭高峻，素有“南天一柱”之誉。 独秀峰有自唐以来的历代石刻136块，为世人广为传颂的“桂林山水甲天下”也列于其中，其东南侧有南朝刘宋时文学家颜延之曾在内读书的读书岩，是桂林最古老的名人胜迹。太平岩位于独秀峰西南，因明朝时靖江王在洞里发现“太平通宝”而得名，洞内有60甲子神的摩崖线刻像。来到太平岩，寻找与自已的生肖相对应的年神，并对其有所了解，不失为游客在旅途中的一件趣事。山脚下还有中山纪念碑一座，铭记着孙中山先生的北伐大业。 站在王城的后城墙上，独秀峰的侧面浮现出极其神似一尊佛面，蔚为奇观！
2019-09-16,未知,5,独秀峰位于独秀峰王城景区。进去登山需要出示买票牌号。独秀峰的山脚就是刻画“桂山水甲天下”之地。这里环境清幽，旁边就是漓江
2016-04-29,未知,4,到了独秀峰 ，真是山如其名，就是独的一座山，不像桂林其他的山一般连绵，就像一个独立干脆的人。基于我跟我的小伙伴们都比较懒，所以最终就没有去征服这座山了。如果感兴趣的朋友可以去爬一爬。
2018-12-18,未知,5,还是不错的，首先天气很好，有专门的导游带我们游览，每人给配一个耳机，导游轻声细语的，比较好玩的就是拓福字了，希望2018年能福气连绵不绝。
2016-11-21,未知,4,故事很多，感觉导游一直引导消费，感觉不太好，问了本地司机说是可以免费进入的，感觉价格虚高，里面的60太岁感觉很神秘，其他不如叠彩峰。
2021-04-28,未知,5,独秀峰是桂林第一峰，空气清新，自然，舒适，爬爬山，锻炼锻炼身体，看看美景，令人心旷神怡，耳目一新的感觉，趣味性强，不错的选择。
2023-07-13,广西,5,王城在大学校园里，总体非常安静，先逛王城，全程导游讲解，各种互动活动也挺有意思，就是商业太严重了，互动的手工都是需要付款才可以带走，否则只能体验，不能拥有，独秀峰爬起来还是挺难的，但是并不高，山顶的景色一般吧，总体还可以吧
2020-10-16,未知,3,桂林独秀峰 独秀峰位于广西桂林市中心的靖江王城内，它是王城景区不可分割的部分。孤峰突起，陡峭高峻，气势雄伟，素有“南天一柱”之称。海拔216米，高66米。山东麓有南朝刘宋时文学家颜延元读书岩，为桂林最古老的名人胜迹。颜曾写下“未若独秀者，峨峨郛邑间”的佳句，独秀峰因此得名。 100元的门票太离谱了，桂林所以景点的门票都特别高，大概桂林就靠旅游生存了。
2018-10-04,未知,5,参观了比较完整的明代番王府的建筑规制，广西师范大学旅游专业的院校占了王府的一角。门票包含了专业讲解，检票处统一安排一个讲解员带30个游客。讲解比较专业，拓福和贡院会试两个环节比较有意思。不过整个流程商业味太重，文化味就变味了。
2017-10-22,未知,4,独秀峰就在广西师大，靖江王府里。景区可参观靖江王府介绍制作福字拓片（带走拓片需另外收费）。接着可以拜太岁或者请太岁，可以找到对应自己的太岁。接着可以攀爬独秀峰在顶峰照相留纪念带回家，看看山中城，城中山的景象。最后还可以参加科举考试体验古人考状元的感受（中状元会期望买酒讨吉利）
2017-05-12,未知,5,赶在下午四点到了靖江王府南门 凭短信在门口换票进去的 景区解说员周康带领参观 一路下来 厚重的历史文化氛围 加上周解说员磁性的声音以及恰到好处的讲解 我在景区里收获丰富 比如 和硕公主 比如 60位太岁 比如石拓等 结束游览 自己登上了桂林最高的 独秀峰 拍下了期待已久的桂林城全景 真的很值
2017-04-16,未知,4,独秀峰 位于市中心以靖江王城内，整个地貌可以用“孤峰突起、陡峭高俊、气势雄伟”形容，素有“南天一柱”之称。因颜曾写下“未若独秀者，峨峨郛吧间”的佳句，独秀峰 因此得名。桂林整个城市的建筑高度都没有高过于独秀峰 ，据说高度高过于独秀峰 ，王爷未来的前途和发展都会受到影响。上去走了一圈，就给大家介绍独秀峰 的几处景点:
2016-07-13,未知,4,桂林市区孤峰众多，独秀峰是其中一个典型，瘦削而优雅，因此被冠以“独秀”之名。只不过它位于靖江王城之内，门票有点小贵，而且海拔也不算很高，与漓江也有些距离。如果不是特意游览王城，还不如登上伏波山、叠彩山观景。
2018-02-04,未知,5,值得一去，感受独秀峰的魅力，还有历史文物故事，来桂林必去独秀峰，景区还挺大而且导游什么的都挺好的，希望下次还可以来桂林，桂林就是山水甲天下
2024-10-07,甘肃,5,登高俯瞰桂林市，视角独特，值得一游！
2020-04-30,未知,4,独秀峰位于广西桂林秀峰区的王城路1号，是一座城市中心地带的孤峰，不怎么高，但由于周围的市区城市建筑物均不高，所以在独秀峰的峰顶上视野是比较好的。
2024-12-17,广西,5,幕导106号，服务热情，讲解了桂林靖江王府的历史与桂林的发展史，讲解过程仔细，与游客互动与交流，非常满意。桂林靖江王府比北京古宫建造还早，值得大家来参观打卡（讲解小团，而且免费）。
2019-05-08,未知,4,桂林独秀峰景色不错，纯天然自然风景，风景宜人，风光无限美，爬独秀峰是对自己的一种挑战，感觉不错哦！累并快乐着，趣味性强。
2018-03-30,未知,5,带着父母和宝宝一起去的，换票很顺利方便。里面有很多小互动，比如科举考试，印福字的拓印等，导游很尽职尽责，介绍那些都很到位。图片里美丽的花海是进门口后的景色，无需p图相当迷人。因为带着bb车所以没有爬独秀峰，那个独秀峰位置3d效果展示很酷炫，可以感受到景区用心打造每一个介绍。可以感受到桂林除山水以外深厚的人民气息。走的时候因为没搞清楚方向，找不到滴滴司机，拖着娃和行李，景区保安通情达理让滴滴司机来接我们，十分感谢，岁月流逝，仍充满人文关怀，感恩。
2017-12-30,未知,4,其实还是挺有意思的，里面有不少玄机，把古代的东西用现代的手段表现出来，商业方面也做得不错，文创也在推陈出新，不过还是应该务实在历史文化上。
2020-04-09,未知,5,孤峰突起，陡峭高峻，气势雄伟，素有“南天一柱”之称。山东麓有南朝刘宋时文学家颜延元读书岩，为桂林最古老的名人胜迹。颜曾写下“未若独秀者，峨峨郛邑间”的佳句，独秀峰因此得名。
2019-11-28,未知,5,独秀峰位于广西壮族自治区桂林市中心的靖江王城内，它是王城景区不可分割的部分。孤峰突起，陡峭高峻，气势雄伟，素有“南天一柱”之称。
2024-09-04,广西,5,好非常感谢，值得来来666666，景色宜人可以
2024-08-29,广西,5,欢迎来桂林，非常棒，值得一来！！！！！！！！！
2024-11-28,广西,5,老师讲的非常棒，105号老师非常非常的不错
