date,ip 属地,评分,comments
2018-06-17,未知,5,我是买的家庭票去的，说一下感受吧，1.太阳很大，但是乐园路上洒水防烫和降温的水管坏了不少，晒得皮肤脱皮。2.一定要人少的时候去，不然每个项目排队晒死人.3.取票排队、入园排队、充值手带租储物柜要排队，光入园就花了将近一到两个小时。 4，大部分的娱乐设施都开放了，只是还有一点点没有开放。 5、食物特别贵，一份饭单人吃36元，两个人吃饭就要将近80元，一份炒面25元，炒面故意炒的好咸好干，你绝对不得不买水喝。热狗五元，大瓶装的可乐倒出来，一杯一杯的卖，一杯五元，非常贵。6.沙滩冲浪的时候很多很多，很多人在水里吐口水，不过反正很多人都这样，大家都习以为常了。
2017-07-17,未知,5,夏天玩水首选，景色也很美，非常适合亲子出游。性价比也还行吧。交通也方便，我们是自驾游去的，一路非常好走。喜欢玩水的小伙伴可以去玩玩。
2016-07-13,未知,5,玩疯了，里面设备好多，进去玩了四个小时，很值，都是好刺激的，园区非常大，水上乐园的海啸区，特别好玩，还有大喇叭，果断都玩了两次，感觉好过瘾。
2017-07-28,未知,5,早上9点半到园门口，很快工作人员就验证换好票，可能是太阳太大，早上的人比较少，我们几乎不用排队玩项目，到下午5点，夜场的人来了，跟下饺子似的，果断撤了。当天几乎能开发的项目都开放了，玩得很开心。
2017-07-23,未知,3,浴室进门一大块地方没铺垫子小孩滑了一跤，又没用防滑地砖，洗澡水也全是冷，大人是无所谓，小孩受不了吧！建议改进，那么多小孩去水多了摔坏了谁负责。
2016-07-23,未知,5,非常好非常值得去，我们一家人去的非常好玩，我们还去了很多地方里面的设施非常的多，人也非常多，这个暑假我还要再去两次带上小孩
2017-08-20,未知,5,携程网非常方便，定好票直接去取就可以了，简单快捷，水上跟陆地乐园环境好，游乐设施齐全，惊险刺激，是大人小孩都喜欢的乐园。
2018-07-30,未知,4,还可以吧，我们是快10点左右到的那里，特别热，大家一定一定要记得涂厚厚的防晒，要不真的第二天皮肤痛到你怀疑人生……冲浪下午1.30才开始，吃的不怎么好，味道不喜欢，其他还不错
2017-08-03,未知,5,太刺激了，游乐设施很齐全，就是☀真的真的好毒，全被晒伤大部分项目都玩到，过山车恐怖又惊险，海还刺激，，大喇叭玩了3次，，晚上的冲浪超够感觉，嗨翻天了
2017-07-17,未知,5,设施很齐，工作人员非常负责。大朋友小朋友都玩得很开心！
2017-08-12,未知,4,总体来说，价格偏高，可玩性还行，海啸池做得不错，沙子很细，水园还不错，路园一般，亲子套餐进来的话，没有多少适合1.2米以下的设备，建议园区改进，不然会少很多客户！
2019-03-03,未知,5,值得一去，夏天亲子的一个好去处，从桂林出发大概车程一个多小时，里面有游乐场，有泳池，大小喇叭很刺激～还有漂流～唯一乐园里面吃的东西品种太少，希望改进～
2017-05-25,未知,5,总体来说还不错，夏天的一个好去处，里面项目很多，有水上的和陆地的，不过陆地的我们都不敢玩都是些大型的过山车什么的看着就觉得恐怖，门票一点都不合算不能买分开的票陆地项目一个都没有玩有点坑人。水上项目我最喜欢海啸了太好玩了，大喇叭有点刺激，沙滩可以挖硬币幸运的话可以挖到黄金，不过我们没带工具就没有挖用水的话沙子太烫了。
2018-08-27,未知,5,挺好玩的，不过我们买的是夜场的票，晚上会有点冷，泡在温泉里就好了，特别好玩，还有那个冲浪，第一次差点把我吓哭了，然后后面越玩就越好玩了
2018-07-23,未知,4,还不错，票价有点小贵，储物柜还要另外收20元。其他还行，挺好玩的。上次玩日场，大太阳晒得要死，这次玩夜场，人山人海，玩一个项目排队排老长了。
2017-07-23,未知,5,去的时候太阳很大 后面下雨了 不过还是很好玩 有很多项目都不太敢玩
2019-05-02,未知,5,贼好玩！羡慕很刺激！不去会后悔哒。大摆锤印象深刻！大摆锤×4！
2020-10-18,未知,5,玉圭园，每年夏天都会去玩，水上乐园非常造合孩子，有小童区、大童区、温泉区、冲浪区……有趣好玩，景色不错，体验很好，值得推荐，
2019-07-28,未知,5,【景色】 【趣味】 【性价比】都还好，特别好玩一定要去 第二次去了，不去会后悔滴。
2017-07-25,未知,5,很好玩，很刺激！小心脏都有受不了??
2016-07-13,未知,4,非常不错，人特别多，项目也都还不错
2017-08-31,未知,5,人挺多的 游乐设施挺多的 不足的就是有些没开放 大喇叭小喇叭太刺激了 建议玩不了刺激的朋友别玩大喇叭
2017-08-19,未知,5,玩得很开心 好评好评 大家注意防晒哟
2017-08-31,未知,5,非常开心，非常好的一次体验，订票很方便。玩的很开心
2019-07-24,未知,5,不但方便快捷，关键是是比你直接去窗口购票（携程也要到窗口取票）优惠很多。门前有非常多的免费停车位。只是可玩的项目不多，遇到节假日有很多项目都是不开放的，明显的场地指引也不够。
2017-08-27,未知,5,不错，就是今天天气下雨，有点小冷……玩的东西也有蛮多☜
2019-07-21,未知,4,朋友一起去玩挺好的，就是我们之前去没有夜场，然后很多娱乐项目都还没开，不过玩的还挺开心，下次还会跟朋友一起玩一次
2016-08-12,未知,5,对里面的项目非常满意，小孩也很喜欢，就是里面吃的东西太贵了，特别是里面下暴雨特别不方便，我认为应该弄个借伞服务，希望我的建议能够被采纳！非常喜欢里面的大喇叭，如果以后吃的东西再卖便宜点，我就会带着家人常去的。
2017-09-02,未知,5,取票方便快速，俩园一起玩建议先玩水园，不过陆园人比较少，不知道是不是白天的原因，遗憾的是设施有些没开放不能玩，总体来说是比较愉快的一天
2018-08-27,未知,5,特别好玩，冲浪第一次玩的时候很害怕，然后慢慢的就感觉超级好玩了，大喇叭好刺激，我一直都在叫
2019-10-08,未知,4,虽说是好玩但是我去的这个天气不适合很冷人很少项目没几个开的，之前是天气热的时候去的简直在里面就是天堂陆地那个的也很好玩但这次陆地一直没开不知道为什么还是推荐夏天去
2018-06-23,未知,5,夏天就要来玩水，特别喜欢冲浪的感觉，好像回到童年时光了。胆子有点小，很多项目不敢玩呀，下次要和胆大的朋友一起来，哈哈哈哈
2017-08-15,未知,4,买的夜场，四点钟玩到六点这样，就玩了几个项目而已，因为逛了一圈，也就那几个项目我不知道是我没找到还是怎样，观望了半天，过山车也没车过，陆园真心没看到……然后在海啸里玩了半小时，不会游泳很惨的，眼镜还掉了……
2017-08-10,未知,5,这个水上乐园不错哦。小朋友玩得都不想走啦。就是由于身高限制，小孩有很多项目都不能玩。总体还是不错的。
2016-08-12,未知,5,我们是三家人一起去的，一点钟入园，一直玩到八点多钟才出来。陆地乐园里的项目非常刺激，到处都是惊叫声；水上乐园的项目也很棒，大喇叭很有代表性。里面非常大，玩的项目非常多，还有动感的电影让心情舒畅，对这次的旅程特别满意！
2017-08-29,未知,5,冲浪很爽，过山车刺激，总体设施都很不错
2017-07-24,未知,5,很好玩，人也不多，不用排很多时间的队。小朋友很喜欢
2017-03-13,未知,5,玉圭园在桂林市重点打造的两大游乐园之一，主要以水上极限性游戏为主，不敢玩，就站着看别人玩。
2017-07-22,未知,5,去的时候人不是很多几乎不用排太久的队 7个人玩的很愉快 虽然晚上下大雨了
2019-07-29,未知,5,我们是第一次去玩，感觉好刺激，今天我都没怎么玩，下次去一定全部玩到
2017-09-03,未知,5,套餐很划算！赶在开学前，带小朋友们一起去玩，小朋友们玩得很开心！
2019-08-12,未知,4,周末带孩子玩的好地方，玩得非常开心非常过瘾，每年夏天都要到这里玩，就是如果设备开得多一点就好了，感觉还没玩够，下次去希望没开的设备都能开，期待
