date,ip 属地,评分,comments
2018-03-01,未知,5,我给这次旅游的两位导游打满分。特别是这次在桂林的周导游服务非常好，工作细心周到，不辞辛苦，为老人所想贴心服务，当我们在我们遇到困难时能够主动的想办法为我们排忧解难，比如，我们在北海到桂林坐火车时，晚上9点多提前在永福南站下车了，对我们老人来讲安全问题旅游的行程问题都遇到了很大困难我们非常着急，这时在桂林的周导演能主动的为我们十分钟内联系滴滴车从永福问拉到了桂林，我们很感激很感激，她为人高尚拒收感谢，在此我们希望单位对周导游予以表扬！也为贵单位和贵单位的领导点赞！谢谢啦！
2016-10-24,未知,5,一个买东西的地方，玉石的品种蛮丰富的，但不知道质量咋地？
2016-09-05,未知,5,很有底蕴的一家博物馆，里面的东西很丰富，值得来看看呀！
2016-01-27,未知,5,地方不大旁边就是两江四湖里面的玉石上面都有很有油
2016-11-24,未知,5,陪外地来的朋友去看看，还不错，品种蛮丰富的
2022-06-10,未知,5,山的瑰宝--玉石，给人富贵之感。
2021-02-26,未知,5,非常美丽、、、、，、：：、、、
2016-12-01,未知,3,这里让人叹为观止的是那长达29.99米，高3.5米，重达100多吨的全南玉精工雕凿而成的九龙合壁
2023-01-30,广东,1,千万别上当，带去每个屋会说讲解员是实习生，董事长来检查什么的，然后董事长说他的创业史，把他97岁的老妈拿出来骗人的，一步一步骗人的。不知道这么光明正大的骗竟然还给好评！
2021-06-08,未知,1,认准这个地方，就是个团队游卖翡翠鸡血玉的购物点，东西嘛，你懂的！
2024-03-23,新疆,1,根本没有开，正门进去是足道馆，出来右转上室外楼梯侧门，见图片
