date,ip 属地,评分,comments
2019-07-24,未知,5,我们住田头寨山顶客栈叫景正度假山房，特意挑选了不要走太远的客栈带着一大家人有老有小，下车走50米就能到达很轻松，客栈背面是寨子正面是280度广阔梯田视野。房间落地窗加独立大阳台。正个人就像在画里，景色超美！
2017-08-26,未知,5,景色不错。就是路途遥远啊！到客栈有约20分钟的路好烂，抖得我感觉时刻都要翻车了。进了景区大门，三路18弯，弯得我都快吐了。坐车时间太长，小孩都坐哭了。
2018-04-02,未知,5,真的很不错，特别是住了金坑湾精品酒店以后，感觉很舒服，推荐大家去住
2018-08-15,未知,5,我嫌上山太累了，找了一家离坡最近的客栈叫 空山无间，还是挺近的，不下雨的时候坐在外面休息很舒服，看看这边独有的景色
2017-10-11,未知,5,交通不太方便，车子只能开到山脚下，住宿的人们大包小包地走着崎岖的山路。但这里离一号二号观景台都很近，用餐也方便，景色也美。
2019-08-20,未知,3,从山脚爬上来半山的一个寨子，这个寨子里还有一些住宿的农家院，看起来也还是不错，木楼，装修还可以，不过想想要从山下提行李上来也是醉了。这个寨子没有下面大寨修得好，格局看起更老。
2016-11-23,未知,5,田头村在1号和2号观景台之间，地上有路标，我们中间在那里休息过，遇到一个老爷爷带着小孙子在捡石头，感觉如果没有游客生意的话他们生活真的不容易，这么美的山，于他们来讲也是阻碍。
2019-06-06,未知,5,很美 一直下雨 可下雨天有雨天的美吧
2018-07-13,未知,5,清晨梯田真的真的美！值得再去！
2016-04-01,未知,4,走到田头寨，找二号观景台标示，就是那种木头牌子哦，走的路上会看到七星追月。要沿着石板路走，不认识就问当地人，这里人还是挺淳朴的。
2016-07-19,未知,5,田头寨在半山腰，离七星追月和千层梯田较近，也就是十几分钟路程。离第一观景台约三十分钟路程。离大寨门口也是约三十分钟路程。
2017-06-22,未知,5,里面绕来绕去很容易迷路，寨子有很多旅馆，要是自己拿行李爬上来很有难度。当然寨子外风景绝美。
2017-10-07,未知,5,景色美，景点分布广，黄金周也不会觉得人挤
2021-12-10,未知,4,一家离坡最近的客栈叫 空山无间，还是挺近的，不下雨的时候坐在外面休息很舒服，看看这边独有的景色
2016-06-17,未知,4,景区里的几个寨子之一，一般徒步都会经过，梯田美景也差不多，可以在此用餐。
2018-08-28,未知,5,值得一来 景色怡人 壮观 住宿也方便
