date,ip 属地,评分,comments
2016-02-02,未知,4,骑车的路上，田家河一带未开发的群山、茅草、农舍、田地在我的眼里都是美景，比围圈起来的公园或景点更具真实感，更有可观性，更能感受到桂林山水的原始与原生态。附图中有一幅路边上的小象山，像一只走失的小象； 还有一棵蓖麻和香蕉，也能让大家真实看到群山中的桂林农村。
2019-12-02,未知,5,印象刘三姐实景演出就在这条河上面。当初张艺谋他们能选中这里，创造出第一款实景演出，可想而知，这条河的风景肯定很美。在河边走了一下，确实如此。
2018-08-16,未知,5,到江边坐20元的竹筏一个人。游览一下江景，两旁山水非常的清秀，使人仿佛就在图画中。桂林山水甲天下，阳朔山水更美。所以这里的人气很旺。
2018-06-21,未知,5,田家河位于渭南合阳的知堡乡，旁边是方镇乡、如今在平原地方比以前环境好多了、在临皋村与西桌子之间。这里山清水秀、风景怡人，具有独特的自然条件和宽松方便的投资环境。 田家河村现有有十几户人，有100人将近，耕地面积1050亩，人均收入1200余元。该村耕地多为沙质土壤，且昼夜温差大，加之村民多施以粪等农家肥。2008年，田家河村开始挪，后来铺设水泥路1.5公里；投资6万元，打通了循环路4公里，使4个自然村相连，方便了村民出行。
2016-02-11,未知,5,就在阳朔县城外不远，俺是骑行路过这里的田家河石桥才知道的，也是一处观景的佳地啊。
2018-02-24,未知,5,古香古色的乡村游，相信你来了就会住两天的。
2018-02-23,未知,5,河水很干净，清澈见底，可以看到鱼在里面游动
2019-07-29,未知,5,喜欢这里，自然，宁静，想在这里生活下去
2017-09-12,未知,5,可以过来瞧瞧看吧，这里的地方不错的。
2016-06-11,未知,5,景色还可以，散步看看吧，悠闲转转
2017-10-05,未知,5,山水如画，空气特别的新鲜干净哟
2018-02-18,未知,4,十里画廊里边很多景点要钱，建议先在网上买好！
2017-10-24,未知,4,这里的风景比较独特，很喜欢。真的是太美了啊。
2017-10-02,未知,4,田家河真的很不错的，可以去看看
2018-01-29,未知,5,田家河风景漂亮，山、水都很美，值得一去。
2017-05-09,未知,3,景色还可以，就是有点落后，趣味性一般般。
2018-02-06,未知,3,景色其实还好 很适合徒步的样子
2017-10-06,未知,2,总体来说感觉一般般啦，没什么特色鲜明的地方，趣味性也一般般啦。
