date,ip 属地,评分,comments
2020-01-10,未知,5,离桂林不远有个田心村，这里四面环山，村中有湖泊，环境非常好，犹如世外桃源！这里历史悠久，出了非常多状元和学者！村口有个经典的状元桥是网红拍照点！
2019-04-17,未知,5,3月初油菜花盛开季节来到田心村，果然没有让我们失望。油菜花的景色很棒，更棒的是在两个状元桥的点缀下的山水之美。桂林山水甲天下，野村野景都是美。
2022-07-24,四川,4,田心村给人的印象是：原始、年代久远。状元桥是这条村的网红景点，还有专职的一头老牛和一个老爷爷，老爷爷的摆拍动作很专业，到位。老牛也很听话。他们是最佳拍档，这条村就是因为这座桥和牛，老人而成为网红打卡点的。村内古迹也不少，例如古城墙，村民很朴实，热情。是一个不错的旅游景点。
2019-10-22,未知,4,田心村是个小农村，也是个古村。位于桂林市中心不是太远，有汽车可到。乡间小路田园风光加上桂林的山水景色，如果碰上蓝天白云天气就更完美了。
2016-02-22,未知,4,想看油菜花的，这么地方非常值得走一趟！一片的金黄，村民回收几块钱的维护费！
2017-01-12,未知,5,非常漂亮的一个地方。适合摄影！
2015-12-24,未知,5,是在临桂的一个村。一直在临桂没怎么去。去了之后感觉人文风情不错。
2017-11-10,未知,4,这个村子离桂林市非常近，风景非常漂亮，村里人不多，有不少的历史建筑，有一定的人文研究价值。
2017-07-13,未知,5,很舒适，我很喜欢这里，每年都来
2021-08-11,未知,5,野生桂林的代表……严重推荐哦！
2015-12-24,未知,4,挺美的一大片油菜花。就像一副山水画，去的人也很多值得去看看就是在郊区很难找到开车路比较哪找
2016-01-27,未知,5,现在去没什么好看的春天去比较好有油菜花。
2017-02-15,未知,4,风景还不错的，农家菜味道好，纯天然绿色
2017-04-16,未知,3,玲玲心灵林志颖林飞机佛门热情的。
2023-01-22,浙江,4,桂林山水甲天下，阳朔山水甲桂林。田心村赞
2015-10-19,未知,1,按照介绍，在导航引导下一路颠簸找到。就一堆破民居，看不出古也没风景。还打五分。算白跑一趟
2018-09-06,未知,2,我这次来到是九月份，没看到油菜花，问过啊姨说春节过后才有的。
