date,ip 属地,评分,comments
2017-03-24,未知,5,地理位置超赞，就在榕湖边，现在改成了餐厅和精品酒店，里面的布置非常华丽，富有民国风。据说这个酒店白先勇也有投资，有户外的餐椅，直面榕湖和凯旋门风格的迎宾桥。喝下午茶超赞。值得一去，不过千万不要对茶点有期待，消费感觉。
2019-09-24,未知,4,白崇禧故居位于桂林市秀峰区榕湖风景区榕湖饭店里面，在4号楼白公馆旁边，这里是一座小黄楼，建筑风格色彩与李宗仁官邸相似，不过现在这已经不是一个故居展览馆了，而是该成餐厅和宾馆酒店形式了。可以在外面看看外观。白公馆旁边还放着一辆古董车。
2018-11-23,未知,3,白崇禧是桂林临桂人，他的真正故居应该在临桂区，而不是榕湖这里。榕湖这里的白崇禧故居是从军后的故居。故居就是照片中的那栋小黄楼，坐落在榕湖边的榕湖饭店院子里，它的右侧是白公馆的院子，院门上有白崇禧生平介绍。院里面就是白公馆，一栋很大的现代建筑，绝非民国建筑。这也印证了白公馆不是白崇禧故居的一部分，而只是榕湖饭店的4号楼，打出白公馆的旗号而已。要知道民国时候叫白公馆的是重庆的中美合作所，桂林不可能再有一个白公馆。榕湖饭店是4星级酒店，白公馆是5星级酒店。榕湖饭店院里除了白崇禧故居和白公馆酒店以外，还有中华金石园和榕湖美术馆。有意思的是白公馆门前的鹦鹉在地上跳跃着，见了人也不飞。
2021-03-30,未知,4,白崇禧是民国桂系的著名人物，他的故居位于桂林榕湖畔，是一座两层黄色别墅，也是他的儿子白先勇文学馆，但近期可能维修，没有对外开放，旁边有一个叫白公馆的酒店，也谢绝参观。
2020-11-29,未知,3,下午逛逛老桂林，沿湖边散步，遇见白崇禧故居，黄色两层楼，规模不算小，环境优雅。可惜的是，内部没有开放，只能外部瞻仰一下。旁边建了个白公馆，是个高端酒店，门口古董车，四十年代福特越野车，不错、赞👍！
2020-09-25,未知,4,这次到桂林比较遗憾的就是来到榕湖景区白崇禧故居门口而不得入。因为故居正在修缮，暂不对游人开放。白是桂系大佬，故居离李宗仁官邸不远。
2020-04-16,未知,5,白崇禧将军故居就在桂林榕湖公园附近，榕饭店里边。现在龙湖饭店正在扩建，原来的房子都拆掉了，，这次还是去看了一下白将军故居依然安在。
2018-06-27,未知,5,地方很大保留的非常好，享用了美食~比上海的地方更大
2020-10-04,未知,4,我记得应该就是这个别墅吧，当年拍大决战系列之南线大追歼。最后有一场戏，李宗仁先生和白将军在这里有一场谈话。最后将军还是主战，李先生决定出国。白将军追出别墅问李，我们还是李白吗？这应该是两位的最后一次会面了
2016-10-18,未知,4,嗯，反正周边景色一流，故居吧，一般般，主要是地段好，榕湖边上，还有白公馆酒店，在里面住上一晚也是不错的选择！值得去爱国主义教育一下！
2016-09-13,未知,5,哦，好像变成酒店了……房价还有点小贵，不过环境那可是一流，不在乎毛爷爷的，可以来入住一晚。榕湖边上，出入两个世界，好不惬意！
2019-12-07,未知,5,免费观看白公馆。就在榕湖边上。
2018-04-18,未知,5,白崇禧故居位于榕湖酒店内，后面是五星级酒店~白公馆。住在榕湖酒店便于参观，是中西式建筑，保护得很好。值得一游。
2017-11-08,未知,5,历史值得回味，历史由后人评说，历史人物要对历史负责。
2017-09-04,未知,5,景色宜人……趣味十足，性价比高的一次旅行……一如既往的五星好评！
2018-02-21,未知,3,这次去白崇禧故居，但是没有开门，据说正在维护，不过从外观上来看，白崇禧故居不大，只是一栋黄色的房子，如果时间多可以去看看
2017-01-23,未知,5,不错，很漂亮的地方。就是变成酒店了很恶心
2017-10-12,未知,5,门前有一棵参天大树，树下立有一石碑，上书“白崇禧故居”。
2019-04-09,未知,5,有历史韵味的古建筑.................
2017-11-19,未知,5,非常值得一去的地方，既可以欣赏美景，又可以增长知识！
2017-06-27,未知,5,著名的民国小诸葛白崇禧故居也坐落于此，上等的风水福地
2021-08-11,未知,5,这个景区景色很喜欢真的也可以有趣味啊性价比很高啊！
2019-04-05,未知,5,回忆历史，。。。。。。。。。。
2020-06-24,未知,5,这里名人故居很多对历史感兴趣的人一定要参观一下。
2018-06-23,未知,5,风景名胜区当然名副其实的，都是很喜欢哈哈哈哈哈哈
2017-06-13,未知,5,故居不是很大，介绍的很详细，还是很值得一去的地方
2018-03-03,未知,5,很有能力的历史人物，广西的杰出人才值得大家了解
2020-07-03,未知,5,桂系白崇禧的故居，有历史意义的建筑。。。。
2016-06-13,未知,5,来到这里，即可以感受历史，回归过去的年代！
2020-01-16,未知,5,这个地方值得一去，我们是自驾游去，不错
2022-01-19,未知,5,这个地方有历史韵味。。。。。。。。。
2016-11-30,未知,5,不错的景点，就是变成了酒店比较奇怪。
2020-06-29,未知,5,一幢有历史的黄色小楼。。。。。。。
2020-06-22,未知,5,值得一去的历史遗迹........
2017-03-21,未知,5,还不错，又想去的可以试试，相信自己
2021-10-17,未知,5,值得一看的历史古迹遗址。。。。。
2017-11-16,未知,5,周一闭馆嗯嗯，没法看真的很可惜哟
