date,ip 属地,评分,comments
2017-09-19,未知,5,“漓江渔火”是阳朔八大美景之一。昔日，漓江中的渔民夜间捕鱼，常常有数十上百的竹筏出动，汇集白沙河湾中，渔翁们点亮竹筏上的渔灯，以此引鱼上钩。那盏盏渔灯，阵阵水花，犹如夜空中繁星点点，映耀着穿梭在水面上的竹筏和在水中时隐时现的鱼鹰，令人叹为观止。我去看时就一条船。
2016-06-25,未知,5,他们是这漓江上到这个时期最后一辈真正的览渔翁，他们熟练同鸬鹚共同演艺夜幕下的渔火传奇故事！
2021-02-13,未知,5,我觉得白沙渔火其实不是在桂林阳朔的白沙镇。而是在桂林阳朔镇对岸河，因为我是在那里看过一次渔火表演。这次来的时候是白天，景色也不错。
2024-11-22,上海,4,名字起的很文艺很文艺，其实想看到照片上的效果挺难的，随便拍拍照片，要求不要太高就行！
2022-05-12,未知,5,白沙渔火是阳朔老八景之一，它位于阳朔大桥附近的漓江之上，每天傍晚时分都是渔民坐着一叶扁舟在此垂钓，与周边山水形成一副美丽的画卷。
2017-04-30,未知,5,风景秀丽，，。。。。没得说！值得一来！
2022-09-02,北京,5,白沙渔火是阳朔的老八景之一，也是漓江著名的景观。漓江流远阳朔的碧莲峰后因爱山峰阻挡形成了一道河湾，称之为白沙湾。附近的居民基本是渔家，以前每到傍晚，三五成群的渔民们划着竹排，点燃泊灯，赶着渔鹰在江上捕鱼，里罗棋布的渔火照亮江面，景色别致。现在以打鱼为生的渔民少了，要拍白沙渔火需事先安排组织，才能达到摄影效果。
2016-09-20,未知,5,流远阳朔的碧莲峰后因爱山峰阻挡形成了一道河湾，称之为白沙湾。附近渔家以前每到傍晚，三五成群的渔民们划着竹排，点燃泊灯，赶着渔鹰在江上捕鱼，里罗棋布的渔火照亮江面，景色别致。
2020-08-27,未知,5,桂林山水甲天下，阳朔山水甲桂林！就这一句就能说明阳朔的山水景色冠绝天下。因此玩就要玩的最精华的部分，所以阳朔是必不可少的景点，早说这里的缺点不外乎人多，熙攘而已。
2017-06-09,未知,4,白天是这样子的，晚上真的渔船不多，都是游船
2017-05-14,未知,1,！！！歪歪游国旅！！！ 及其差评 没有星 尤其是去漓江漂流 毫无意义 只是20元背景的 而且服务很差 江上更多船 而且还有催催催的旅游向导 但是景色很好是真的 只剩景色好了
2017-10-21,未知,3,没有渔民了，摆拍的渔民都没看到，听说上游蓄水，导致下游的鱼越来越少，而且也没年轻人愿意捕鱼了，只有特定日期才会由旅游公司组织人装扮成渔民供游客拍摄。
2021-02-22,未知,4,非常非常漂亮的地方，旅游累了的时候，总有歇息片刻的时候，这时你最好是来这样的地方，看看黄昏的江面星点的渔火，呼吸一口清新的空气，净化心灵。
2020-11-28,未知,5,这景色太美了！如画的美景只有我大中华才有，只有在东方才有的魅力风景
2019-08-25,未知,5,无论走到哪里只要有这种大型水上表演秀我都会看
2021-09-18,未知,5,和同事一早来到江边，真是一副山水画
2021-09-17,未知,5,漓江，不仅仅是风景如画，也曾是沟通内陆与岭南的战略要道
2019-09-26,未知,5,很不错的，非常具有诗情画意的场景。
2016-10-16,未知,5,值得去，玩玩还是很不错的，山水漂亮
2015-11-06,未知,4,距阳朔大桥不远、是一片沙砾滩、有些烧烤点、还有拍照、骑马、晚上夜景更美。
2021-09-17,未知,5,绿蓑衣、黑鱼鹰、渔火点点，就是一副中国山水画
2021-09-17,未知,5,中国山水画可能是写实不是写意，来了这感觉
2017-09-28,未知,5,景色很美，很舒服，太棒了！值得。
2017-08-06,未知,5,夜游的感觉比白天还美丽，更凉爽！
2021-09-18,未知,5,太漂亮太甜腻了，一副中国山水画
2021-09-16,未知,5,晨早到江边，江雾初起，渔火点点
2020-06-08,未知,5,风景秀丽！好似一幅美丽的画卷！
2018-01-05,未知,5,不管是傍晚还是白天 风景都不错
2022-07-01,未知,4,这里风景真的非常不错，值得推荐给大家。
2017-02-25,未知,3,有时间可以看看，不是必须的景点
2020-02-15,未知,2,人民币背景以外，也真的是免费景点？心惊哦。
2019-12-11,未知,1,很差，写的免费，90竹筏捆绑消费！
