date,ip 属地,评分,comments
2024-10-18,湖南,5,相公山景区位于广西桂林市阳朔县兴坪镇境内的漓江西岸，在黄布滩和九马画山两景点之间，距阳朔县城约28公里，距桂林市区约57公里。这里是观赏漓江风光和日出的绝佳地点，吸引了无数摄影爱好者和游客。 开放时间：相公山景区全年开放，开放时间为06:00-18:00。 门票价格：普通门票价格为60元人民币（1月1日至12月31日，周一至周日）。此外，还有提供门票加接驳车的套餐，价格根据不同的线路和服务略有不同，例如日出专线为90元，日落专线为80元。 优待政策：儿童（6周岁（含）以下或身高1.2米（含）以下）、现役军人、65周岁及以上老人免费；6周岁（不含）至18周岁（含）未成年人、全日制大学本科及以下学历学生、60周岁（含）至64周岁（含）老人享受半价优惠。 交通指南： 陆路：可从阳朔或桂林到葡萄或白沙下车后再租车直达山脚下，或者从阳朔直接租车或自驾车经白沙往右朝古板方向行走到达景区。 水路：从兴坪租船经过黄布滩到达山脚下，再步行上山。 旅游攻略：相公山不高，大约20分钟便可登上山顶，但山路较陡，建议穿着舒适的徒步鞋。山顶有多层观景台，是观赏日出和云海的绝佳位置。建议游客在日出前到达山顶，以占据有利的观赏和摄影位置。此外，由于相公山的景色受天气影响较大，建议选择天气晴朗的日子前往。 注意事项：由于相公山的山路较陡，建议游客注意安全，尤其是在人多的时候。同时，由于山顶平台空间有限，建议尽早到达以确保有良好的观赏位置。
2022-05-05,未知,5,相公山，地图上标识为“荷包山”，被称为“桂林摄影圣地”，桂林摄影必到的打卡地。 　　【路线攻略】：相公山地处漓江之畔，没有公共交通线路直达。外地摄友需在阳朔县城、白沙镇或者葡萄镇包车或租车前往，自驾车辆导航定位“相公山景区”即可。从兴坪古镇出发的摄友，需在兴坪古镇租船，沿漓江溯流而上，到“冷水村”下船，在码头另租村里的车辆，到相公山景区门口下车即可。 　　【最佳拍摄季】：4-8月，拍摄云海翻涌、日出霞光；10月中旬，太阳位置至漓江右岸山峰之上，可拍摄日出之时的刀切山峰光影。
2021-05-11,未知,5,【关于游玩路线和Tips】 兴坪古镇→码头出发🛵→打卡20元人民币景点（观景平台在路边，是免费的）→沿途可以看到朝板山、手套山、五指山、青蛙观天，美女峰等（只要你有想象力，那什么山在你眼里都好看）→抵达九马画山（停靠🛵），买渡江船票15块/人到达对岸→相公山（听说平时加10块可以让你的小电瓶车也过河，但是我们去的时候已经不允许电瓶车过了，说因为涨水不安全，所以我们选择双人包车，90块来回，去到相公山的路上会遇到很好好风景，例如甲天下、九马画山等，都可以请包车师傅停下来帮你拍照和介绍景点等）→渡船回九马画山→电驴回 ⚠️如果你是坐高铁站到阳朔，那么建议你出了高铁站直接坐大巴车到古镇，5元/人，15-20分钟左右一班 坐满发车 15分钟抵达兴坪汽车站 （所以旅友门不要坐小黑车咯） ⚠️兴坪汽车站可以寄存行李，10块/大件，建议寄存，轻装上阵 ⚠️兴坪汽车站回阳朔县（阳朔西街/汽车站）的大巴🚌每晚1900是最后一班🚌千万不要错过了！（10块/人，上车买票即可） ⚠️有很多人会选择坐船游览，我没有坐所以不知道体验感如何，但是如果你抱着看山看水的目的坐船/竹筏的话，我还是建议你不要把钱花在兴坪（因为我会有亲身体验的人工竹筏路线分享） 【关于相公山】 60块/人 我们上山那天是2pm 登顶需要15分钟左右 共有4层观景平台（景色最好的当然是最顶的两层） 🌇其实下午看不到夕阳哟，因为太阳正好在脑袋后面，不过黄昏还是值得等待滴 【关于电瓶车】 🛵20RMB一辆/天 一定要租！体验感太不错了💕一辆车可以坐两人 慢慢骑 慢慢欣赏好山好水 重要的是：想停哪里停哪里！ 用完后不用归还到原地 （这点还是很人性化的）只要还车前15分钟call租赁老板招呼一下就行 他们会到你的地方拿车并退还押金（一般是100RMB） 呕心沥血分享！Have Fun！
2020-04-22,未知,5,相公山是观赏漓江山水风光的绝佳位置，摄影的天堂，特别是日出，大批摄影爱好者慕名而去搞创作。适合自驾或者包车去，或者在山脚找家民宿住，住民宿会给票据期间可以多次进入景区，适合摄影爱好者们。门票60，略贵。
2018-08-18,未知,5,八月十四日，多云。 住阳朔县兴坪镇对岸一个渔村里的客栈，距离相公山路程约3公里，其中有2公里是尚未修建的乡间小路，坑坑洼洼，车子开不快，就这2公里路就开了40分钟，然后再开5分钟修建好的上山道路就到景区门口。 包了一辆9座金杯面包车，280元。天没亮4点半出发，一路颠簸，到景区门口，买票，60元一位，再登山约20分钟，台阶修的不错，还有路灯。 到观景台，已聚集了不少人，有许多摄影爱好者占领有利位置，架起长枪短炮，等待东方吐白。这天日出是6点11分，地平线日出方向始终多云，约到6点25分左右，朝霞透过云层，映衬着群山，那个美哦！ 大美漓江在这里拐了个大弯绕着婀娜多姿的群峰盘旋起舞惊艳了世人，这就是“漓江第一湾”的绝美风采。 说实话，游漓江就去两个地方，一个是在相公山看日出，另一个是老寨山观落日。其他地方不去也罢，都是坑！坑你没商量！什么十里画廊（这是个大坑！！每个所谓景点都得买门票，既贵且不值）、西街（就是商业街，没什么特色）、电动竹筏游漓江（兴坪镇上的一个码头买票（98元一位）上竹筏，竹筏开的飞快，到九马画山掉头回程，后来知道要给筏工小费，可以开慢些，有些两岸风景的解说。来桂林不游漓江又说不过去。）
2017-05-17,未知,5,是阳朔最值得去的地方之一 我今天租了自行车从阳朔走七仙峰的山路前往相公山 游览完毕后从其旁边小路一直下坡沿途可以看九马画山的风景 这条路尽头就是渡口 自行车可以上船到对面 途经漓江人名币20元背景的风景拍摄点和码头 非常繁华 千叶泛舟 一路下去直捣兴坪古镇 绕一圈上公路平路30公里回阳朔 这是我开发的线路个人觉得满意分享给大家 全程68公里左右
2017-02-06,未知,5,朋友介绍的，我相公说要不走寻常路，这种旅行社不去的地方就对了。不同的视角看漓江，妙。可惜这几天雾霾严重看不到日出。旅店一百多块一晚很干净，厕所还有座蹲厕两种，厉害了，漓江山水种出来的菜超甜，如果不是还要继续旅游肯定就买一把回家了
2016-10-07,未知,5,来阳朔很值得来的地方，开车从国道拐进去山路还要走四十多分钟，道路不宽，两旁有的地段没护栏。到达相公山脚要门票60块才可以爬山。这次去到太晚了没光了，没进去。就在山脚车道拍几张，就是开车注意小孩啊、村民的牛啊狗的。
2015-12-05,未知,5,相公山，是阳朔的一个小众景区，一般游客比较少，但是自然风景是最美的。可以一览漓江美景，尽收眼底，是摄影爱好者的最佳去处，今天的天气不是很好，有点雾，如果是晴天去玩，风景肯定最好，因为桂林2015年常年下雨，造成漓江水一直都是黄色的。在冬季少雨，漓江水清的时候在这里就可拍出你想要的相片，几个朋友约起一起去玩下爬下山，看看美景还是不错的。
2019-01-07,未知,5,讲真，美的并不是相公山，而是漓江，相公山只是观赏漓江最佳之地罢了。但漓江虽美，若无此山作为看台，亦要减势几分。相公山成就了漓江美名，同时也收获了人气。人生亦如此，有时俯身为他人，其实也在成就自己。
