date,ip 属地,评分,comments
2020-02-07,未知,5,就在阳朔公园边上，也应该是一起的，要问下当地人！在离开阳朔的时候导航开车居然发现了碧莲洞！也算是到此一游无一遗漏了！可惜了停车不是太方便也没能拍下照片，景点不收费的！ 【景色】 【趣味】 【性价比】
2020-03-19,未知,5,地址位于阳朔县西街旁，属于溶洞景观，据说徐霞客曾到此游览，称赞此处奇特景观。洞内有讲解员，需要想象力，还有几分钟的3D特效电影，碧莲洞传奇，有两处拍照的地方，但不强制购买照片，如果觉得拍的好可以要，不想要就不要，但恕我直言，拍的真丑，不想多看一眼啊，好了，人丑也没办法了。
2017-06-26,未知,5,著名的碧莲洞风景区，位于桂林阳朔县。是一个天然的，溶洞。门口有观音塑像，优雅肃穆。洞内五光十色，可以感受大自然的神奇，鬼斧神工！
2018-06-01,未知,5,离西街很近，逛完街来这里看了看，好像是重新升级了，比网上看的好多了。里面景点挺多的，而且超级凉爽，很舒服
2019-04-11,未知,5,阳朔有很多景点，这个景点不算是有名的，也不算是最好看最值得去的，它在阳朔公园后门，离主路比较近。因为阳朔公园是免费开放的，如果你有空逛阳朔公园，可以顺道去看看碧莲洞也不错。
2019-09-18,未知,4,碧莲洞位于阳朔县蟠桃路，在阳朔公园后门钟灵山内。门口有座观音雕像。碧莲洞开放时间：8:00-18:00。门票全价32元。 景区内有大小溶洞共20多个以及不同年代的钟乳石。洞内非常凉爽。 这里也因明代地理学家徐霞客曾经来过并在洞中题词“洞分八门，沟莲曲畅”而倍具传奇色彩。
2017-03-05,未知,5,就住碧莲洞边上的客栈，刚来一眼就看到了眉清目秀的观音像，顿时内心感觉到了一丝的平静，南无阿弥陀佛！上边还供奉着几尊小佛像，南无阿弥陀佛！
2018-08-16,未知,5,在广西省桂林市阳朔县，就在县城里，交通非常方便。洞不是特别大，讲解员讲的非常好。洞内非常阴凉，潮湿，还有山泉不断流出。避暑好地方。
2016-05-13,未知,3,其实景点的位置很靠近阳朔县城中心区，就在阳朔公园西边的山脚下，步行到西街还不用15分钟。只不过国内的景点确实非常冷热不均，要么人头汹涌，要么惨淡冷清。说是自2014年关闭改造升级，但我16年五一节去还没有开放，大门紧锁着，也没有见到附近有什么游人。岩洞有点狰狞，加上潮湿，不太喜欢。洞前的观音像显得很孤独。
2021-05-07,未知,4,阳朔碧莲洞景区，其实是一个比较小的景点，推荐的理由不是很充分，但是他在阳朔空园旁边，如果有人阳朔旅游，有空想逛一下公园，然后找个地方纳凉的话，意义连栋栋确实是个很好的选择。
2020-09-06,未知,4,碧莲洞就在阳朔公园近旁，其实应该是一部分，只是需要单独收费而已。公园可以登高览县城全景，是老牌公园，风水宝地啊！360度一览无敌全景，早知道来欣赏日出日落，下次吧。
2020-07-18,未知,4,碧莲洞位于广西阳朔县城中心公园钟灵山内，因山形象钟，洞内有一石钟，又有观音和仙人在洞内修炼，百姓敬仰，颇有灵验，故叫钟灵山。
2017-03-06,未知,5,桂林山水甲天下，阴朔山水甲桂林一点不错。美大家都知道，可太美了，美的让人不能自己太神奇了。碧莲洞就是这样的一个地方，您会去了又去，看了再看的感觉。
2022-04-26,未知,5,因山形象钟，洞内也有一石钟，又有观音和陈抟仙人在内修炼，百姓敬神，颇有灵验，故叫钟灵山，又称陈抟山。整个山峰共有大小溶洞二十多个，而且洞洞勾连相通，层层叠叠共有九层云天，因洞内有数百朵形态各异的石莲，故名碧莲洞
2021-04-03,未知,4,说实话这个景点不算是很有名，很多有名的点在世界任我评论里面都没有。这个阳朔的小景点倒是有。建议这个评论板块要升级了。不过在阳朔旅游停车场附近的这个碧莲洞还是可以看看的。
2019-09-22,未知,4,在阳朔，这个景点不算是太有名，也不是很大，景色趣味性也很一般，一般是团队来的多。但如果有时间，也可以去走一下，顺便逛逛公园也不错。
2016-12-31,未知,5,可以上香求菩萨保佑．不错．呵呵
2016-03-07,未知,3,阳朔街头闲逛路过的一个景点，在碧莲峰下，阳朔到处都有山、也很多溶洞，没有特别进去看。
2021-03-26,未知,5,阳朔本地人又称龙洞，据传洞内有九条神龙因此得名，洞中的石莲、石柱、石笋众多。
2019-07-23,未知,5,怎么说，反正不一般，一般人也不会去。都是有内涵的人才会到这样的地方。
2015-11-06,未知,4,在县城内、离阳朔公园很近、在碧莲峰山脚下、风景还是不错的。
2019-11-10,未知,5,碧莲洞 【景色】灯光漂亮 【性价比】不高 【趣味】有趣
2021-02-28,未知,5,石莲、石柱、石笋数以万计，天作神奇，蔚为壮观
2021-06-01,未知,5,其实岩洞都差不多了，既然来了总是要打卡的
2020-08-07,未知,3,景色一般，可玩性低，体验不佳，性价比低， 携程上订了票，到地说没开通网上订票，搞了大概20分钟才放我们进去，对于一些问题解说员直接忽视（当时就两个人），而且解说员随便搞搞就结束了 ，大概15分钟结束了参观
2017-09-12,未知,5,还可以吧，推荐一下给大家。过来瞧瞧看吧。
2020-11-29,未知,5,好美丽的风景 好清新的空气 很舒服的氛围
2017-07-23,未知,5,还是很不错的，总体来说比较推荐。
2015-11-30,未知,3,旧旧的感觉，不过去西街会路过，没事儿时间多的话，还是可以溜达溜达的
2016-11-06,未知,3,就是外面看起来像个莲花苞，里面没啥好看的，得看远景好看
2017-02-01,未知,3,值得一提的是，人与自然环境和谐！
2020-10-10,未知,1,个人承包景点 编个故事忽悠人 外面看看就行了
