date,ip 属地,评分,comments
2016-01-27,未知,4,神龙水世界度假区景区一期推广主题：乐水幽谷·神龙野趣。现已对外推出乐水幽谷、饕餮美食、度假酒店、山吧等项目。目前，乐水幽谷的瓜果长廊、水车阵、九宫气场、彭祖宫、龙山茶栈、龙凤呈祥、草上飞龙等已对外开放。游客在静谧的山谷中品尝各类蔬果；零距离玩转水车；在九宫气场中养眼、养心、养肺；龙山茶栈品茗畅谈，欣赏孔雀东南飞；年轻人挑战激情的草上飞龙；静步在山林小道。
2017-07-21,未知,5,桂林神龙水世界景区，“动感东岸，乐活天堂”，是漓江东岸旅游线上的重要组成部分。景区内绝色美景，空气清新，森林覆盖率高达80[%]以上，古龙文化渗入到每一处景观中，给人们带来福气。
2021-03-08,未知,5,【景色】最喜欢😍这里足浴啊！
2016-12-24,未知,4,神龙养生度假区坐落在漓江东岸，远离喧闹的市区，有着葱郁的植被和清新空气，是一处主打水文化、古龙文化的休闲度假区。
2016-10-20,未知,5,位于漓江东岸，大门大门很独特哦，树木很多，还有瀑布，自然景观非常的美哦
2019-02-11,未知,4,心随自然的概念度假木屋、农家生活以及养生气场、滑草场、溜溜龙水滑道等众多游乐项目。很是休闲惬意。
2015-11-02,未知,4,沿着漓江边而建的一个休闲、游乐、度假景致、安静、空气很好、江水清澈、环境优雅、很适合休闲。
2016-10-11,未知,5,环境特别优美，空气特别清新，绝对值得一去！
2023-01-08,北京,5,【景色】不错 【趣味】不错 【性价比】不错
2016-10-15,未知,5,景色很美的，价格很便宜，有特色！
2016-12-25,未知,5,风景秀丽的自然风光、值得推荐！
2016-10-22,未知,5,很好玩恨喜欢的一个地方..很好
2017-03-07,未知,4,景色优美，是休闲的好去处，环境非常好。
2022-03-28,未知,4,地理位置优越交通便利，不一样风格
2016-10-22,未知,4,那里的风景还可以，大家要去哟。
2016-09-25,未知,3,值得一去，环境很不错，天然氧吧
