date,ip 属地,评分,comments
2017-07-10,未知,4,街道外面的景色。从这进去就是我们福利镇的中心，里面有菜市场，水果行，糖果饼干等小食品，吃的主要是米粉，快餐，还有特色小吃艾叶粑，油炸粑，三角粑，有几家米粉很不错的，只不过第一次来的很难找到。穿过闹市，进入老街，那才是你们的目的地，不过看惯了商业化古镇的你们，未必能接受我们这样的小镇。比较简陋，清幽，适合喜欢安静的朋友。这里没有那么多小玩意卖，散散心是可以的，民风淳朴，景色宜人。哦对了，福利镇到阳朔县有公交车，蛮方便的。赶集的时间为2号，5号和8号，依次递推，到时候小镇就会非常热闹，大家都出来买卖东西，当然，也会很拥挤。好了，说了这么多，欢迎大家文明旅游。
2016-01-29,未知,4,福利古镇 不大，走过制扇区没一会就绕回我们刚老街时的那个路口，至于景区手册上写的那些有看头的风光貌似也都是分布在水边奇峰异石之类的景观，我们没有走过去罢了。看那些外国友人参观完陆陆续续上了旅游大巴开走，我和小毛还在毒辣辣的太阳下找寻可以落脚休息的地方。这里确实不同于兴坪，并未靠近漓江 精华段吸引不了太多过路游人，自然也就没有过多偏向闲情雅致的旅游发展，镇上的居民一边保留并推广传统的扇画工艺一边继续自己的生活，可以说福利古镇 还依然保有独特的原味。
2021-03-03,未知,5,阳朔这个风景优美的地方，除了有名的兴坪古镇意外。还有一个福利古镇，历史也比较悠久，风景也很漂亮。也是在漓江边。福被千家，福兴万代。
2018-12-28,未知,5,阳朔有好几个类似这样子的古镇，福利镇是以做扇子出名，街口还有几座很老旧的房子，5、60年代时候的标语还清晰可见。古镇可以做竹排游漓江。
2018-05-11,未知,5,从兴坪回来的路上，路过这个历史还算比较悠久的古镇，以做画扇出名，漓江边上有名的一个古镇，风景不错，可以说很值得走走看看，还有一个有名的东郎山。
2018-04-07,未知,3,这里民风纯朴，坐轮船，扇子之乡，是这个古镇的特色。关于停车收费的问题，可以停在福利小学旁边，免费。导航福利小学，就可以找到福利古镇。
2016-10-13,未知,3,去兴坪路上，看到福利古镇，顺带游玩下，古镇很小，不到半小时就走完了。古镇以扇子出名，就是停车费收的有点坑，停车的附近未有停车收费标准，未有划线车位，停的时候没人，开车走的时候来收费20元，停车不到一个小时，还是这么收，真是服了！
2016-11-06,未知,3,十点半启程骑行去平乐，中午在福利镇吃饭。饭后去码头搭轮渡时经过老街，看见只剩下几间破旧的商店楼房，码头的牌坊还是老样子，古香古色，与漓江相映，很美
2015-11-02,未知,5,这个镇子历史特别悠久，三面环山，一面临水，风景优美，环境特别好。这里不像有些古镇过分的商业化了，它依旧保持着古色古香的本来面貌。
2017-01-26,未知,5,我的家乡阳朔．福利古镇，山美水美，人的心灵更美……福利古镇值得你光临
2018-04-14,未知,5,一个很古老的小镇，估计是古时候靠离江边发展起来的一个小镇，从建筑上看。估计以前是非常繁华的地方。现在衰落了～环境不错～停车有点不方便～
2015-11-01,未知,5,福利是阳朔的又一个古镇、依山傍水、两岸山景水质非常好、民风纯朴、至今还保留原始部落文化、福利镇以画扇最为著名、是一个值得一去的好地方。
2023-06-13,浙江,5,福利古镇位于广西阳朔县，有1000多年历史，山水奇丽，文化独特。该镇三面环山，一面临水，素有“三山环古镇，一水抱绿州”之雅誉。
2015-11-09,未知,3,真的是比较一般，说是古镇，也只能呵呵了，从阳朔骑行过去，九公里左右，累的半死不活，景色让我很失望，来阳朔的朋友，如果对扇子比较有兴趣。或是有时间可以去看看，其他的什么跟团或是赶的话，不建议去，建筑说是明清的，我都提出质疑！
2020-06-01,未知,5,非常值得推荐的旅游景点之一。适合旅游打卡的首选之地，十分漂亮的古镇。
2016-09-16,未知,3,古镇离悦榕庄酒店很多近，镇上以出色售扇子为主！
2015-12-11,未知,5,好地方你很古色古香，酒店有悦榕庄 还有画扇 当地啤酒鱼 竹筏游船等
2020-07-26,未知,4,漓江下游的福利古镇，风貌虽不如精华段那么连绵不绝，但胜在既有风景，又有浓浓的生活气息。
2016-11-27,未知,4,风景不错，扇子之乡，从阳朔坐个竹筏顺流而下，一路景色很好，很舒服
2020-05-04,未知,5,已经不是第一次在这里游玩了每次都有不一样的感觉呢呵呵。
2019-06-08,未知,2,福利就只有靠漓江的那段可以看，比如渡口，妈祖庙，石刻等，临江的古建较少，虽然是以做扇子闻名，但很可惜关门，村里的古建太少，不值得去看
2023-01-12,广西,5,阳朔的福利古镇景色优美自然，充满艺术气息。
2023-02-01,广东,5,福利古镇环境还可以，商业气息不算很浓！
2021-04-11,未知,5,风景优美，景色宜人，性价比高。
2021-08-06,未知,5,名字是不是超级棒 阳朔值得一去
2015-12-23,未知,4,不愧是古镇，和我想的差不多，街上倒也蛮干净的，总算是没让我失望
2021-12-09,未知,4,古镇离悦榕庄酒店很多近，镇上以出色售扇子为主！
2023-02-03,上海,4,点赞棒棒的哦，点赞棒棒的哦，点赞棒棒的哦
2023-05-26,上海,4,偶尔在阳朔发现的一个非常不错的小镇
2020-11-04,未知,3,这个景点还是很不错的，也不算太大，古镇很宁静和安详
2018-01-26,未知,3,"和江南古镇还是有一些差别的,不过可以。"
2021-01-31,未知,2,去了福利古镇，太失望了，一点古镇的味道都没有，一点不好看，白浪费时间。
